Region,CHEDI,CHEI,CHEQI,Disposable Income,Foreign Enterprises,g Inflow,GRP per Capita,GRP,Imports Exports,Inflow,Life Expectancy (2020),p Inflow,Population,Project 211,Relative GRP,Senior Graduates,Short Name,Testtakers,Tourism Earnings,UG Enrollment,Undergraduate Institutions,Unemployment,Urban Employment,Urban Ratio,Urban,Wages,Weighted Testtakers
Beijing,2.2113869161337716,1.0,70.216,62361,32306,1.9745596868884538,15.103102189781023,33106.0,412487938,10.09,82.49,0.004603102189781022,2192,26,0.036216350742656174,5.11,BJ,6.3,5516.39,15.20,92,1.4,819.3,0.8708941605839416,1909,145766,1.232876712328767
Tianjin,2.133454106772083,0.6411647033808372,26.545,39506,15089,1.6461824953445066,9.662255965292841,13362.9,122557291,8.84,81.30,0.006391901663051338,1383,3,0.01461836142509032,5.37,TJ,5.5,1109.85,14.21,56,3.5,260.0,0.8394793926247288,1161,100731,1.0242085661080074
Hebei,0.8656101574083973,0.0879844708580307,7.247,23446,8255,-0.03639990027424585,4.375787772690547,32494.6,53900873,-1.4600000000000009,77.75,-0.0001966065176407219,7426,2,0.03554750893621444,40.11,HE,48.6,646.67,38.65,122,3.3,550.3,0.5732561271209264,4257,68717,1.211667913238594
Shanxi,1.2487612357339715,0.2215788554591818,8.687,21990,3381,-0.18618739903069478,4.5568532267275845,15958.1,20762372,-4.610000000000003,77.91,-0.0013163906339234731,3502,1,0.017457383760840377,24.76,SX,30.5,377.98,20.15,83,3.3,425.8,0.5985151342090235,2096,65917,1.2318255250403876
Inner Mongolia,1.1529731374033185,0.1742494254807238,6.505,28376,3511,-0.16473000683527,6.664244426094137,16140.8,15690267,-2.41,77.56,-0.000995045417010735,2422,1,0.01765724865785854,14.63,NM,19.5,1272.10,12.22,53,3.6,272.4,0.6552436003303055,1587,73835,1.3328776486671223
Liaoning,1.412071813145312,0.34023218005254763,17.372,29701,17028,0.24031007751937988,5.479025868096015,23510.5,114601136,4.960000000000001,78.68,0.0011559077138196226,4291,4,0.02571934133194037,20.64,LN,18.5,1739.58,25.60,115,3.9,501.6,0.7026334187835004,3015,67324,0.8963178294573643
Jilin,1.3150963008919874,0.2993047159807512,16.077,22798,4018,0.318557475582269,4.530515297906602,11253.8,20679164,4.24,78.41,0.001706924315619968,2484,3,0.01231110880165843,13.31,JL,15,685.85,17.55,62,3.5,279.3,0.6086956521739131,1512,68533,1.1269722013523666
Heilongjiang,1.282772604034786,0.2597942590080502,12.262,22726,5028,0.09397457158651185,3.8612864442440635,12846.5,26437359,1.6999999999999993,78.25,0.0005109708446047488,3327,4,0.014053444989292953,18.09,HL,18.2,537.06,19.79,81,4.0,392.7,0.6345055605650737,2111,60780,1.0060807075732447
Shanghai,1.3624551940736696,0.45660813884991325,34.669,64183,87300,1.6165703275529866,14.550222222222223,36011.8,515679700,8.39,82.55,0.00338989898989899,2475,9,0.039395154342849806,5.19,SH,5,7261.39,13.58,64,3.5,640.7,0.8913131313131313,2206,140400,0.9633911368015413
Jiangsu,1.0417963997204658,0.2062767376293064,15.346,38096,59308,0.5323303457106274,11.035709211461047,93207.6,663913736,16.63,79.32,0.0019689793985318495,8446,11,0.101964572388123,31.24,JS,33.1,4648.36,47.87,167,3.0,1472.6,0.7119346436182808,6013,84688,1.0595390524967991
Zhejiang,0.9071224727400463,0.15759275035006978,14.614,45840,40191,0.05803395183576796,9.246421170094054,58002.8,432360099,1.4700000000000024,80.19,0.00023433763749402238,6273,1,0.06345223672011531,25.33,ZJ,30.6,2595.79,26.80,108,2.6,1013.5,0.7001434720229556,4392,88883,1.2080536912751678
Anhui,1.0319214842066826,0.1570129403737533,9.316,23984,6611,-0.16847237269772486,5.59758064516129,34010.9,62840317,-6.220000000000002,77.96,-0.0010236998025016462,6076,3,0.0372062672468255,36.92,AH,49.9,3187.57,30.70,119,2.8,592.3,0.5564516129032258,3381,74378,1.3515709642470204
Fujian,1.1426155042130297,0.1998063397812352,10.281,32644,30150,0.07569141193595354,9.426851851851852,38687.8,187407290,1.5600000000000023,78.49,0.000380116959064328,4104,2,0.042322567941211066,20.61,FJ,20.1,2828.21,22.17,89,3.7,705.4,0.6698343079922028,2749,74316,0.9752547307132461
Jiangxi,1.1908369354638608,0.1969759035929961,7.893,24080,6137,-0.026929392446633837,5.033569687569244,22716.5,48187584,-0.8200000000000003,77.64,-0.00018169731885663644,4513,1,0.02485074402360747,30.45,JX,38,745.38,29.63,102,3.4,435.7,0.5734544648792378,2588,68573,1.2479474548440066
Shandong,0.7581483634966819,0.05736517694968537,7.739,29205,30733,0.006544264679149235,6.613962488835963,66648.9,292397074,0.35999999999999943,79.18,3.5724918130395894e-05,10077,3,0.07291064879514943,55.01,SD,59.2,3292.82,55.37,145,3.4,1129.0,0.6145678277265059,6193,73593,1.0761679694600983
Henan,0.7424704863347686,0.05084300597217753,7.542,21964,8257,-0.0584140435835351,5.062439172749392,49935.9,82813633,-3.8599999999999994,77.60,-0.0003913219789132197,9864,1,0.05462744122063084,66.08,HA,98.38,723.23,62.22,139,3.0,967.3,0.522404703974047,5153,63174,1.4888014527845037
Hubei,1.1397926670043375,0.2409782907125132,15.784,25815,11761,0.47605224963715537,7.1019097515632925,42022.0,52781547,13.120000000000001,78.00,0.002217339868176441,5917,7,0.04597002026544728,27.56,HB,37.4,2379.69,40.68,128,2.6,653.3,0.6099374683116444,3609,73777,1.3570391872278664
Hunan,0.9846870268020186,0.15005898586797797,10.383,25241,8765,0.0469135802469134,5.475463451394122,36329.7,46474201,1.7099999999999937,77.88,0.00025772418990203374,6635,3,0.03974292145156394,36.45,HN,48.2,1520.41,38.16,124,3.6,546.3,0.560964581763376,3722,70221,1.3223593964334706
Guangdong,0.6485813036657182,0.02020796696995184,7.464,35810,170968,-0.11322505800464047,8.094039520570133,99945.2,1084464573,-7.320000000000007,79.31,-0.000592808551992226,12348,4,0.10933517846447531,64.65,GD,75.8,20511.74,57.33,152,2.4,1994.1,0.7180919987042436,8867,88636,1.1724671307037895
