Region,CHEI,CHEDI,CHEQI
Beijing,1.0,2.211386916133772,70.216
Tianjin,0.6411647033808372,2.133454106772083,26.545
Hebei,0.0879844708580307,0.8656101574083973,7.247
Shanxi,0.2215788554591818,1.2487612357339717,8.687
Inner Mongolia,0.1742494254807238,1.1529731374033183,6.505
Liaoning,0.3402321800525476,1.412071813145312,17.372
Jilin,0.2993047159807512,1.3150963008919874,16.077
Heilongjiang,0.2597942590080502,1.282772604034786,12.262
Shanghai,0.4566081388499132,1.3624551940736696,34.669
Jiangsu,0.2062767376293064,1.0417963997204658,15.346
Zhejiang,0.1575927503500697,0.9071224727400464,14.614
Anhui,0.1570129403737533,1.0319214842066826,9.316
Fujian,0.1998063397812352,1.1426155042130297,10.281
Jiangxi,0.1969759035929961,1.1908369354638608,7.893
Shandong,0.0573651769496853,0.7581483634966819,7.739
Henan,0.0508430059721775,0.7424704863347686,7.542
Hubei,0.2409782907125132,1.1397926670043377,15.784
Hunan,0.1500589858679779,0.9846870268020186,10.383
Guangdong,0.0202079669699518,0.6485813036657182,7.464
Guangxi,0.0595974292640105,0.7987977101018449,6.33
Hainan,0.1588988791353206,1.0730895510859,7.84
Chongqing,0.1948159649707798,1.0827585527317891,12.133
Sichuan,0.0563398734247312,0.7535097870496099,7.799
Guizhou,0.1100534875770541,0.992565719779925,4.821
Yunnan,0.0881037704384999,0.8850535955150112,6.449
Tibet,0.1327539117027361,1.041866889006282,5.727
Shaanxi,0.3184036002448208,1.2733213459781685,20.323
Gansu,0.1574623740781167,1.0265392250328298,9.6
Qinghai,0.1611031050251528,1.0771113517884363,7.96
Ningxia,0.2607722519931049,1.4099792143775156,7.067
Xinjiang,0.1319380043777225,1.0454106539348746,5.472
