Region,Scaled Inflow,CHEDI,CHEQI
Beijing,1.9745596868884536,2.211386916133772,70.216
Tianjin,1.6461824953445066,2.133454106772083,26.545
Hebei,-0.0363999002742458,0.8656101574083973,7.247
Shanxi,-0.1861873990306947,1.2487612357339717,8.687
Inner Mongolia,-0.16473000683527,1.1529731374033183,6.505
Liaoning,0.2403100775193798,1.412071813145312,17.372
Jilin,0.318557475582269,1.3150963008919874,16.077
Heilongjiang,0.0939745715865118,1.282772604034786,12.262
Shanghai,1.6165703275529866,1.3624551940736696,34.669
Jiangsu,0.5323303457106274,1.0417963997204658,15.346
Zhejiang,0.0580339518357679,0.9071224727400464,14.614
Anhui,-0.1684723726977248,1.0319214842066826,9.316
Fujian,0.0756914119359535,1.1426155042130297,10.281
Jiangxi,-0.0269293924466338,1.1908369354638608,7.893
Shandong,0.0065442646791492,0.7581483634966819,7.739
Henan,-0.0584140435835351,0.7424704863347686,7.542
Hubei,0.4760522496371553,1.1397926670043377,15.784
Hunan,0.0469135802469134,0.9846870268020186,10.383
Guangdong,-0.1132250580046404,0.6485813036657182,7.464
Guangxi,-0.0436105476673427,0.7987977101018449,6.33
Hainan,-0.043859649122807,1.0730895510859,7.84
Chongqing,0.0470357667809897,1.0827585527317891,12.133
Sichuan,-0.0550114607209835,0.7535097870496099,7.799
Guizhou,-0.3430127041742287,0.992565719779925,4.821
Yunnan,-0.1824902723735407,0.8850535955150112,6.449
Tibet,-0.5026178010471204,1.041866889006282,5.727
Shaanxi,0.0748195974173947,1.2733213459781685,20.323
Gansu,-0.3192441571357534,1.0265392250328298,9.6
Qinghai,-0.4757033248081842,1.0771113517884363,7.96
Ningxia,-0.3307839388145316,1.4099792143775156,7.067
Xinjiang,-0.357504215851602,1.0454106539348746,5.472
