Region,GRP per Capita
Beijing,15.103102189781023
Tianjin,9.662255965292841
Hebei,4.375787772690547
Shanxi,4.5568532267275845
Inner Mongolia,6.664244426094137
Liaoning,5.479025868096015
Jilin,4.530515297906602
Heilongjiang,3.8612864442440635
Shanghai,14.550222222222223
Jiangsu,11.035709211461047
Zhejiang,9.246421170094054
Anhui,5.59758064516129
Fujian,9.426851851851852
Jiangxi,5.033569687569244
Shandong,6.613962488835963
Henan,5.062439172749392
Hubei,7.1019097515632925
Hunan,5.475463451394122
Guangdong,8.094039520570133
Guangxi,3.967616737416616
Hainan,5.00071283095723
Chongqing,6.825418906101802
Sichuan,5.15588270640548
Guizhou,4.017059131344846
Yunnan,4.439846906230065
Tibet,4.374011299435028
Shaanxi,6.090536759094379
Gansu,3.222306163021869
Qinghai,4.681431005110732
Ningxia,4.943943661971831
Xinjiang,5.083095238095238
