Database???Annual by Province
"Indicators��Total Value of Imports and Exports of operating units(1,000 US dollars)"
Year��2018
Region,2018
Beijing,412487938
Tianjin,122557291
Hebei,53900873
Shanxi,20762372
Inner Mongolia,15690267
Liaoning,114601136
Jilin,20679164
Heilongjiang,26437359
Shanghai,515679700
Jiangsu,663913736
Zhejiang,432360099
Anhui,62840317
Fujian,187407290
Jiangxi,48187584
Shandong,292397074
Henan,82813633
Hubei,52781547
Hunan,46474201
Guangdong,1084464573
Guangxi,62302266
Hainan,12733530
Chongqing,79016913
Sichuan,89921137
Guizhou,7602857
Yunnan,29857965
Tibet,723178
Shaanxi,53304882
Gansu,6013027
Qinghai,727175
Ningxia,3776564
Xinjiang,19999747
Data Sources��National Bureau of Statistics
