Database???Annual by Province
Indicators£ºUrban Population(10000 persons)
Year£º2018
Region,2018
Beijing,1909
Tianjin,1161
Hebei,4257
Shanxi,2096
Inner Mongolia,1587
Liaoning,3015
Jilin,1512
Heilongjiang,2111
Shanghai,2206
Jiangsu,6013
Zhejiang,4392
Anhui,3381
Fujian,2749
Jiangxi,2588
Shandong,6193
Henan,5153
Hubei,3609
Hunan,3722
Guangdong,8867
Guangxi,2564
Hainan,581
Chongqing,2107
Sichuan,4452
Guizhou,1893
Yunnan,2231
Tibet,120
Shaanxi,2345
Gansu,1250
Qinghai,336
Ningxia,441
Xinjiang,1361
Data Sources£ºNational Bureau of Statistics
