Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,14.00,13.63,13.48,13.09,13.01,12.82,12.77,12.63,12.53
Tianjin,,9.15,8.96,9.14,9.02,8.91,8.57,8.51,8.21,8.11
Hebei,,22.91,21.88,21.83,21.29,20.02,18.91,18.21,16.72,16.44
Shanxi,,12.49,12.48,12.57,12.28,12.20,12.11,11.98,11.67,11.30
Inner Mongolia,,6.44,6.38,6.35,6.32,6.28,6.24,6.26,5.96,5.85
Liaoning,,18.10,17.45,17.51,16.95,16.84,16.63,16.60,16.60,18.05
Jilin,,12.95,12.14,12.21,12.07,12.01,11.83,11.88,11.78,11.42
Heilongjiang,,14.17,13.76,13.85,13.57,13.39,13.00,12.61,12.34,12.50
Shanghai,,10.04,9.82,9.82,9.57,9.58,9.51,9.31,8.92,8.84
Jiangsu,,30.01,28.73,28.30,27.43,27.18,26.74,26.88,25.60,25.06
Zhejiang,,16.76,15.62,15.59,15.16,15.09,14.62,14.54,14.80,14.85
Anhui,,18.19,17.37,16.94,16.61,16.39,16.04,16.05,15.76,15.23
Fujian,,13.74,13.09,13.05,12.84,12.52,11.90,11.80,12.17,12.06
Jiangxi,,17.27,15.52,15.30,14.57,14.18,13.49,13.51,12.38,12.68
Shandong,,28.01,26.65,26.67,26.46,25.82,26.29,26.27,23.70,23.38
Henan,,31.52,29.73,29.29,28.73,27.99,25.80,25.62,24.17,23.55
Hubei,,23.71,22.47,22.35,21.74,21.46,21.30,21.28,20.77,20.38
Hunan,,22.48,20.10,19.57,18.88,18.39,17.83,17.32,16.77,16.54
Guangdong,,31.09,29.37,29.71,28.82,28.28,27.66,27.51,26.96,26.15
Guangxi,,14.62,13.34,13.62,13.00,12.52,11.79,11.48,10.62,9.40
Hainan,,3.08,2.99,3.15,3.12,2.92,2.80,2.80,2.70,2.60
Chongqing,,12.27,11.97,11.98,11.77,11.39,11.29,11.16,11.00,10.61
Sichuan,,26.21,24.54,24.29,23.52,23.02,22.51,21.82,20.59,18.50
Guizhou,,8.99,8.96,9.64,9.47,9.18,8.67,8.15,6.44,6.57
Yunnan,,12.36,11.51,11.37,10.82,10.49,10.32,10.06,9.70,9.60
Tibet,,0.70,0.72,0.73,0.68,0.61,0.58,0.60,0.61,0.56
Shaanxi,,18.14,17.78,17.75,17.20,16.74,16.46,16.10,15.94,16.84
Gansu,,7.55,7.61,7.40,7.30,7.28,7.16,7.23,7.10,7.28
Qinghai,,1.23,1.22,0.98,1.11,1.08,0.99,0.92,0.89,0.87
Ningxia,,2.53,2.41,2.31,2.20,2.12,2.04,1.95,1.89,1.90
Xinjiang,,7.22,6.40,6.35,5.68,5.27,4.83,4.23,4.02,3.79
