Region,,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,9.02,9.120000000000001,8.27,8.05,7.8999999999999995,7.8500000000000005,7.489999999999999,6.860000000000001,6.749999999999999
Tianjin,,3.3400000000000007,3.780000000000001,3.670000000000001,3.579999999999999,3.54,3.0500000000000007,2.8999999999999995,2.370000000000001,1.9999999999999991
Hebei,,-27.13,-22.890000000000004,-23.67,-21.47,-20.09,-18.790000000000003,-18.61,-18.520000000000003,-19.76
Shanxi,,-9.999999999999998,-8.280000000000001,-10.14,-12.160000000000002,-12.560000000000002,-13.920000000000002,-16.46,-16.689999999999998,-16.05
Inner Mongolia,,-6.4799999999999995,-6.86,-7.92,-8.16,-8.350000000000001,-9.09,-9.81,-10.629999999999999,-10.360000000000001
Liaoning,,-1.9199999999999982,-1.3100000000000023,-3.3599999999999994,-3.7200000000000024,-3.8000000000000007,-3.620000000000001,-5.009999999999998,-5.75,-5.099999999999998
Jilin,,-1.6300000000000008,-0.41000000000000014,-1.7699999999999996,-1.67,-1.3000000000000007,-1.1799999999999997,-2.0199999999999996,-2.210000000000001,-4.130000000000001
Heilongjiang,,-4.6899999999999995,-3.6500000000000004,-4.99,-5.02,-4.699999999999999,-5.16,-6.460000000000001,-7.050000000000001,-7.399999999999999
Shanghai,,4.6899999999999995,4.65,4.59,4.41,4.39,4.38,4.12,3.8,3.74
Jiangsu,,-8.05,-5.860000000000003,-2.8299999999999983,-3.960000000000001,-4.059999999999999,-5.020000000000003,-6.989999999999998,-11.280000000000001,-14.610000000000003
Zhejiang,,-10.16,-9.550000000000002,-9.920000000000002,-10.239999999999998,-10.239999999999998,-10.000000000000002,-11.45,-12.3,-14.81
Anhui,,-19.88,-18.62,-18.19,-19.72,-20.53,-21.630000000000003,-22.779999999999998,-27.54,-27.709999999999997
Fujian,,-6.869999999999999,-6.550000000000001,-6.539999999999999,-8.18,-8.09,-7.749999999999998,-7.899999999999999,-8.639999999999999,-10.67
Jiangxi,,-20.05,-18.650000000000002,-17.98,-18.119999999999997,-16.27,-16.700000000000003,-16.689999999999998,-16.36,-15.02
Shandong,,-29.02,-27.33,-27.53,-28.699999999999996,-29.189999999999998,-29.090000000000003,-31.639999999999997,-33.19,-30.94
Henan,,-42.7,-42.03,-39.74,-39.25999999999999,-38.09,-37.34,-37.69,-36.879999999999995,-36.730000000000004
Hubei,,-6.169999999999998,-5.210000000000001,-5.049999999999997,-5.670000000000002,-6.099999999999998,-7.649999999999999,-9.29,-10.920000000000002,-14.570000000000004
Hunan,,-20.040000000000003,-19.32,-18.990000000000002,-19.080000000000002,-18.060000000000002,-16.58,-16.880000000000003,-16.73,-15.5
Guangdong,,-32.040000000000006,-29.84,-30.130000000000003,-34.03,-36.370000000000005,-40.010000000000005,-42.81999999999999,-45.71,-46.720000000000006
Guangxi,,-23.39,-21.959999999999997,-20.04,-19.700000000000003,-17.06,-16.39,-15.370000000000001,-15.110000000000001,-15.929999999999998
Hainan,,-2.9000000000000004,-2.66,-2.4200000000000004,-2.62,-2.7800000000000002,-2.8100000000000005,-3.08,-3.3599999999999994,-3.2499999999999996
Chongqing,,-8.260000000000002,-8.209999999999999,-8.829999999999998,-8.89,-9.02,-9.8,-10.760000000000002,-11.36,-11.510000000000002
Sichuan,,-21.22,-20.71,-21.310000000000002,-23.48,-24.970000000000002,-26.52,-27.839999999999996,-29.19,-31.990000000000002
Guizhou,,-22.35,-23.83,-24.39,-23.870000000000005,-23.880000000000003,-23.67,-22.589999999999996,-21.63,-17.28
Yunnan,,-18.92,-17.479999999999997,-17.0,-16.419999999999998,-15.209999999999999,-14.899999999999999,-14.83,-14.370000000000001,-12.56
Tibet,,-1.64,-1.7500000000000002,-1.2999999999999998,-1.2399999999999998,-1.2999999999999998,-1.25,-1.4,-1.2000000000000002,-1.06
Shaanxi,,-2.9499999999999993,-5.259999999999998,-6.379999999999999,-8.02,-9.59,-10.239999999999998,-11.66,-13.070000000000002,-13.600000000000001
Gansu,,-9.48,-9.5,-10.72,-12.059999999999999,-12.829999999999998,-13.649999999999999,-14.68,-15.340000000000002,-15.099999999999998
Qinghai,,-2.93,-2.96,-3.2100000000000004,-3.05,-2.83,-2.84,-2.88,-2.6999999999999997,-2.37
Ningxia,,-2.7900000000000005,-2.63,-2.6,-2.5300000000000002,-3.1100000000000003,-3.3200000000000003,-3.66,-3.6500000000000004,-3.6
Xinjiang,,-9.57,-9.85,-13.01,-13.010000000000002,-12.52,-11.360000000000001,-10.2,-9.89,-10.34
