Region,,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,0.8759157509157509,0.8752855185015989,0.8752855185015989,0.8735159817351598,0.8708941605839416,0.8691886964448496,0.8674259681093394,0.8670018281535649,0.8650391524643022
Tianjin,,0.851063829787234,0.8485069191551348,0.8471521268925739,0.8433212996389892,0.8394793926247288,0.8354609929078014,0.832986832986833,0.8290479499652537,0.8257522743177047
Hebei,,0.616576819407008,0.6114393125671321,0.6007502679528403,0.5877534577682288,0.5732561271209264,0.5574301525172088,0.5387118644067797,0.5166780122532335,0.4936501433838591
Shanxi,,0.6394714162596955,0.6341954022988506,0.625214899713467,0.6128109808407206,0.5985151342090235,0.586039886039886,0.5725668753557199,0.5586814435919295,0.5430839002267573
Inner Mongolia,,0.6859641815910037,0.6820833333333334,0.6749895963379109,0.6645962732919255,0.6552436003303055,0.6461159062885327,0.6338259441707718,0.6209016393442623,0.6096365863617803
Liaoning,,0.7300452704312604,0.7280681012059589,0.7215041128084606,0.7121814355856909,0.7026334187835004,0.6948051948051948,0.6886988675756875,0.6804979253112033,0.6704910509407985
Jilin,,0.637137989778535,0.6336842105263157,0.6265110462692789,0.616421568627451,0.6086956521739131,0.5969912905779889,0.5874561745227892,0.5763490241102182,0.5681302043906131
Heilongjiang,,0.6621490803484995,0.65696,0.6559444970040996,0.6460829493087558,0.6345055605650737,0.6190055898793763,0.6110308980652613,0.6047038821195806,0.5922949002217295
Shanghai,,0.8933333333333333,0.8931297709923665,0.8930868167202572,0.8923821039903265,0.8913131313131313,0.8909164639091647,0.8901499797324686,0.8852725793327909,0.892987434130523
Jiangsu,,0.7442160892542572,0.7394473838918283,0.7344579450277221,0.7246428149722517,0.7119346436182808,0.7017689659266295,0.6892972199021596,0.6749248346361997,0.6570462504528438
Zhejiang,,0.7337691956819219,0.726605504587156,0.7217068645640075,0.715764705882353,0.7001434720229556,0.6891410048622366,0.6772068511198946,0.6631578947368421,0.6495755517826826
Anhui,,0.6015994777215603,0.5939800425323082,0.5832923832923833,0.5702560735390676,0.5564516129032258,0.54284299157999,0.5262721697331344,0.5097321577108634,0.4930798732699683
Fujian,,0.7012893982808023,0.6969190351086697,0.6875751021389089,0.6787527193618564,0.6698343079922028,0.657810578105781,0.6439243027888446,0.6322791164658634,0.6200253485424588
Jiangxi,,0.620803886925795,0.6145671906132388,0.6043372427528214,0.5907883082373782,0.5734544648792378,0.5570826867656838,0.5398131672597865,0.5230769230769231,0.5055803571428571
Shandong,,0.6453803010921972,0.6394296951819076,0.6304968027545499,0.6186423906590145,0.6145678277265059,0.6078939499651151,0.591296500551489,0.5697344415163187,0.547716150081566
Henan,,0.5706037277147488,0.5645047050490741,0.5542701941454582,0.5401474598525402,0.522404703974047,0.505646556109472,0.4878298220494989,0.47015771569941245,0.45049248315189216
Hubei,,0.6466461327857632,0.6408233276157804,0.6288946910356832,0.6183566728530454,0.6099374683116444,0.5987466124661247,0.5857264231096007,0.5717948717948718,0.5572558459422283
Hunan,,0.6031193216232587,0.5971005738447599,0.5876598946576373,0.5745481927710844,0.560964581763376,0.5462083521785014,0.5269433962264151,0.5079365079365079,0.48978974436545153
Guangdong,,0.7478075373311212,0.7462945443077893,0.7415240811153359,0.7264793017855713,0.7180919987042436,0.707437608104769,0.7014612025529056,0.6950676485699606,0.6862216032726957
Guangxi,,0.5565682583713097,0.5507246376811594,0.541940625622634,0.5297069450020072,0.5182939155043461,0.5058080293458325,0.49248507309038503,0.4799418000415714,0.46540880503144655
Hainan,,0.6144109055501461,0.6098039215686275,0.6027667984189723,0.5939698492462312,0.5916496945010183,0.5802469135802469,0.567398119122257,0.5492063492063493,0.5331196581196581
Chongqing,,0.7096171802054155,0.7033001245330013,0.69460891243378,0.6822459222082811,0.6661397407524502,0.6501272264631043,0.6334405144694534,0.614657980456026,0.5974367400591521
Sichuan,,0.5834726534511584,0.5782369804108934,0.5673157328873492,0.5535863968387019,0.535031847133758,0.5177946676318012,0.5,0.4826744753538311,0.46504484580415284
Guizhou,,0.5482365145228216,0.5433541017653167,0.5316226023846553,0.5148128898128899,0.49529042386185246,0.4775177491454115,0.4555614688664183,0.42961165048543687,0.4025020397062823
Yunnan,,0.5171532069038994,0.5104477611940299,0.5004235493434985,0.4866355536699194,0.47437805655964277,0.46281696143191986,0.44644002565747276,0.4293373364786618,0.412207178164625
Tibet,,0.37362637362637363,0.366120218579235,0.35792349726775957,0.3462603878116344,0.3389830508474576,0.332378223495702,0.31470588235294117,0.2878787878787879,0.26153846153846155
Shaanxi,,0.6400404448938322,0.6363176530096105,0.6265486725663717,0.6128296146044625,0.5965403205291274,0.5806864754098361,0.5640165203923593,0.547321892875715,0.5301802978834597
Gansu,,0.5421348314606742,0.5333333333333333,0.5221911235505797,0.5069748903945795,0.4970178926441352,0.48136399682791436,0.4607142857142857,0.4423305588585018,0.42275780323982615
Qinghai,,0.6151260504201681,0.6094276094276094,0.6003372681281619,0.588135593220339,0.5724020442930153,0.5546075085324232,0.5360824742268041,0.5164644714038128,0.5086805555555556
Ningxia,,0.6634615384615384,0.6606896551724138,0.6490984743411928,0.6359832635983264,0.6211267605633802,0.6099290780141844,0.5870503597122302,0.5701754385964912,0.5486725663716814
Xinjiang,,0.5790490916119057,0.5724217844727694,0.5652509652509653,0.5552950371238765,0.540079365079365,0.5189516129032258,0.5041186161449753,0.48763102725366875,0.4679569892473118
