Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,4.98,4.51,5.21,5.04,5.11,4.97,5.28,5.77,5.78
Tianjin,,5.81,5.18,5.47,5.44,5.37,5.52,5.61,5.84,6.11
Hebei,,50.04,44.77,45.50,42.76,40.11,37.70,36.82,35.24,36.20
Shanxi,,22.49,20.76,22.71,24.44,24.76,26.03,28.44,28.36,27.35
Inner Mongolia,,12.92,13.24,14.27,14.48,14.63,15.33,16.07,16.59,16.21
Liaoning,,20.02,18.76,20.87,20.67,20.64,20.25,21.61,22.35,23.15
Jilin,,14.58,12.55,13.98,13.74,13.31,13.01,13.90,13.99,15.55
Heilongjiang,,18.86,17.41,18.84,18.59,18.09,18.16,19.07,19.39,19.90
Shanghai,,5.35,5.17,5.23,5.16,5.19,5.13,5.19,5.12,5.10
Jiangsu,,38.06,34.59,31.13,31.39,31.24,31.76,33.87,36.88,39.67
Zhejiang,,26.92,25.17,25.51,25.40,25.33,24.62,25.99,27.10,29.66
Anhui,,38.07,35.99,35.13,36.33,36.92,37.67,38.83,43.30,42.94
Fujian,,20.61,19.64,19.59,21.02,20.61,19.65,19.70,20.81,22.73
Jiangxi,,37.32,34.17,33.28,32.69,30.45,30.19,30.20,28.74,27.70
Shandong,,57.03,53.98,54.20,55.16,55.01,55.38,57.91,56.89,54.32
Henan,,74.22,71.76,69.03,67.99,66.08,63.14,63.31,61.05,60.28
Hubei,,29.88,27.68,27.40,27.41,27.56,28.95,30.57,31.69,34.95
Hunan,,42.52,39.42,38.56,37.96,36.45,34.41,34.20,33.50,32.04
Guangdong,,63.13,59.21,59.84,62.85,64.65,67.67,70.33,72.67,72.87
Guangxi,,38.01,35.30,33.66,32.70,29.58,28.18,26.85,25.73,25.33
Hainan,,5.98,5.65,5.57,5.74,5.70,5.61,5.88,6.06,5.85
Chongqing,,20.53,20.18,20.81,20.66,20.41,21.09,21.92,22.36,22.12
Sichuan,,47.43,45.25,45.60,47.00,47.99,49.03,49.66,49.78,50.49
Guizhou,,31.34,32.79,34.03,33.34,33.06,32.34,30.74,28.07,23.85
Yunnan,,31.28,28.99,28.37,27.24,25.70,25.22,24.89,24.07,22.16
Tibet,,2.34,2.47,2.03,1.92,1.91,1.83,2.00,1.81,1.62
Shaanxi,,21.09,23.04,24.13,25.22,26.33,26.70,27.76,29.01,30.44
Gansu,,17.03,17.11,18.12,19.36,20.11,20.81,21.91,22.44,22.38
Qinghai,,4.16,4.18,4.19,4.16,3.91,3.83,3.80,3.59,3.24
Ningxia,,5.32,5.04,4.91,4.73,5.23,5.36,5.61,5.54,5.50
Xinjiang,,16.79,16.25,19.36,18.69,17.79,16.19,14.43,13.91,14.13
