Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,2184,2189,2189,2190,2192,2194,2195,2188,2171
Tianjin,,1363,1373,1387,1385,1383,1410,1443,1439,1429
Hebei,,7420,7448,7464,7447,7426,7409,7375,7345,7323
Shanxi,,3481,3480,3490,3497,3502,3510,3514,3519,3528
Inner Mongolia,,2401,2400,2403,2415,2422,2433,2436,2440,2449
Liaoning,,4197,4229,4255,4277,4291,4312,4327,4338,4358
Jilin,,2348,2375,2399,2448,2484,2526,2567,2613,2642
Heilongjiang,,3099,3125,3171,3255,3327,3399,3463,3529,3608
Shanghai,,2475,2489,2488,2481,2475,2466,2467,2458,2467
Jiangsu,,8515,8505,8477,8469,8446,8423,8381,8315,8281
Zhejiang,,6577,6540,6468,6375,6273,6170,6072,5985,5890
Anhui,,6127,6113,6105,6092,6076,6057,6033,6011,5997
Fujian,,4188,4187,4161,4137,4104,4065,4016,3984,3945
Jiangxi,,4528,4517,4519,4516,4513,4511,4496,4485,4480
Shandong,,10163,10170,10165,10106,10077,10033,9973,9866,9808
Henan,,9872,9883,9941,9901,9864,9829,9778,9701,9645
Hubei,,5844,5830,5745,5927,5917,5904,5885,5850,5816
Hunan,,6604,6622,6645,6640,6635,6633,6625,6615,6611
Guangdong,,12657,12684,12624,12489,12348,12141,11908,11678,11489
Guangxi,,5047,5037,5019,4982,4947,4907,4857,4811,4770
Hainan,,1027,1020,1012,995,982,972,957,945,936
Chongqing,,3213,3212,3209,3188,3163,3144,3110,3070,3043
Sichuan,,8374,8372,8371,8351,8321,8289,8251,8196,8139
Guizhou,,3856,3852,3858,3848,3822,3803,3758,3708,3677
Yunnan,,4693,4690,4722,4714,4703,4693,4677,4663,4653
Tibet,,364,366,366,361,354,349,340,330,325
Shaanxi,,3956,3954,3955,3944,3931,3904,3874,3846,3827
Gansu,,2492,2490,2501,2509,2515,2522,2520,2523,2531
Qinghai,,595,594,593,590,587,586,582,577,576
Ningxia,,728,725,721,717,710,705,695,684,678
Xinjiang,,2587,2589,2590,2559,2520,2480,2428,2385,2325
