Database???Annual by Province
Indicators£ºNumber of New Students Enrollment of Regular _Institutions of Higher Education(10000 persons)
Year£º2000-2022
Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,16.26,15.98,15.47,15.22,15.20,15.05,15.12,15.35,15.69,15.98,15.86,15.69,15.51,15.98,15.61,15.74,15.41,15.89,14.43,14.18,12.76,11.54,9.77
Tianjin,16.14,15.85,16.32,14.89,14.21,13.87,13.90,13.86,13.92,13.86,13.72,13.12,12.86,11.88,11.10,10.61,10.25,10.36,9.13,8.61,6.95,5.61,4.55
Hebei,50.22,48.28,47.43,46.09,38.65,36.51,35.79,32.91,31.82,32.59,32.14,34.90,33.91,32.92,31.06,29.47,28.56,25.03,23.82,20.38,17.08,14.83,11.10
Shanxi,26.87,25.81,23.57,22.94,20.15,20.33,20.37,21.35,20.55,20.69,19.72,17.84,18.07,16.54,14.73,13.76,14.24,12.75,10.75,9.13,7.56,6.00,4.94
Inner Mongolia,14.58,14.49,13.43,13.24,12.22,12.21,12.19,11.90,11.56,11.24,10.56,11.41,11.25,10.91,9.78,9.32,7.98,7.09,7.01,5.95,4.46,4.05,3.35
Liaoning,29.50,29.01,34.16,33.11,25.60,24.98,25.57,26.33,27.38,27.13,26.44,25.98,24.75,23.79,23.95,22.43,21.44,20.15,18.43,16.38,15.11,12.76,11.33
Jilin,22.27,20.63,18.91,20.39,17.55,17.12,17.32,17.00,16.89,16.62,16.26,16.01,15.11,15.59,14.76,14.10,13.06,12.94,11.12,10.71,8.80,7.36,6.78
Heilongjiang,25.73,23.90,23.13,23.87,19.79,19.52,19.78,19.85,19.71,19.73,19.70,19.52,19.27,20.34,19.79,18.72,17.93,16.28,14.98,12.20,11.57,9.82,8.00
Shanghai,14.04,14.70,14.24,13.98,13.58,13.56,13.75,13.68,13.80,13.72,13.68,13.78,14.46,14.35,14.33,14.46,13.79,13.18,12.87,12.03,10.92,9.86,8.13
Jiangsu,60.99,60.99,59.32,52.28,47.87,45.66,45.27,44.86,44.49,43.95,43.50,43.61,44.86,42.98,41.07,40.95,41.37,36.15,31.36,25.66,22.29,21.57,17.25
Zhejiang,32.54,34.75,30.90,30.06,26.80,25.56,25.79,26.44,26.79,26.89,26.91,26.75,25.36,25.25,24.53,23.07,23.46,19.79,18.28,16.82,15.25,12.02,7.76
Anhui,40.22,44.02,41.25,40.08,30.70,30.72,30.74,32.65,31.03,29.66,28.62,30.80,28.76,26.79,25.32,23.69,21.74,19.87,17.90,14.24,12.25,9.79,8.02
Fujian,30.00,29.39,27.99,28.12,22.17,20.00,19.77,20.67,20.84,21.36,20.12,20.14,19.87,18.73,17.91,16.15,14.86,14.67,11.99,10.67,6.89,5.95,5.33
Jiangxi,44.06,38.71,37.57,35.94,29.63,28.85,29.60,28.68,28.32,24.74,23.77,24.60,24.85,23.89,23.21,22.78,22.74,20.79,18.80,14.16,10.46,7.60,5.79
Shandong,70.04,71.11,62.55,66.31,55.37,54.85,55.52,54.08,53.36,49.16,46.67,48.08,47.52,46.91,46.56,41.75,42.22,40.06,32.75,27.39,21.87,18.36,13.52
Henan,80.04,82.37,71.85,69.67,62.22,56.94,55.01,51.47,47.42,46.67,45.53,44.89,45.71,42.99,39.68,33.65,31.71,27.76,25.74,19.02,16.61,14.01,12.29
Hubei,49.78,47.09,46.41,43.54,40.68,39.41,39.07,38.54,39.31,39.89,40.21,40.95,38.76,37.33,35.43,32.58,33.80,31.56,29.57,25.02,20.70,15.89,14.22
Hunan,51.57,47.46,44.87,42.32,38.16,35.79,34.94,33.63,32.66,31.37,31.10,30.61,30.27,31.44,29.21,28.14,26.12,25.08,20.68,19.38,15.69,11.73,10.52
Guangdong,71.57,69.43,86.61,61.63,57.33,55.84,53.98,55.06,53.54,51.69,50.19,46.87,43.73,43.59,38.45,35.18,33.93,30.70,26.45,22.58,17.21,13.91,12.33
Guangxi,41.78,40.39,35.40,35.98,28.29,26.69,24.84,23.42,22.00,19.85,19.21,18.46,18.26,16.89,15.79,14.79,13.23,11.67,10.36,8.25,6.85,5.85,4.94
Hainan,7.28,6.63,6.87,6.86,5.45,5.22,5.32,5.24,5.45,4.93,4.96,4.64,4.76,4.64,3.97,3.87,3.45,2.45,1.97,1.70,1.46,1.09,0.82
Chongqing,29.55,29.68,27.39,27.14,21.37,20.95,20.49,20.55,19.72,18.49,19.29,17.76,16.41,14.93,13.67,12.84,12.23,11.20,9.99,8.55,7.09,6.10,5.00
Sichuan,60.61,56.04,53.81,49.48,45.35,43.30,41.47,41.33,38.62,35.78,36.45,34.36,33.21,29.97,30.18,27.82,26.28,26.72,21.52,18.03,15.28,11.95,10.10
Guizhou,26.13,25.52,26.02,25.10,21.72,19.97,18.70,15.42,13.94,11.97,12.51,10.68,9.93,9.54,8.57,7.55,7.17,6.86,6.06,5.33,4.16,4.46,3.37
Yunnan,28.71,31.97,26.83,24.34,21.01,20.21,17.99,17.66,16.82,16.29,14.28,15.93,14.10,12.73,11.03,9.36,9.36,8.45,7.50,6.22,5.04,4.25,3.39
Tibet,1.17,1.08,1.16,1.06,0.95,0.97,1.01,0.99,0.88,0.93,1.00,0.94,0.92,0.90,0.85,0.80,0.84,0.76,0.60,0.43,0.34,0.24,0.23
