Database???Annual by Province
Indicators£ºNumber of Graduates of Regular Primary Schools(10000 persons)
Year£º2000-2022
Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,,,,,,12.60,,,11.28,11.18,10.95,10.17,10.30,11.07,11.23,11.23,9.08,9.35,10.01,12.36,15.67,16.71,18.51
Tianjin,,,,,,,,,8.67,8.61,8.65,8.46,8.72,9.15,8.82,10.53,10.61,10.64,11.48,13.20,13.33,14.76,15.53
Hebei,,,,,,,,,82.04,84.01,79.61,73.28,72.18,73.39,80.20,93.54,108.58,117.46,128.09,145.92,152.69,153.78,154.93
Shanxi,,,,,,37.50,,,38.81,47.73,54.73,52.78,57.35,58.38,55.21,57.96,63.53,63.56,62.43,59.75,67.87,66.59,64.09
Inner Mongolia,,,,,,22.60,,,22.11,23.28,24.29,25.49,26.98,27.92,27.21,25.15,31.18,32.78,35.03,38.80,42.05,42.56,43.29
Liaoning,,,,,,34.10,,,35.73,36.51,37.14,37.72,39.75,42.85,45.94,48.06,50.68,49.91,51.18,59.53,62.25,67.99,72.23
Jilin,,,,,,,,,23.15,23.59,23.06,22.67,25.27,27.03,29.26,29.52,31.17,33.01,35.54,43.75,45.55,46.83,48.60
Heilongjiang,,,,,,27.90,,,26.71,33.01,34.66,33.60,36.39,38.98,39.06,39.86,42.70,44.40,46.29,43.82,57.04,63.83,69.81
Shanghai,,,,,,14.31,,,13.12,13.45,12.95,13.09,12.44,11.36,10.44,10.55,10.85,11.04,11.08,12.96,15.92,17.62,18.98
Jiangsu,,,,,,,,,62.19,63.94,64.51,64.97,70.58,77.27,85.91,93.60,97.82,105.52,120.44,130.03,131.30,124.37,114.78
Zhejiang,,,,,,,,,53.75,54.04,53.83,51.78,54.13,57.24,62.48,62.81,62.04,55.25,53.24,59.78,64.48,66.66,71.85
Anhui,,,,,,69.10,,,63.41,65.49,72.09,76.94,87.41,98.37,103.93,96.02,110.40,116.25,124.32,127.10,127.75,122.93,121.20
Fujian,,,,,,43.82,,,37.89,39.85,39.13,37.20,39.61,43.90,50.50,53.51,52.61,54.71,62.58,66.97,64.77,67.44,68.64
Jiangxi,,,,,,67.80,,,59.65,65.59,67.01,66.78,67.85,69.48,65.48,54.28,53.84,64.88,67.68,75.74,82.15,85.47,85.61
Shandong,,,,,,,,,101.02,103.30,106.16,106.82,110.26,109.47,107.48,103.87,101.69,113.31,124.69,128.24,144.10,176.17,195.12
Henan,,,,,,150.31,,,140.81,164.48,170.45,167.61,165.35,165.75,168.90,160.19,166.71,191.90,203.54,204.18,202.55,220.41,225.57
Hubei,,,,,,,,,45.19,48.94,51.38,58.34,61.16,64.68,71.51,83.29,94.66,102.07,109.93,118.70,122.17,121.00,116.02
Hunan,,,,,,78.10,,,74.10,77.05,77.02,73.02,72.81,71.03,70.28,71.29,71.63,81.57,103.87,129.48,140.31,135.71,130.20
Guangdong,,,,,,131.91,,,124.35,137.04,149.96,161.97,174.19,183.53,186.76,180.31,175.45,167.43,162.87,158.67,152.90,148.45,148.48
Guangxi,,,,,,71.36,,,67.54,70.06,68.64,70.26,71.82,73.06,76.72,77.95,77.41,84.42,89.31,92.37,94.80,96.85,103.70
Hainan,,,,,,,,,11.73,12.47,12.82,13.18,14.69,16.93,17.11,17.66,17.85,17.14,16.75,17.40,16.34,15.37,15.41
Chongqing,,,,,,33.65,,,31.71,32.65,33.61,36.31,39.83,43.10,46.74,46.28,45.10,44.72,44.61,45.68,45.10,44.52,49.67
Sichuan,,,,,,,,,83.07,88.68,100.17,104.21,111.34,116.66,125.34,124.79,122.17,118.78,122.19,132.41,136.19,134.74,139.76
Guizhou,,,,,,,,,66.48,72.35,76.02,77.30,79.82,78.46,76.31,75.19,73.14,74.21,76.63,80.57,81.61,77.84,73.23
Yunnan,,,,,,,,,69.28,71.38,72.28,72.91,73.69,73.31,73.23,71.46,68.69,69.32,72.13,77.15,77.52,76.04,72.15
Tibet,,,,,,4.56,,,4.63,4.61,4.75,4.83,5.06,5.09,5.27,5.22,4.87,4.80,4.52,4.57,4.39,4.20,3.70
Shaanxi,,,,,,,,,37.46,40.05,44.86,46.46,50.59,55.56,61.79,65.26,67.98,72.46,76.57,80.62,83.04,81.32,77.00
Gansu,,,,,,29.47,,,31.93,37.06,39.87,42.63,47.43,49.27,48.59,47.87,50.64,50.26,48.88,48.15,48.61,48.90,45.93
Qinghai,,,,,,7.28,,,7.81,8.35,8.10,8.02,8.25,7.80,6.95,7.06,7.61,8.10,8.07,8.15,8.10,7.92,7.56
Ningxia,,,,,,9.94,,,10.06,10.19,10.77,11.27,10.97,11.11,11.38,9.65,10.40,10.47,9.44,9.68,10.20,10.42,10.48
Xinjiang,,,,,,30.90,,,30.91,32.13,32.10,32.77,33.44,33.98,34.93,36.19,37.39,39.76,41.76,42.14,41.16,39.50,37.18
Data Sources£ºNational Bureau of Statistics
