Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,1913,1916,1916,1913,1909,1907,1904,1897,1878
Tianjin,,1160,1165,1175,1168,1161,1178,1202,1193,1180
Hebei,,4575,4554,4484,4377,4257,4130,3973,3795,3615
Shanxi,,2226,2207,2182,2143,2096,2057,2012,1966,1916
Inner Mongolia,,1647,1637,1622,1605,1587,1572,1544,1515,1493
Liaoning,,3064,3079,3070,3046,3015,2996,2980,2952,2922
Jilin,,1496,1505,1503,1509,1512,1508,1508,1506,1501
Heilongjiang,,2052,2053,2080,2103,2111,2104,2116,2134,2137
Shanghai,,2211,2223,2222,2214,2206,2197,2196,2176,2203
Jiangsu,,6337,6289,6226,6137,6013,5911,5777,5612,5441
Zhejiang,,4826,4752,4668,4563,4392,4252,4112,3969,3826
Anhui,,3686,3631,3561,3474,3381,3288,3175,3064,2957
Fujian,,2937,2918,2861,2808,2749,2674,2586,2519,2446
Jiangxi,,2811,2776,2731,2668,2588,2513,2427,2346,2265
Shandong,,6559,6503,6409,6252,6193,6099,5897,5621,5372
Henan,,5633,5579,5510,5348,5153,4970,4770,4561,4345
Hubei,,3779,3736,3613,3665,3609,3535,3447,3345,3241
Hunan,,3983,3954,3905,3815,3722,3623,3491,3360,3238
Guangdong,,9465,9466,9361,9073,8867,8589,8353,8117,7884
Guangxi,,2809,2774,2720,2639,2564,2482,2392,2309,2220
Hainan,,631,622,610,591,581,564,543,519,499
Chongqing,,2280,2259,2229,2175,2107,2044,1970,1887,1818
Sichuan,,4886,4841,4749,4623,4452,4292,4126,3956,3785
Guizhou,,2114,2093,2051,1981,1893,1816,1712,1593,1480
Yunnan,,2427,2394,2363,2294,2231,2172,2088,2002,1918
Tibet,,136,134,131,125,120,116,107,95,85
Shaanxi,,2532,2516,2478,2417,2345,2267,2185,2105,2029
Gansu,,1351,1328,1306,1272,1250,1214,1161,1116,1070
Qinghai,,366,362,356,347,336,325,312,298,293
Ningxia,,483,479,468,456,441,430,408,390,372
Xinjiang,,1498,1482,1464,1421,1361,1287,1224,1163,1088
