Database???Annual by Province
Indicators£ºNumber of Graduates with Degrees or Diplomas in _Institutions of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,15.85,15.09,15.06,14.71,14.92,15.54,15.53,15.44,14.92,15.09,15.52,15.37,15.27,15.51,15.22,14.20,13.55,12.00,10.01
Tianjin,,15.60,14.35,14.27,13.71,13.88,13.92,13.79,13.21,12.35,12.10,11.30,10.87,10.54,10.14,10.17,9.23,8.20,6.92,5.17
Hebei,,48.80,40.89,38.51,35.78,33.88,33.00,33.52,32.80,34.45,33.43,31.58,31.11,29.71,28.27,27.13,24.07,22.10,18.04,14.31
Shanxi,,24.82,21.94,21.88,21.18,21.66,21.04,19.93,19.13,17.41,17.33,16.26,15.27,16.55,15.34,14.12,13.21,10.84,8.83,5.11
Inner Mongolia,,14.03,13.03,13.08,12.47,12.29,11.78,11.15,10.79,11.17,10.83,10.51,9.60,9.47,7.58,7.36,6.72,5.57,3.95,3.11
Liaoning,,31.86,25.83,25.60,25.71,27.59,26.88,26.35,25.83,24.75,24.10,23.60,23.63,21.96,20.62,20.23,16.96,15.50,14.50,11.59
Jilin,,21.81,18.14,17.69,17.18,16.62,17.01,16.49,15.70,15.18,14.64,14.65,14.16,13.60,12.74,11.79,10.87,10.25,8.40,6.50
Heilongjiang,,25.25,19.65,19.26,19.48,20.07,19.72,19.96,19.40,18.54,18.41,20.38,19.61,18.10,17.44,17.00,14.89,13.10,10.08,8.50
Shanghai,,14.73,13.57,13.56,13.17,13.25,13.42,13.26,12.87,13.24,13.38,13.67,13.90,13.37,12.69,12.21,11.85,11.05,10.34,8.86
Jiangsu,,57.36,52.36,51.29,48.85,49.13,48.95,48.16,48.41,47.87,47.38,47.03,47.71,47.89,41.27,38.09,30.96,25.73,22.97,19.74
Zhejiang,,34.63,30.04,28.66,28.34,28.06,27.66,27.33,26.40,25.37,24.49,24.75,23.84,23.37,21.82,20.32,18.39,16.25,13.31,10.31
Anhui,,41.89,32.70,32.68,32.16,33.52,32.28,30.80,29.25,29.99,28.01,26.55,25.61,23.22,20.57,19.11,18.12,14.42,11.70,8.84
Fujian,,28.09,22.47,20.77,20.02,20.43,20.44,19.95,19.47,19.01,18.72,17.85,17.37,15.34,14.28,13.04,11.41,9.50,6.48,5.28
Jiangxi,,37.91,31.02,30.92,30.33,31.10,29.60,25.64,23.45,24.03,24.06,23.20,22.58,22.59,21.33,26.45,21.90,14.11,9.78,6.54
Shandong,,73.43,61.79,60.54,57.80,58.59,57.12,50.91,47.42,46.41,47.59,47.43,47.29,44.40,43.16,41.11,35.57,26.84,22.46,16.70
Henan,,77.80,67.84,63.82,59.34,55.99,50.41,48.69,46.58,44.53,45.02,43.53,43.30,38.25,33.41,30.25,26.72,20.21,16.52,13.43
Hubei,,47.16,41.64,40.18,38.37,37.54,39.49,39.42,38.92,39.09,36.16,35.30,36.30,33.13,32.82,35.19,27.60,26.26,18.79,14.32
Hunan,,44.92,39.42,37.60,36.19,34.76,33.28,31.65,30.05,29.59,29.44,30.68,28.42,27.61,25.43,24.47,20.98,19.13,15.10,11.10
Guangdong,,63.38,57.44,55.01,52.21,52.39,51.12,48.94,47.69,44.10,41.23,40.40,35.75,33.42,30.92,28.25,23.31,19.60,15.71,12.52
Guangxi,,36.19,28.60,26.28,23.31,21.38,21.07,18.94,18.27,17.41,16.95,16.22,15.11,13.81,12.15,11.07,10.32,8.23,6.49,5.03
Hainan,,6.89,5.33,5.13,5.04,4.93,5.04,4.87,4.82,4.48,4.38,4.09,3.92,3.68,3.08,2.34,1.96,1.64,1.18,0.77
Chongqing,,27.10,21.58,21.16,20.08,19.97,19.64,18.99,18.11,16.58,14.87,13.76,13.07,12.28,11.45,9.97,9.00,7.65,5.94,5.40
Sichuan,,51.04,45.16,43.31,40.29,39.37,38.61,36.21,36.15,33.86,31.84,28.68,28.92,27.86,25.22,24.77,22.80,17.33,13.93,10.10
Guizhou,,25.12,21.12,19.45,16.97,15.97,14.90,11.68,11.68,9.86,8.81,8.53,8.30,7.48,6.42,6.61,6.17,5.32,3.87,3.11
Yunnan,,29.74,25.93,23.52,19.65,18.81,17.53,15.24,14.60,14.20,12.79,11.89,10.95,9.54,8.59,7.93,7.30,6.36,4.77,3.48
Tibet,,1.02,0.91,0.98,0.99,0.93,0.90,0.92,0.95,0.91,0.91,0.86,0.82,0.83,0.85,0.58,0.43,0.38,0.32,0.21
Shaanxi,,35.34,29.19,29.16,29.35,31.10,30.51,32.13,29.97,27.74,25.38,26.53,25.89,23.55,21.20,21.73,19.55,16.23,14.06,11.10
Gansu,,16.59,14.00,13.35,12.33,12.23,12.48,11.99,12.40,11.87,10.92,10.30,9.90,9.22,8.41,7.51,6.33,5.74,4.99,3.94
Qinghai,,2.08,2.01,1.96,1.90,1.74,1.47,1.41,1.34,1.27,1.24,1.17,1.26,1.12,1.04,0.98,0.95,0.86,0.82,0.58
Ningxia,,4.05,3.48,3.41,3.20,3.08,3.16,2.94,2.82,2.45,2.22,2.07,1.95,1.92,1.64,1.52,1.41,1.10,0.88,0.75
Xinjiang,,12.76,9.98,9.09,8.44,8.13,7.87,7.37,6.97,6.75,7.00,6.46,6.38,6.35,5.71,5.43,4.61,4.42,3.69,3.02
Data Sources£ºNational Bureau of Statistics
