Database???Annual by Province
Indicators£ºNumber of Graduates with Degrees or Diplomas in _Specialized Courses in Institutions of Higher _Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2.70,2.69,2.58,2.60,2.89,3.41,3.53,3.68,3.41,3.68,4.14,4.24,4.26,4.30,4.69,4.46,4.15,3.29,
Tianjin,,6.56,5.86,5.84,5.74,6.03,6.02,5.83,5.65,5.03,5.38,5.08,5.16,4.97,4.80,5.18,4.85,4.27,3.55,
Hebei,,26.22,21.03,19.29,18.33,16.73,15.96,17.16,16.95,19.14,18.81,18.22,19.09,18.91,18.32,16.97,15.32,14.04,11.49,
Shanxi,,11.19,8.65,8.98,9.07,9.91,9.72,9.77,9.98,8.87,9.69,9.03,8.76,10.50,9.56,8.79,8.25,6.91,5.16,
Inner Mongolia,,6.96,6.46,6.58,6.43,6.49,6.03,5.64,5.34,5.83,5.80,5.93,5.46,5.85,4.50,4.16,3.76,3.21,2.24,
Liaoning,,14.11,9.17,8.76,9.18,9.84,9.47,9.77,9.81,9.52,9.44,8.85,9.63,8.70,8.04,9.12,7.39,6.46,6.52,
Jilin,,9.22,6.10,5.63,5.52,5.30,5.51,5.12,4.72,4.69,4.30,4.84,4.98,4.98,3.93,3.99,3.72,3.90,3.11,
Heilongjiang,,11.18,6.53,6.50,7.21,7.58,7.18,7.23,6.91,6.61,6.75,8.58,8.82,8.25,8.00,7.67,6.85,5.80,4.25,
Shanghai,,4.89,4.34,4.40,4.61,4.67,4.73,4.49,4.33,4.73,4.92,5.10,5.49,5.54,5.50,5.53,5.80,5.61,5.15,
Jiangsu,,27.14,24.51,23.15,22.19,23.12,23.66,23.73,23.82,23.32,23.75,23.85,25.16,28.00,22.59,21.71,16.38,13.11,11.03,
Zhejiang,,17.47,14.29,13.41,13.17,13.14,13.04,12.71,12.37,11.95,11.67,12.13,12.16,12.49,11.92,11.34,10.54,9.50,7.85,
Anhui,,22.85,15.98,16.02,16.40,18.11,17.07,16.09,15.12,16.66,15.81,15.06,15.02,14.18,12.30,11.62,11.54,8.62,6.88,
Fujian,,14.38,9.96,8.33,7.85,8.33,8.26,8.75,8.49,8.77,9.28,8.99,9.43,8.17,7.67,7.51,6.64,6.21,3.77,
Jiangxi,,21.34,17.51,17.50,18.04,18.41,17.34,13.49,11.96,12.89,13.96,13.81,14.08,14.44,13.18,19.69,15.78,9.16,5.54,
Shandong,,43.28,34.08,33.05,33.33,34.63,32.57,27.26,24.67,24.86,26.42,26.87,29.36,26.13,25.16,24.10,18.88,14.44,12.32,
Henan,,43.44,37.25,33.54,31.67,29.79,25.03,24.40,24.31,23.63,26.60,26.75,27.90,24.49,20.65,18.77,17.01,12.35,10.33,
Hubei,,22.24,19.57,18.31,17.58,17.15,18.21,17.80,18.00,19.29,18.13,18.50,20.54,18.24,17.81,20.12,15.24,14.05,8.77,
Hunan,,25.43,21.44,20.08,19.53,18.34,17.05,15.42,14.63,14.46,15.23,17.44,16.43,16.67,14.80,15.01,12.25,11.25,9.12,
Guangdong,,31.27,29.22,27.57,25.45,27.00,26.57,25.58,25.28,22.95,21.18,22.27,19.53,18.13,17.47,16.35,14.38,12.57,9.60,
Guangxi,,21.65,15.70,14.31,12.51,11.63,12.17,10.69,10.59,10.31,10.45,10.00,9.42,9.02,7.91,7.35,7.13,5.44,4.30,
Hainan,,3.72,2.55,2.38,2.46,2.44,2.55,2.34,2.32,2.13,2.38,2.29,2.33,2.30,2.02,1.50,1.23,1.02,0.71,
Chongqing,,14.76,10.30,9.87,9.20,9.44,9.17,8.06,8.13,7.34,6.62,6.26,6.07,5.63,5.33,4.30,4.19,3.75,2.64,
Sichuan,,25.71,22.55,21.07,19.61,20.73,20.19,17.97,18.58,16.40,15.35,13.32,15.14,15.25,12.73,13.55,11.92,7.90,6.01,
Guizhou,,15.06,12.17,10.97,10.26,8.98,7.40,5.26,5.88,4.74,4.50,4.56,4.52,4.15,3.35,3.77,3.37,2.89,1.86,
Yunnan,,16.10,13.25,11.82,9.47,9.24,7.89,6.66,5.69,6.79,6.30,6.02,5.90,4.87,4.31,4.12,3.97,3.50,2.37,
Tibet,,0.39,0.32,0.38,0.40,0.37,0.35,0.40,0.45,0.42,0.43,0.39,0.36,0.36,0.38,0.22,0.22,0.21,0.19,
Shaanxi,,16.90,12.00,12.46,13.30,14.14,13.24,13.75,13.25,12.64,11.78,13.23,13.83,12.24,10.29,11.26,10.51,8.76,7.32,
Gansu,,8.54,6.86,6.21,5.44,5.18,5.45,4.93,5.68,5.44,4.83,4.57,4.79,4.65,4.45,3.77,3.10,2.89,2.60,
Qinghai,,1.03,1.06,1.04,1.04,0.91,0.67,0.61,0.60,0.56,0.56,0.51,0.66,0.54,0.49,0.50,0.52,0.42,0.40,
Ningxia,,1.90,1.45,1.55,1.40,1.29,1.44,1.26,1.27,1.12,0.96,0.89,0.95,1.00,0.87,0.77,0.73,0.49,0.30,
Xinjiang,,7.14,5.56,5.10,4.84,4.67,4.30,4.11,3.86,3.49,3.80,3.38,3.33,3.46,2.93,2.85,2.28,1.90,1.57,
Data Sources£ºNational Bureau of Statistics
