Database???Annual by Province
Indicators£ºNumber of Graduates with Degrees or Diplomas in _Undergraduate Courses in Institutions of Higher _Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,13.15,12.40,12.47,12.11,12.03,12.14,12.00,11.77,11.51,11.41,11.38,11.12,11.01,11.21,10.53,9.74,9.40,8.71,
Tianjin,,9.04,8.48,8.43,7.97,7.85,7.90,7.96,7.56,7.32,6.72,6.22,5.71,5.57,5.34,5.00,4.38,3.93,3.38,
Hebei,,22.59,19.85,19.22,17.45,17.14,17.04,16.36,15.85,15.31,14.62,13.35,12.03,10.80,9.95,10.17,8.75,8.06,6.55,
Shanxi,,13.63,13.29,12.90,12.11,11.75,11.33,10.15,9.14,8.54,7.64,7.22,6.51,6.05,5.78,5.33,4.96,3.93,3.68,
Inner Mongolia,,7.06,6.57,6.50,6.04,5.80,5.75,5.51,5.45,5.35,5.03,4.57,4.13,3.62,3.08,3.20,2.96,2.36,1.70,
Liaoning,,17.74,16.66,16.84,16.53,17.75,17.41,16.59,16.02,15.23,14.67,14.75,14.00,13.25,12.58,11.11,9.57,9.03,7.97,
Jilin,,12.59,12.03,12.06,11.66,11.31,11.50,11.37,10.98,10.49,10.34,9.81,9.18,8.61,8.82,7.81,7.15,6.34,5.29,
Heilongjiang,,14.08,13.12,12.76,12.27,12.49,12.54,12.73,12.49,11.92,11.65,11.79,10.79,9.84,9.44,9.33,8.04,7.30,5.83,
Shanghai,,9.83,9.22,9.16,8.56,8.58,8.69,8.77,8.54,8.51,8.46,8.57,8.42,7.83,7.19,6.67,6.05,5.44,5.20,
Jiangsu,,30.12,27.86,28.14,26.66,26.01,25.29,24.42,24.59,24.56,23.64,23.18,22.55,19.89,18.68,16.38,14.57,12.62,11.94,
Zhejiang,,17.14,15.75,15.25,15.17,14.93,14.61,14.62,14.03,13.42,12.82,12.62,11.68,10.89,9.90,8.98,7.85,6.75,5.46,
Anhui,,19.04,16.72,16.67,15.76,15.41,15.21,14.71,14.13,13.33,12.20,11.49,10.59,9.04,8.27,7.49,6.58,5.80,4.82,
Fujian,,13.72,12.51,12.44,12.16,12.10,12.18,11.20,10.98,10.24,9.45,8.86,7.94,7.17,6.62,5.53,4.77,3.28,2.71,
Jiangxi,,16.53,13.51,13.43,12.29,12.69,12.26,12.15,11.50,11.14,10.10,9.40,8.50,8.16,8.15,6.77,6.12,4.94,4.24,
Shandong,,30.14,27.71,27.48,24.47,23.96,24.55,23.66,22.75,21.55,21.17,20.56,17.93,18.27,18.00,17.02,16.69,12.40,10.14,
Henan,,34.30,30.59,30.27,27.67,26.20,25.38,24.28,22.27,20.89,18.42,16.78,15.40,13.76,12.77,11.48,9.72,7.86,6.18,
Hubei,,24.92,22.07,21.86,20.78,20.40,21.28,21.62,20.92,19.81,18.03,16.81,15.76,14.89,15.01,15.07,12.36,12.21,10.03,
Hunan,,19.50,17.98,17.53,16.67,16.42,16.23,16.23,15.42,15.13,14.20,13.24,11.98,10.94,10.62,9.46,8.73,7.88,5.98,
Guangdong,,31.69,28.22,27.44,26.76,25.40,24.56,23.36,22.41,21.14,20.05,18.13,16.23,15.29,13.45,11.90,8.94,7.03,6.11,
Guangxi,,14.44,12.91,11.98,10.81,9.75,8.89,8.25,7.68,7.10,6.51,6.21,5.68,4.79,4.24,3.71,3.19,2.78,2.19,
Hainan,,3.13,2.78,2.74,2.57,2.49,2.49,2.53,2.50,2.35,2.00,1.80,1.58,1.38,1.06,0.84,0.72,0.62,0.47,
Chongqing,,12.26,11.28,11.29,10.88,10.53,10.47,10.93,9.97,9.24,8.25,7.50,7.00,6.65,6.12,5.67,4.81,3.90,3.30,
Sichuan,,25.33,22.61,22.24,20.68,18.64,18.43,18.25,17.57,17.46,16.49,15.36,13.78,12.61,12.50,11.22,10.88,9.43,7.92,
Guizhou,,10.06,8.96,8.48,6.71,6.99,7.50,6.42,5.80,5.12,4.31,3.97,3.78,3.33,3.07,2.84,2.81,2.43,2.01,
Yunnan,,13.65,12.68,11.70,10.17,9.57,9.64,8.58,8.91,7.41,6.50,5.87,5.05,4.67,4.28,3.81,3.34,2.86,2.40,
Tibet,,0.63,0.58,0.60,0.60,0.56,0.55,0.52,0.51,0.49,0.48,0.47,0.46,0.46,0.47,0.36,0.22,0.17,0.13,
Shaanxi,,18.43,17.19,16.70,16.05,16.96,17.27,18.38,16.73,15.09,13.61,13.30,12.06,11.31,10.90,10.47,9.04,7.47,6.74,
Gansu,,8.05,7.14,7.13,6.89,7.06,7.02,7.06,6.72,6.43,6.08,5.73,5.12,4.57,3.96,3.73,3.23,2.85,2.39,
Qinghai,,1.04,0.96,0.92,0.86,0.83,0.79,0.80,0.74,0.72,0.68,0.66,0.60,0.58,0.55,0.48,0.44,0.44,0.42,
Ningxia,,2.15,2.02,1.86,1.80,1.79,1.72,1.68,1.55,1.33,1.26,1.18,1.00,0.92,0.77,0.75,0.68,0.61,0.59,
Xinjiang,,5.57,4.43,3.99,3.59,3.45,3.57,3.26,3.11,3.26,3.20,3.08,3.05,2.89,2.77,2.58,2.34,2.52,2.12,
Data Sources£ºNational Bureau of Statistics
