Database???Annual by Province
Indicators£ºNumber of Anticipated Graduates for Next Year of _Secondary Vocational Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,1.57,1.27,1.48,1.86,2.46,2.67,2.55,3.41,5.52,7.85,7.00,5.79,5.40,5.46,6.07,6.08,6.26,6.20,
Tianjin,,2.81,2.57,2.66,3.13,3.49,3.53,3.11,3.45,3.38,3.44,4.06,3.86,4.30,5.53,5.98,4.86,4.78,4.35,
Hebei,,31.80,29.20,25.76,27.09,25.04,23.80,22.58,20.26,26.30,30.42,34.19,39.22,35.65,35.96,35.32,31.70,26.93,23.74,
Shanxi,,10.14,10.01,9.17,10.12,11.09,12.04,11.96,13.81,14.80,15.55,16.06,18.86,19.48,19.21,16.59,15.23,14.10,10.81,
Inner Mongolia,,5.87,5.16,5.12,5.79,6.16,6.37,6.84,7.42,7.78,8.36,9.74,11.00,9.21,8.68,7.99,7.73,6.40,5.99,
Liaoning,,8.88,7.84,7.56,9.93,10.32,10.30,10.14,11.23,11.39,12.05,13.54,13.92,14.71,14.88,15.22,13.64,13.58,13.29,
Jilin,,4.18,4.30,3.36,4.11,4.42,4.31,3.99,4.98,5.65,7.66,8.12,8.86,9.71,9.11,8.52,7.46,6.95,6.15,
Heilongjiang,,5.61,5.61,4.66,6.29,6.54,7.20,7.69,7.55,8.66,10.25,9.43,12.68,12.99,12.19,9.59,7.56,7.75,6.89,
Shanghai,,4.04,3.33,3.24,3.32,3.43,3.54,3.82,3.93,4.59,5.50,4.30,4.53,5.18,5.40,5.57,5.70,5.90,6.06,
Jiangsu,,20.86,19.59,18.91,21.01,20.67,21.71,21.79,23.46,25.05,27.67,26.79,25.50,28.99,29.27,31.89,31.52,28.98,25.63,
Zhejiang,,18.63,18.02,16.71,17.15,17.42,17.31,15.96,17.36,18.11,20.40,20.67,20.51,19.17,19.10,20.90,22.46,22.28,23.83,
Anhui,,25.31,24.37,26.28,26.01,27.10,27.02,28.81,33.13,34.07,34.86,33.14,28.78,28.19,28.79,27.92,26.46,22.20,17.10,
Fujian,,11.88,11.45,10.48,10.14,11.75,11.53,12.04,13.57,16.65,19.44,17.96,19.67,18.04,17.02,16.09,14.73,13.39,13.15,
Jiangxi,,16.51,14.11,11.80,10.76,11.11,10.68,10.59,13.50,14.45,16.00,15.51,19.71,19.06,18.90,18.53,19.95,17.34,17.19,
Shandong,,29.17,25.57,22.31,23.51,26.21,26.25,25.88,30.25,33.44,36.01,38.33,38.06,39.45,44.72,42.76,39.81,39.09,37.87,
Henan,,37.51,37.58,35.98,33.54,35.88,32.32,33.81,35.66,39.33,42.57,53.92,54.53,54.69,56.09,47.28,40.23,39.57,34.47,
Hubei,,14.27,13.71,12.38,11.90,11.77,12.15,11.61,11.36,12.83,14.86,20.07,28.54,32.16,34.94,32.67,26.93,21.52,15.57,
Hunan,,22.88,22.48,20.68,20.93,21.25,20.91,19.52,19.94,20.32,20.43,23.40,25.23,23.01,27.67,26.75,27.10,23.10,19.23,
Guangdong,,28.19,27.88,26.14,27.02,26.54,33.19,33.23,37.42,40.78,48.40,51.18,45.34,43.07,34.32,28.44,25.37,22.49,20.25,
Guangxi,,21.90,22.03,20.59,21.06,21.57,21.19,22.30,24.77,25.73,25.78,26.18,23.28,20.42,17.03,15.73,13.75,11.37,10.99,
Hainan,,3.70,3.38,3.53,3.58,3.53,3.34,3.34,3.65,4.12,4.43,4.24,4.31,3.44,3.34,2.30,2.01,1.70,1.49,
Chongqing,,11.42,10.76,9.56,9.30,9.29,9.96,9.52,10.09,11.11,11.82,9.45,11.50,12.34,13.47,12.60,10.25,10.48,10.04,
Sichuan,,28.90,26.57,26.01,28.59,31.59,33.43,36.02,40.29,43.25,47.52,44.51,38.27,35.13,31.51,28.38,25.83,25.00,22.71,
Guizhou,,11.19,11.85,13.60,14.62,15.25,16.50,17.90,19.12,12.55,11.90,11.69,11.33,10.86,11.55,8.73,8.80,6.83,4.99,
Yunnan,,21.28,19.45,20.36,15.55,15.83,14.87,14.99,15.52,15.60,15.59,21.97,16.38,13.05,13.47,11.94,10.66,9.44,8.78,
Tibet,,0.91,1.17,0.91,0.62,0.67,0.53,0.56,0.43,0.61,0.64,0.65,0.93,0.88,0.63,1.07,1.03,0.23,0.25,
Shaanxi,,9.18,9.10,7.27,7.51,7.45,8.70,9.94,11.53,12.85,16.75,17.57,19.45,21.20,20.64,18.24,16.94,14.56,13.63,
Gansu,,4.99,5.00,5.08,5.47,6.03,6.41,7.25,8.01,9.43,9.67,9.57,10.43,10.85,10.51,8.37,7.35,6.35,5.47,
Qinghai,,2.56,2.37,2.11,2.14,2.09,2.19,2.02,2.27,2.21,2.15,2.15,2.55,2.30,2.26,2.03,1.51,0.97,0.80,
Ningxia,,2.24,2.38,2.38,2.28,2.33,2.50,2.50,2.50,2.62,3.81,3.24,3.25,3.29,2.78,2.03,2.26,2.05,1.75,
Xinjiang,,7.76,7.75,9.06,7.68,7.32,7.23,6.97,6.15,7.12,7.53,7.75,7.21,6.97,6.58,6.31,4.87,4.17,3.31,
Data Sources£ºNational Bureau of Statistics
