Database???Annual by Province
Indicators£ºNumber of Anticipated Graduates for Next Year in _Institutions of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,16.50,16.47,15.88,15.77,15.59,15.82,16.27,16.24,16.06,15.56,15.70,16.05,15.90,15.82,16.03,15.63,14.78,14.13,
Tianjin,,17.75,16.57,14.98,14.79,14.36,14.36,14.53,14.38,13.73,12.82,12.51,11.65,11.21,10.84,10.44,10.53,9.49,8.46,
Hebei,,51.58,49.12,41.66,39.07,36.62,34.58,33.39,33.96,33.37,34.90,33.61,31.89,31.40,29.98,28.43,27.13,24.68,22.44,
Shanxi,,26.37,25.26,22.27,22.13,21.50,21.91,21.26,20.10,19.38,17.48,17.40,16.32,15.39,16.66,15.45,14.16,13.08,10.85,
Inner Mongolia,,16.13,14.73,13.61,13.54,13.10,12.80,12.27,11.55,11.18,11.47,11.16,10.59,9.83,9.67,7.92,7.68,6.89,5.82,
Liaoning,,38.39,37.82,26.74,26.40,26.88,28.80,28.05,27.38,26.75,25.44,24.77,24.09,24.26,22.59,21.14,20.79,17.67,15.89,
Jilin,,20.81,21.76,18.76,18.20,17.73,17.11,17.45,16.88,16.02,15.09,14.77,14.76,14.27,13.74,12.86,11.94,11.14,10.44,
Heilongjiang,,25.68,24.91,19.98,19.51,19.96,20.48,20.12,20.35,19.75,18.81,18.67,20.59,19.91,18.30,17.72,17.31,15.26,13.22,
Shanghai,,15.81,15.63,14.86,14.64,14.39,14.42,14.63,14.21,13.88,14.04,14.19,14.33,14.46,14.11,13.31,12.88,12.48,11.64,
Jiangsu,,66.05,60.23,55.01,53.23,51.39,51.79,51.02,49.98,50.16,49.27,48.62,48.46,48.84,49.60,42.74,40.26,32.66,27.02,
Zhejiang,,37.33,36.02,31.29,29.67,29.70,29.35,28.72,28.34,27.30,26.25,25.21,25.39,24.54,24.02,22.49,21.06,19.11,16.82,
Anhui,,47.25,43.64,33.36,33.30,32.79,34.27,32.85,31.39,29.63,30.33,28.36,26.83,25.87,23.56,20.78,19.52,18.41,14.52,
Fujian,,30.67,29.45,23.31,21.41,21.19,21.54,21.54,20.99,20.37,19.68,19.28,18.30,17.86,15.83,14.73,13.49,11.70,9.69,
Jiangxi,,43.48,39.87,31.40,31.20,30.67,31.35,29.98,26.14,23.96,24.45,24.61,23.32,23.25,22.82,21.69,26.99,21.44,14.33,
Shandong,,75.67,74.85,63.20,61.75,59.29,59.93,58.43,52.04,48.43,47.24,48.26,47.91,47.74,45.20,43.46,41.64,35.64,27.51,
Henan,,85.18,79.47,69.26,65.05,60.68,57.06,51.50,49.56,47.17,44.70,44.76,43.68,42.78,38.48,33.82,30.12,27.01,20.54,
Hubei,,52.03,48.53,42.68,40.99,39.54,38.72,40.61,40.37,39.71,39.69,36.58,35.78,36.62,33.68,33.01,34.85,28.48,27.96,
Hunan,,47.06,46.31,40.34,38.16,37.27,35.76,34.02,32.47,30.68,30.26,29.98,30.90,28.82,27.71,25.61,25.24,21.90,19.53,
Guangdong,,89.63,65.88,59.90,56.99,54.66,54.96,53.39,50.86,49.33,45.47,42.53,41.67,36.93,34.47,31.86,29.10,24.28,20.51,
Guangxi,,39.10,38.31,30.34,27.99,24.91,22.83,22.27,19.93,19.10,17.82,17.58,16.72,15.48,14.24,12.42,11.40,10.94,8.83,
Hainan,,7.68,7.15,5.56,5.28,5.29,5.20,5.19,5.18,4.92,4.61,4.46,4.23,4.05,3.89,3.28,2.52,2.15,1.81,
Chongqing,,31.50,28.97,22.49,21.80,21.08,20.85,20.38,19.59,18.76,17.04,15.28,14.17,13.44,12.48,11.71,10.24,9.21,7.87,
Sichuan,,58.50,53.68,47.58,45.09,42.46,41.38,40.41,37.81,37.47,34.92,32.68,29.62,29.86,28.60,26.03,25.30,22.93,17.48,
Guizhou,,26.37,25.90,21.86,20.14,17.89,16.61,15.27,11.84,11.88,10.09,9.45,8.76,8.48,7.61,6.60,6.62,6.24,5.39,
Yunnan,,33.85,30.63,26.59,24.03,20.24,19.34,17.95,15.51,14.90,14.40,12.98,12.07,11.10,9.70,8.75,8.06,7.39,6.44,
Tibet,,1.21,1.07,0.91,0.98,1.01,0.94,0.91,0.92,0.96,0.91,0.82,0.78,0.80,0.78,0.84,0.59,0.44,0.39,
Shaanxi,,39.87,37.33,30.05,29.95,30.30,31.81,31.18,32.84,30.73,28.14,25.78,26.79,26.05,23.92,21.47,22.41,19.46,16.40,
Gansu,,19.76,17.16,14.31,13.63,12.72,12.65,12.80,12.23,12.64,12.00,11.04,10.45,10.02,9.43,8.45,7.82,6.57,5.77,
Qinghai,,2.31,2.15,2.09,2.00,1.97,1.84,1.53,1.47,1.40,1.32,1.29,1.20,1.30,1.16,1.11,0.98,1.00,0.85,
Ningxia,,4.74,4.30,3.55,3.51,3.35,3.26,3.25,3.07,2.89,2.55,2.28,2.12,2.00,2.03,1.69,1.57,1.43,1.11,
Xinjiang,,17.05,13.66,10.21,9.72,9.16,8.75,8.35,7.87,7.38,6.99,7.17,6.70,6.60,6.49,5.94,5.67,4.92,4.45,
Data Sources£ºNational Bureau of Statistics
