Database???Annual by Province
Indicators£ºNumber of Anticipated Graduates for Next Year in _Specialized Courses in Institutions of Higher _Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2.37,2.75,2.80,2.70,2.72,3.04,3.52,3.70,3.81,3.55,11.91,4.23,4.31,4.32,4.39,4.75,4.48,4.29,
Tianjin,,8.22,7.01,6.06,5.96,5.93,6.03,6.19,5.98,5.80,5.17,7.05,5.15,5.20,5.02,4.85,5.27,4.89,4.31,
Hebei,,26.96,26.27,21.34,19.53,18.64,17.03,16.06,17.26,17.21,19.34,14.78,18.35,19.15,19.02,18.27,16.68,15.76,14.21,
Shanxi,,12.42,11.57,8.82,9.10,9.21,10.05,9.85,9.89,10.18,8.96,7.65,9.07,8.87,10.61,9.59,8.78,8.18,6.86,
Inner Mongolia,,8.45,7.47,6.78,6.83,6.75,6.72,6.29,5.80,5.51,5.97,5.17,5.90,5.57,5.94,4.66,4.27,3.74,3.31,
Liaoning,,19.52,19.44,9.35,8.86,9.35,10.07,9.73,10.00,10.00,9.67,15.19,8.93,9.74,8.83,8.14,9.26,7.58,6.52,
Jilin,,7.50,8.87,6.33,5.84,5.68,5.44,5.62,5.21,4.82,4.72,10.45,4.87,5.01,5.00,3.91,4.04,3.82,3.97,
Heilongjiang,,10.99,10.70,6.65,6.59,7.35,7.71,7.26,7.32,7.02,6.67,11.83,8.66,8.95,8.30,8.08,7.88,7.04,5.74,
Shanghai,,5.23,5.04,4.63,4.62,4.88,4.94,4.98,4.71,4.58,4.92,9.06,5.24,5.59,5.66,5.62,5.65,5.96,5.78,
Jiangsu,,34.18,28.90,25.73,24.02,23.36,24.42,24.56,24.43,24.52,24.06,24.51,24.52,25.59,28.94,23.36,23.10,17.20,13.94,
Zhejiang,,18.99,18.13,14.67,13.64,13.60,13.56,13.34,13.08,12.70,12.27,13.32,12.32,12.40,12.70,12.15,11.60,10.79,9.69,
Anhui,,27.31,24.46,16.23,16.31,16.54,18.50,17.31,16.38,15.26,16.79,12.40,15.21,15.14,14.34,12.41,11.86,11.73,8.57,
Fujian,,15.63,15.25,10.23,8.56,8.33,8.80,8.74,9.23,8.95,9.07,9.79,9.15,9.60,8.32,7.85,7.67,6.69,6.20,
Jiangxi,,25.33,23.04,17.63,17.57,18.13,18.45,17.46,13.72,12.26,13.08,10.30,13.72,14.54,14.49,13.25,20.09,15.13,9.24,
Shandong,,42.14,44.16,34.57,33.46,33.86,35.12,33.21,27.77,25.19,25.35,21.52,27.04,29.54,26.66,25.26,24.33,18.77,15.02,
Henan,,49.45,44.76,38.12,34.21,32.36,30.30,25.56,24.69,24.58,23.74,18.68,26.66,27.28,24.62,20.75,18.61,17.06,12.51,
Hubei,,25.86,23.22,19.97,18.68,17.97,17.55,18.61,18.10,18.27,19.59,18.28,18.77,20.73,18.52,17.80,19.96,16.74,15.24,
Hunan,,26.09,26.40,21.85,20.24,19.99,18.79,17.17,15.75,14.88,14.72,14.53,17.48,16.62,16.62,14.77,15.52,12.87,11.58,
Guangdong,,54.74,32.57,30.47,28.46,26.59,28.20,27.65,26.45,26.07,23.68,20.62,22.97,20.08,18.62,17.93,16.75,14.85,13.12,
Guangxi,,22.64,23.35,16.64,15.03,13.24,12.48,12.69,11.15,10.99,10.63,6.79,10.33,9.64,9.20,8.00,7.50,7.61,5.67,
Hainan,,4.04,3.88,2.67,2.44,2.60,2.60,2.64,2.55,2.32,2.17,2.06,2.42,2.40,2.47,2.11,1.65,1.34,1.11,
Chongqing,,17.48,16.13,10.75,10.15,9.65,9.80,9.39,8.21,8.31,7.50,8.50,6.41,6.24,5.68,5.42,4.38,4.30,3.81,
Sichuan,,30.20,26.91,23.65,21.86,20.62,21.71,20.95,18.56,19.11,16.81,16.97,13.56,15.49,15.50,13.02,13.72,11.73,7.82,
Guizhou,,15.52,15.56,12.66,11.45,10.87,9.34,7.61,5.29,5.92,4.79,4.84,4.68,4.63,4.24,3.44,3.75,3.37,2.95,
Yunnan,,19.89,16.66,13.55,12.05,9.72,9.46,8.02,6.75,5.78,6.84,6.64,6.05,5.93,4.89,4.35,4.14,3.99,3.51,
Tibet,,0.52,0.46,0.32,0.38,0.40,0.37,0.35,0.39,0.45,0.42,0.48,0.33,0.34,0.32,0.37,0.22,0.23,0.22,
Shaanxi,,20.16,18.31,12.20,12.74,13.66,14.29,13.43,13.88,13.57,12.77,13.88,13.29,13.79,12.37,10.35,11.62,10.36,8.71,
Gansu,,11.16,9.05,6.94,6.29,5.53,5.28,5.55,5.00,5.75,5.48,6.19,4.60,4.82,4.80,4.45,3.74,3.26,2.85,
Qinghai,,1.13,1.06,1.10,1.04,1.09,0.98,0.68,0.62,0.61,0.58,0.72,0.53,0.68,0.56,0.55,0.50,0.54,0.41,
Ningxia,,2.29,2.06,1.47,1.57,1.45,1.37,1.44,1.28,1.32,1.14,1.29,0.91,0.97,1.05,0.89,0.81,0.73,0.50,
Xinjiang,,10.43,7.67,5.60,5.39,5.10,4.94,4.52,4.31,4.03,3.57,3.28,3.49,3.40,3.50,2.96,2.94,2.34,1.89,
Data Sources£ºNational Bureau of Statistics
