Database???Annual by Province
Indicators£ºNumber of Anticipated Graduates for Next Year in _Undergraduate Courses in Institutions of Higher _Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,14.14,13.72,13.08,13.07,12.87,12.78,12.75,12.54,12.25,12.01,3.79,11.82,11.60,11.50,11.64,10.88,10.30,9.84,
Tianjin,,9.53,9.56,8.92,8.82,8.43,8.33,8.34,8.40,7.93,7.65,5.46,6.49,6.01,5.83,5.59,5.27,4.60,4.15,
Hebei,,24.62,22.85,20.32,19.54,17.98,17.55,17.33,16.70,16.16,15.56,18.83,13.54,12.25,10.96,10.16,10.46,8.92,8.24,
Shanxi,,13.96,13.69,13.45,13.03,12.29,11.86,11.41,10.22,9.19,8.52,9.75,7.25,6.52,6.05,5.86,5.38,4.90,3.99,
Inner Mongolia,,7.68,7.26,6.82,6.71,6.35,6.07,5.98,5.75,5.67,5.49,5.99,4.69,4.26,3.72,3.26,3.41,3.15,2.51,
Liaoning,,18.87,18.38,17.39,17.54,17.53,18.73,18.32,17.38,16.75,15.77,9.59,15.16,14.52,13.76,13.00,11.54,10.09,9.37,
Jilin,,13.31,12.89,12.44,12.36,12.05,11.67,11.83,11.67,11.20,10.37,4.32,9.89,9.27,8.74,8.95,7.90,7.32,6.47,
Heilongjiang,,14.69,14.21,13.33,12.92,12.62,12.77,12.85,13.02,12.73,12.14,6.84,11.93,10.96,10.00,9.64,9.42,8.22,7.48,
Shanghai,,10.57,10.59,10.23,10.03,9.51,9.49,9.65,9.50,9.30,9.12,5.13,9.09,8.87,8.45,7.69,7.24,6.52,5.85,
Jiangsu,,31.74,31.24,29.29,29.21,28.03,27.38,26.46,25.55,25.64,25.21,24.11,23.94,23.25,20.66,19.38,17.16,15.46,13.07,
Zhejiang,,18.31,17.88,16.63,16.03,16.10,15.79,15.39,15.26,14.61,13.98,11.89,13.07,12.14,11.32,10.34,9.46,8.32,7.12,
Anhui,,19.94,19.18,17.13,16.99,16.25,15.77,15.55,15.02,14.37,13.54,15.96,11.62,10.73,9.22,8.37,7.66,6.68,5.96,
Fujian,,14.85,14.20,13.08,12.85,12.86,12.74,12.80,11.76,11.41,10.61,9.49,9.15,8.26,7.51,6.88,5.83,5.00,3.49,
Jiangxi,,17.74,16.78,13.77,13.64,12.54,12.90,12.52,12.41,11.70,11.37,14.30,9.60,8.71,8.33,8.44,6.90,6.31,5.09,
Shandong,,32.89,30.69,28.63,28.29,25.43,24.81,25.22,24.27,23.24,21.89,26.74,20.87,18.21,18.54,18.20,17.32,16.87,12.49,
Henan,,35.43,34.65,31.14,30.84,28.33,26.76,25.94,24.87,22.59,20.96,26.08,17.03,15.50,13.86,13.08,11.50,9.95,8.03,
Hubei,,26.18,25.30,22.70,22.31,21.57,21.17,21.99,22.27,21.45,20.10,18.30,17.01,15.89,15.16,15.21,14.90,11.74,12.73,
Hunan,,20.97,19.92,18.49,17.92,17.28,16.97,16.85,16.72,15.80,15.54,15.45,13.42,12.20,11.09,10.83,9.72,9.02,7.95,
Guangdong,,34.23,32.90,29.43,28.53,28.07,26.76,25.75,24.40,23.26,21.79,21.92,18.71,16.85,15.85,13.93,12.36,9.43,7.39,
Guangxi,,16.06,14.85,13.69,12.95,11.66,10.35,9.58,8.78,8.11,7.19,10.79,6.40,5.83,5.04,4.42,3.90,3.33,3.16,
Hainan,,3.31,3.24,2.89,2.84,2.70,2.61,2.55,2.63,2.60,2.44,2.40,1.82,1.65,1.42,1.17,0.87,0.82,0.70,
Chongqing,,13.72,12.76,11.74,11.65,11.42,11.05,10.99,11.39,10.44,9.54,6.78,7.76,7.20,6.80,6.29,5.86,4.91,4.06,
Sichuan,,28.08,26.77,23.93,23.23,21.84,19.67,19.46,19.25,18.36,18.11,15.71,16.06,14.38,13.09,13.02,11.58,11.19,9.66,
Guizhou,,10.85,10.35,9.20,8.69,7.03,7.27,7.66,6.55,5.96,5.30,4.61,4.08,3.85,3.37,3.15,2.87,2.87,2.43,
Yunnan,,13.96,13.96,13.03,11.98,10.52,9.88,9.93,8.76,9.12,7.56,6.33,6.02,5.16,4.82,4.41,3.91,3.40,2.94,
Tibet,,0.70,0.61,0.59,0.60,0.61,0.57,0.56,0.52,0.51,0.49,0.34,0.45,0.46,0.47,0.47,0.37,0.22,0.17,
Shaanxi,,19.40,19.00,17.85,17.20,16.65,17.52,17.76,18.96,17.17,15.37,11.90,13.50,12.26,11.55,11.12,10.78,9.10,7.69,
Gansu,,8.60,8.11,7.37,7.34,7.19,7.37,7.25,7.22,6.89,6.53,4.85,5.85,5.20,4.63,4.00,4.08,3.31,2.92,
Qinghai,,1.18,1.08,0.99,0.97,0.88,0.87,0.85,0.85,0.79,0.74,0.57,0.67,0.62,0.60,0.57,0.48,0.46,0.43,
Ningxia,,2.44,2.24,2.08,1.94,1.90,1.89,1.82,1.79,1.57,1.42,0.99,1.21,1.03,0.98,0.80,0.77,0.69,0.62,
Xinjiang,,6.54,5.93,4.62,4.33,4.05,3.81,3.83,3.57,3.35,3.42,3.89,3.21,3.20,2.99,2.98,2.73,2.58,2.56,
Data Sources£ºNational Bureau of Statistics
