Database???Annual by Province
Indicators£ºDeath Rate(?)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,5.72,5.39,,5.49,5.58,5.30,5.20,4.95,4.92,4.52,4.31,4.27,4.41,4.56,4.75,4.92,4.97,5.20,5.40
Tianjin,,6.43,6.23,,5.30,5.42,5.05,5.54,5.61,6.05,6.00,6.12,6.08,5.58,5.70,5.94,5.86,6.07,6.01,5.97
Hebei,,7.80,7.58,,6.12,6.38,6.60,6.36,5.79,6.23,6.87,6.41,6.52,6.41,6.43,6.49,6.78,6.59,6.75,6.19
Shanxi,,7.73,7.32,,5.85,5.32,5.45,5.52,5.56,5.93,5.57,5.83,5.61,5.38,5.98,6.01,5.97,5.73,6.00,6.11
Inner Mongolia,,7.83,7.54,,5.66,5.95,5.74,5.69,5.32,5.75,5.62,5.52,5.43,5.54,5.61,5.54,5.73,5.91,5.46,5.98
Liaoning,,9.04,8.89,,7.25,7.39,6.93,6.78,6.59,6.23,6.12,6.54,6.05,6.26,5.09,5.22,5.36,5.30,6.04,5.60
Jilin,,8.39,8.08,,6.90,6.26,6.50,5.60,5.53,6.22,5.04,5.37,5.51,5.88,4.74,5.04,5.05,5.00,5.32,5.63
Heilongjiang,,9.09,8.70,,6.74,6.67,6.63,6.61,6.60,6.46,6.08,6.03,5.92,5.03,5.42,5.68,5.39,5.18,5.20,5.45
Shanghai,,5.96,5.59,,5.50,5.40,5.30,5.00,5.07,5.21,5.24,5.36,5.10,5.07,5.94,6.17,6.03,5.89,6.08,6.00
Jiangsu,,7.04,6.77,,7.04,7.03,7.03,7.03,7.03,7.02,7.01,6.99,6.98,6.88,6.99,7.04,7.07,7.08,7.03,7.20
Zhejiang,,6.24,5.90,,5.52,5.58,5.56,5.52,5.50,5.51,5.45,5.52,5.40,5.54,5.59,5.62,5.57,5.42,6.08,5.76
Anhui,,8.09,8.00,,6.04,5.96,5.90,5.96,5.94,5.89,6.06,6.14,5.91,5.95,6.60,6.60,6.40,6.30,6.23,5.50
Fujian,,6.52,6.28,,6.10,6.20,6.20,6.20,6.10,6.20,6.01,5.73,5.20,5.16,6.00,5.90,5.90,5.75,5.62,5.62
Jiangxi,,6.94,6.71,,6.03,6.06,6.08,6.16,6.24,6.26,6.28,6.14,5.98,6.06,5.98,6.01,5.99,6.01,5.96,5.99
Shandong,,7.64,7.36,,7.50,7.18,7.40,7.05,6.67,6.84,6.40,6.95,6.40,6.26,6.08,6.16,6.11,6.10,6.31,6.49
Henan,,7.50,7.36,,6.84,6.80,6.97,7.11,7.05,7.02,6.76,6.71,6.62,6.57,6.46,6.45,6.32,6.27,6.30,6.47
Hubei,,8.09,7.86,,7.08,7.00,7.01,6.97,5.83,6.96,6.15,6.12,6.01,6.02,6.00,6.50,5.96,5.95,5.69,6.03
Hunan,,8.54,8.28,,7.28,7.08,7.08,7.01,6.86,6.89,6.96,7.01,6.80,6.70,6.94,7.28,6.71,6.73,6.75,6.80
Guangdong,,4.97,4.83,,4.46,4.55,4.52,4.41,4.32,4.70,4.69,4.65,4.35,4.21,4.52,4.55,4.66,4.49,4.68,5.12
Guangxi,,7.08,6.80,,6.14,5.96,6.22,5.95,6.15,6.21,6.35,6.31,6.04,5.48,5.64,5.70,5.99,6.10,6.09,6.12
Hainan,,6.16,6.01,,6.11,6.01,6.01,6.00,6.00,5.95,5.90,5.81,5.75,5.73,5.70,5.72,5.71,5.73,5.72,5.79
Chongqing,,8.09,8.04,,7.57,7.54,7.27,7.24,7.19,7.05,6.77,6.86,6.71,6.40,6.20,6.30,6.30,6.50,6.40,6.60
Sichuan,,9.04,8.74,,7.09,7.01,7.03,6.99,6.94,7.02,6.90,6.92,6.81,6.62,6.43,7.15,6.29,6.28,6.80,6.27
Guizhou,,7.32,7.19,,6.95,6.85,6.88,6.93,7.20,7.18,7.15,6.96,6.93,6.55,6.69,6.77,6.60,6.71,7.21,6.35
Yunnan,,8.21,8.12,,6.20,6.32,6.68,6.55,6.48,6.45,6.43,6.41,6.36,6.56,6.45,6.31,6.22,6.30,6.75,6.60
Tibet,,5.48,5.47,,4.46,4.58,4.95,5.11,5.10,5.21,5.39,5.21,5.13,5.55,5.07,5.20,5.10,5.70,7.15,6.20
Shaanxi,,7.64,7.38,,6.28,6.24,6.24,6.23,6.28,6.26,6.15,6.24,6.06,6.01,6.24,6.21,6.16,6.15,6.01,6.33
Gansu,,8.51,8.26,,6.75,6.65,6.52,6.18,6.15,6.11,6.08,6.05,6.03,6.02,6.71,6.68,6.65,6.62,6.57,6.52
Qinghai,,7.23,6.91,,6.08,6.25,6.17,6.18,6.17,6.18,6.13,6.06,6.12,6.31,6.19,6.14,6.13,6.27,6.21,6.45
Ningxia,,6.19,6.09,,5.69,5.54,4.75,4.72,4.58,4.53,4.50,4.33,4.68,5.10,4.70,4.62,5.04,4.84,4.95,4.79
Xinjiang,,5.76,5.60,,4.45,4.56,4.48,4.26,4.51,4.97,4.92,4.48,4.42,5.43,5.43,4.88,5.01,5.03,5.04,5.09
Data Sources£ºNational Bureau of Statistics
