Database???Annual by Province
Indicators£ºNumber of Degrees Conferred in Institutions of Higher _Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,13.19,12.39,12.43,12.02,11.88,11.95,11.77,11.57,11.31,11.22,11.18,10.87,10.37,10.22,9.38,8.83,8.26,7.91,
Tianjin,,9.08,8.54,8.48,7.80,7.63,7.76,7.64,7.27,7.03,6.49,6.07,5.52,5.35,5.05,4.65,4.02,3.54,2.89,
Hebei,,22.56,19.82,19.15,17.35,17.00,16.83,16.15,15.58,15.06,14.45,13.08,11.77,10.42,9.32,9.45,7.92,7.32,5.93,
Shanxi,,13.55,13.19,12.76,11.93,11.61,11.16,9.96,8.92,8.32,7.42,7.04,6.29,5.45,5.07,4.65,4.22,3.55,3.20,
Inner Mongolia,,6.99,6.49,6.39,5.87,5.66,5.60,5.33,5.28,5.18,4.93,4.48,4.03,3.44,2.95,3.05,2.76,2.19,1.57,
Liaoning,,17.73,16.60,16.78,16.40,17.63,17.25,16.45,15.87,15.06,14.52,14.56,13.75,12.95,12.23,10.65,9.04,8.44,7.45,
Jilin,,12.54,12.00,11.95,11.51,11.15,11.22,11.02,10.67,10.11,9.97,9.40,8.65,7.36,7.47,5.98,6.34,5.76,4.77,
Heilongjiang,,14.07,13.04,12.70,12.18,12.40,12.43,12.61,12.32,11.71,11.51,11.67,10.59,9.10,8.96,8.72,7.70,7.03,5.65,
Shanghai,,9.79,9.13,9.10,8.44,8.45,8.52,8.55,8.32,8.31,8.24,8.32,8.09,7.47,6.88,6.44,5.68,5.05,4.88,
Jiangsu,,29.94,27.34,27.70,26.05,25.39,24.63,23.75,23.81,23.43,22.79,22.29,21.16,18.44,17.16,14.66,12.98,10.90,9.91,
Zhejiang,,17.10,15.65,15.14,15.05,14.79,14.44,14.41,13.73,13.16,12.55,12.35,11.32,10.42,9.46,8.46,7.35,6.32,4.83,
Anhui,,18.99,16.59,16.52,15.62,15.23,15.03,14.49,13.81,13.03,11.96,11.28,10.32,8.18,7.91,6.97,5.93,5.24,4.24,
Fujian,,13.72,12.46,12.40,12.13,12.05,12.08,11.08,10.90,10.17,9.37,8.78,7.94,6.70,6.49,5.39,4.64,3.13,2.54,
Jiangxi,,16.48,13.43,13.34,12.22,12.57,12.12,11.87,11.25,10.93,9.86,9.21,8.29,7.65,7.76,6.33,5.45,4.54,3.81,
Shandong,,30.21,27.73,27.52,24.27,23.83,24.21,23.25,22.39,21.59,20.92,20.33,17.63,17.64,16.97,16.22,15.69,11.85,9.55,
Henan,,34.35,30.49,30.05,27.31,25.79,24.90,23.80,21.79,20.52,18.08,16.53,15.07,12.77,12.32,10.97,9.21,7.32,5.50,
Hubei,,24.73,21.76,21.61,20.37,19.92,20.77,21.13,20.48,19.40,17.64,16.40,14.98,13.84,13.93,13.63,10.47,10.53,9.00,
Hunan,,19.38,17.82,17.39,16.35,16.10,15.87,15.61,15.06,14.77,13.95,12.96,11.75,10.68,10.37,9.12,8.19,7.41,5.43,
Guangdong,,32.07,28.23,27.31,26.51,25.23,24.35,23.15,22.15,20.88,19.82,17.87,15.89,14.63,12.73,11.41,8.73,6.75,5.46,
Guangxi,,14.45,12.79,11.69,10.55,9.57,8.74,8.07,7.50,6.96,6.37,6.07,5.51,4.61,4.06,3.52,2.97,2.54,1.98,
Hainan,,3.12,2.71,2.65,2.49,2.41,2.36,2.43,2.39,2.25,1.90,1.68,1.48,1.30,0.97,0.48,0.63,0.47,0.36,
Chongqing,,12.32,11.18,11.10,10.69,10.26,10.17,10.47,9.59,8.84,7.94,7.20,6.60,6.24,5.82,5.15,4.24,3.39,2.76,
Sichuan,,25.38,22.45,22.15,20.29,18.21,18.06,17.92,17.18,17.29,16.28,15.10,13.45,12.23,11.91,10.53,10.02,8.45,7.08,
Guizhou,,9.94,8.72,8.29,6.49,6.66,7.12,6.01,5.39,4.87,4.04,3.72,3.48,2.92,2.76,2.60,2.44,2.07,1.64,
Yunnan,,13.58,12.55,11.56,10.00,9.38,9.46,8.34,8.67,7.20,6.27,5.70,4.92,4.53,4.05,3.65,3.09,2.69,2.15,
Tibet,,0.62,0.56,0.58,0.56,0.53,0.53,0.50,0.49,0.48,0.47,0.45,0.43,0.40,0.41,0.32,0.19,0.14,0.09,
Shaanxi,,18.24,17.07,16.55,15.88,16.75,17.02,18.05,16.38,14.80,13.36,12.78,11.61,10.73,10.22,9.84,8.13,6.38,6.19,
Gansu,,7.96,7.03,7.07,6.80,6.94,6.84,6.86,6.54,6.22,5.89,5.52,5.03,4.20,3.38,3.31,2.85,2.48,2.05,
Qinghai,,1.04,0.95,0.92,0.84,0.82,0.77,0.77,0.71,0.68,0.66,0.65,0.60,0.52,0.33,0.27,0.26,0.27,0.28,
Ningxia,,2.10,2.00,1.84,1.73,1.72,1.65,1.61,1.44,1.28,1.21,1.12,0.99,0.54,0.47,0.67,0.28,0.54,0.54,
Xinjiang,,5.39,4.21,3.85,3.48,3.18,3.29,2.93,2.85,3.00,2.95,2.83,2.76,2.53,2.18,1.77,1.80,2.00,1.33,
Data Sources£ºNational Bureau of Statistics
