Database???Annual by Province
Indicators£ºNumber of Students Enrollment of Regular Institutions _of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,62.66,61.70,60.89,60.15,59.49,59.29,59.92,60.36,60.46,59.89,59.12,58.79,58.71,58.67,58.56,57.82,56.58,54.83,49.95
Tianjin,,59.45,58.34,57.22,53.94,52.33,51.47,51.38,51.29,50.58,48.99,47.31,44.97,42.92,40.60,38.64,37.11,35.74,33.16,28.57
Hebei,,177.37,170.43,160.48,147.40,134.26,126.89,121.61,117.92,116.43,117.44,116.88,114.93,110.51,106.05,100.00,93.05,86.26,77.40,69.74
Shanxi,,94.57,89.08,84.20,80.20,76.56,76.30,75.63,74.02,71.32,67.68,63.73,59.45,56.29,54.74,52.68,48.45,44.64,40.70,34.53
Inner Mongolia,,53.45,50.68,48.66,47.20,45.53,44.81,43.67,42.08,40.64,39.92,39.14,38.44,37.14,35.19,31.67,28.41,25.29,23.09,19.87
Liaoning,,118.02,117.84,114.08,104.11,96.32,98.10,99.87,100.57,99.83,96.80,93.41,90.22,88.02,85.25,82.04,77.78,72.05,65.94,58.35
Jilin,,78.87,75.56,72.70,70.01,65.83,64.39,64.23,63.27,61.83,59.95,57.90,56.28,54.44,53.10,50.41,47.02,43.51,40.73,36.22
Heilongjiang,,91.20,87.91,82.56,77.82,73.21,73.42,73.59,73.52,73.06,71.79,70.45,71.00,71.91,70.89,67.81,63.49,59.20,54.09,46.57
Shanghai,,55.48,54.87,54.07,52.66,51.78,51.49,51.47,51.16,50.66,50.48,50.66,51.13,51.57,51.28,50.29,48.49,46.63,44.26,41.57
Jiangsu,,221.91,211.08,201.47,187.41,180.63,176.79,174.58,171.57,169.86,168.45,167.12,165.94,164.94,165.34,157.26,147.23,130.62,115.98,99.48
Zhejiang,,125.33,121.03,114.87,107.47,101.94,100.23,99.61,99.11,97.82,95.96,93.23,90.75,88.49,86.65,83.22,77.80,71.99,65.13,57.28
Anhui,,155.35,150.50,136.85,124.12,113.91,114.74,114.50,113.07,108.05,105.21,102.30,99.13,93.90,87.78,80.83,73.05,66.37,58.91,50.13
Fujian,,107.61,102.34,94.72,86.12,77.24,75.10,75.64,75.85,74.85,73.05,70.14,67.48,64.78,60.63,56.26,50.95,46.13,40.70,32.57
Jiangxi,,146.44,134.87,124.20,113.50,105.44,104.83,103.90,98.45,91.64,86.18,85.11,82.86,81.65,79.35,76.42,78.17,77.05,64.61,48.99
Shandong,,252.71,242.99,229.15,218.39,204.08,201.53,199.59,190.06,179.67,169.85,165.85,164.56,163.14,159.30,153.40,144.04,133.81,117.13,94.61
Henan,,282.33,268.64,249.22,231.97,214.08,200.47,187.48,176.69,167.97,161.83,155.90,150.01,145.67,136.88,125.02,109.52,97.41,85.19,70.28
Hubei,,177.26,169.97,161.69,150.08,143.82,140.09,140.18,141.06,141.97,142.14,138.61,134.03,129.69,124.91,118.49,116.37,109.23,101.27,89.20
Hunan,,168.51,159.61,151.03,140.71,132.68,127.32,122.50,118.06,113.63,110.08,108.22,106.79,104.72,101.68,95.23,89.86,83.02,75.49,63.90
Guangdong,,267.09,253.98,240.02,205.40,196.32,192.58,189.29,185.64,179.42,170.99,161.68,152.73,142.66,133.41,121.64,111.97,100.86,87.47,72.69
Guangxi,,140.75,132.10,118.42,107.64,94.22,86.67,81.03,75.12,70.19,65.61,62.92,60.01,56.75,52.83,48.42,43.43,38.74,33.83,28.10
Hainan,,25.81,24.51,23.01,20.74,18.92,18.55,18.49,18.29,18.06,17.21,16.83,15.67,15.08,14.21,12.64,10.83,9.01,7.00,5.79
Chongqing,,106.61,100.27,91.56,83.49,76.28,74.69,73.25,71.66,69.16,65.94,62.36,56.78,52.27,48.42,45.00,41.37,37.61,33.36,28.45
Sichuan,,205.15,192.08,180.09,166.17,156.47,149.97,144.66,138.79,132.83,127.08,122.37,113.93,108.62,103.59,99.11,91.84,86.06,77.54,63.73
Guizhou,,89.47,88.16,84.02,76.57,68.75,62.77,57.39,50.09,46.04,41.90,38.38,34.41,32.33,29.91,26.75,24.17,22.15,20.68,17.99
Yunnan,,110.03,104.41,96.42,86.40,76.47,70.59,65.66,61.46,57.70,54.86,51.22,48.76,43.90,39.36,34.77,31.11,28.42,25.47,21.63
Tibet,,4.25,4.13,3.86,3.62,3.57,3.56,3.50,3.42,3.35,3.36,3.35,3.24,3.11,3.03,2.94,2.68,2.33,1.90,1.47
Shaanxi,,130.44,128.33,121.00,112.20,105.48,106.94,107.63,109.97,109.96,107.76,102.63,96.48,92.78,89.37,83.97,77.65,72.62,66.69,58.39
Gansu,,64.81,61.34,58.11,52.49,48.36,46.62,45.72,45.05,45.23,44.30,43.11,40.53,38.15,36.15,33.19,29.60,26.37,22.95,20.03
Qinghai,,8.09,7.71,7.41,7.32,7.03,6.70,6.19,5.75,5.29,5.07,4.87,4.57,4.50,4.38,4.22,3.77,3.60,3.28,2.95
Ningxia,,17.25,16.11,14.67,13.52,12.53,12.11,11.71,11.50,11.14,10.45,9.64,8.79,8.02,7.56,7.05,6.24,5.59,4.87,4.14
Xinjiang,,61.14,55.56,48.67,42.70,37.49,34.60,31.99,30.47,29.04,27.84,26.87,25.87,25.12,24.16,23.10,21.64,19.93,18.18,16.31
Data Sources£ºNational Bureau of Statistics
