Database???Annual by Province
Indicators£ºNumber of Enrollment in Specialized Courses in _Institutions of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,6.74,6.80,7.28,7.41,7.40,7.76,8.74,9.79,10.53,10.71,10.83,11.24,11.91,12.53,12.66,13.07,13.02,12.87,
Tianjin,,21.89,21.05,20.39,17.95,17.27,17.29,17.66,17.87,17.66,16.67,16.25,15.62,15.56,15.03,14.59,14.41,14.49,14.09,
Hebei,,80.32,77.78,73.03,65.11,56.80,53.30,50.74,49.66,49.85,52.90,54.62,55.73,55.29,55.55,54.20,50.32,46.72,42.24,
Shanxi,,39.09,35.36,31.46,28.62,26.26,27.46,28.20,28.83,29.13,28.62,28.36,27.23,27.03,27.74,27.56,25.02,22.87,21.14,
Inner Mongolia,,24.59,22.66,21.56,20.71,19.65,19.59,19.02,18.15,17.16,16.92,16.96,17.30,17.37,17.33,15.80,14.03,11.98,10.97,
Liaoning,,42.39,44.73,42.87,34.43,27.06,27.86,28.81,29.48,29.32,29.22,28.83,27.77,27.80,27.01,25.93,25.10,23.80,22.02,
Jilin,,26.05,24.59,22.62,20.67,17.14,16.50,16.66,16.14,15.49,14.52,13.66,13.83,13.95,14.44,13.30,11.94,10.48,10.09,
Heilongjiang,,32.48,30.47,26.55,23.61,20.41,21.60,22.19,22.12,21.51,20.80,20.37,22.04,24.51,25.73,25.36,23.43,21.86,19.36,
Shanghai,,13.85,14.19,14.07,13.53,13.43,13.88,14.34,14.44,14.20,14.20,14.76,15.41,16.07,16.54,16.93,17.03,17.35,17.46,
Jiangsu,,97.11,89.66,84.06,73.42,68.50,67.09,67.69,68.32,68.60,68.36,68.66,69.13,70.53,75.69,72.44,68.94,59.63,51.95,
Zhejiang,,53.82,52.66,48.75,43.85,39.47,38.61,38.54,38.28,37.82,37.22,36.31,36.12,36.27,37.04,36.53,34.69,32.67,30.17,
Anhui,,78.61,75.94,65.84,56.13,47.42,49.80,50.63,50.72,47.55,46.90,47.07,47.27,45.66,43.85,40.90,37.02,34.40,30.24,
Fujian,,48.86,46.38,41.00,34.31,26.69,25.35,25.72,26.67,27.07,27.33,27.63,27.87,28.23,26.95,25.33,23.15,21.45,20.06,
Jiangxi,,74.62,68.10,63.18,56.69,50.95,51.77,52.00,47.77,41.88,38.06,39.27,40.00,41.76,42.66,41.75,46.30,47.71,38.31,
Shandong,,127.24,123.63,115.45,108.21,97.26,97.85,98.65,92.48,83.57,76.31,75.72,77.92,82.39,83.54,80.55,75.16,66.47,58.15,
Henan,,145.19,137.79,124.15,112.25,100.00,92.76,84.05,77.14,72.45,70.82,72.19,74.14,76.95,75.27,68.44,58.82,52.42,46.24,
Hubei,,76.90,72.42,68.29,60.73,56.15,53.75,54.13,54.68,55.48,56.39,56.51,56.94,58.07,58.39,54.97,54.96,52.52,47.71,
Hunan,,81.59,77.76,72.85,65.87,60.31,56.97,53.69,50.23,47.10,44.90,45.17,47.46,49.00,50.07,47.30,45.52,42.13,38.44,
Guangdong,,132.44,125.41,117.77,89.42,82.99,82.00,81.61,81.56,79.60,76.03,71.65,68.49,64.80,61.46,56.61,53.22,49.34,44.61,
Guangxi,,75.82,71.97,62.41,55.37,45.07,40.99,38.73,36.36,34.59,32.54,32.31,31.54,30.61,28.97,26.84,24.35,22.16,19.37,
Hainan,,11.70,11.19,10.44,8.87,7.51,7.52,7.72,7.70,7.59,6.92,7.04,6.88,7.05,7.20,6.54,5.80,4.87,3.63,
Chongqing,,52.22,48.86,42.73,36.46,30.03,29.30,28.71,27.32,25.80,23.93,22.64,20.63,19.40,18.24,17.00,15.20,13.62,12.42,
Sichuan,,95.12,87.37,80.71,71.76,65.15,63.46,62.56,60.43,57.92,53.54,50.97,45.58,44.30,44.22,43.51,40.57,37.67,32.42,
Guizhou,,48.30,47.58,44.62,39.46,34.47,31.06,27.23,21.92,18.70,16.18,15.43,14.00,13.89,13.37,11.95,10.59,9.60,8.91,
Yunnan,,55.95,52.86,46.48,39.33,32.47,29.20,25.53,22.86,19.78,18.97,18.75,19.17,18.33,16.70,14.38,12.66,11.67,10.73,
Tibet,,1.31,1.28,1.15,1.07,1.10,1.14,1.11,1.10,1.13,1.22,1.29,1.25,1.14,1.09,1.04,0.88,0.76,0.62,
Shaanxi,,52.62,53.43,48.78,42.88,38.07,39.88,39.90,40.12,39.38,39.03,37.46,36.96,38.21,38.65,36.20,33.05,31.10,29.27,
Gansu,,31.09,29.10,27.36,22.80,19.06,17.37,16.55,15.96,16.39,16.29,16.16,14.96,14.31,14.24,13.69,12.26,10.88,9.25,
Qinghai,,3.35,3.18,3.16,3.11,3.08,2.95,2.57,2.20,1.86,1.74,1.70,1.59,1.69,1.71,1.70,1.46,1.47,1.29,
Ningxia,,7.11,6.61,5.73,5.08,4.42,4.25,4.09,4.04,3.98,3.71,3.44,3.09,2.90,2.92,2.90,2.57,2.27,1.92,
Xinjiang,,32.54,29.28,24.82,21.62,18.12,16.62,15.09,14.28,13.53,12.71,12.24,11.70,11.18,10.66,9.93,9.06,8.11,7.01,
Data Sources£ºNational Bureau of Statistics
