Database???Annual by Province
Indicators£ºNumber of Enrollment in Undergraduate Courses in _Institutions of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,55.92,54.90,53.61,52.74,52.09,51.53,51.18,50.57,49.93,49.18,48.29,47.55,46.80,46.14,45.90,44.75,43.56,41.95,
Tianjin,,37.56,37.28,36.82,35.99,35.06,34.18,33.73,33.41,32.92,32.32,31.06,29.35,27.36,25.56,24.05,22.71,21.25,19.06,
Hebei,,96.27,92.55,87.45,82.29,77.47,73.58,70.87,68.26,66.58,64.54,62.26,59.20,55.22,50.50,45.80,42.73,39.54,35.16,
Shanxi,,54.32,53.25,52.74,51.58,50.29,48.84,47.43,45.20,42.19,39.07,35.37,32.22,29.26,27.00,25.11,23.43,21.77,19.56,
Inner Mongolia,,28.86,28.02,27.11,26.49,25.88,25.22,24.65,23.93,23.48,23.00,22.19,21.14,19.76,17.86,15.87,14.37,13.31,12.12,
Liaoning,,75.22,72.83,71.21,69.68,69.26,70.24,71.06,71.09,70.51,67.58,64.58,62.45,60.22,58.24,56.11,52.67,48.25,43.92,
Jilin,,52.82,50.97,50.08,49.34,48.70,47.88,47.57,47.13,46.33,45.44,44.23,42.46,40.49,38.66,37.11,35.08,33.03,30.63,
Heilongjiang,,58.72,57.44,56.01,54.21,52.80,51.81,51.39,51.40,51.55,50.99,50.08,48.95,47.40,45.17,42.46,40.06,37.34,34.73,
Shanghai,,41.36,40.58,40.00,39.13,38.35,37.62,37.13,36.72,36.47,36.27,35.90,35.72,35.49,34.74,33.36,31.46,29.29,26.80,
Jiangsu,,123.96,121.00,117.41,113.99,112.12,109.70,106.90,103.25,101.26,100.08,98.46,96.81,94.41,89.65,84.82,78.29,70.99,64.03,
Zhejiang,,70.55,68.01,66.13,63.62,62.47,61.63,61.07,60.84,60.00,58.74,56.92,54.63,52.22,49.61,46.69,43.11,39.32,34.96,
Anhui,,76.74,74.56,71.00,67.99,66.49,64.94,63.87,62.35,60.50,58.31,55.23,51.86,48.24,43.93,39.93,36.03,31.97,28.67,
Fujian,,57.82,55.36,53.72,51.81,50.55,49.74,49.92,49.18,47.78,45.72,42.51,39.61,36.55,33.68,30.93,27.80,24.68,20.64,
Jiangxi,,69.84,65.61,61.02,56.80,54.49,53.05,51.89,50.68,49.76,48.12,45.85,42.86,39.89,36.69,34.67,31.87,29.34,26.30,
Shandong,,122.26,117.53,113.70,110.18,106.82,103.68,100.94,97.59,96.10,93.55,90.13,86.64,80.75,75.75,72.85,68.88,67.34,58.98,
Henan,,135.73,129.98,125.07,119.72,114.08,107.71,103.42,99.55,95.52,91.02,83.71,75.88,68.72,61.61,56.58,50.70,44.99,38.94,
Hubei,,100.36,97.55,93.40,89.35,87.68,86.34,86.06,86.38,86.49,85.75,82.10,77.09,71.62,66.52,63.52,61.41,56.70,53.56,
Hunan,,86.76,81.82,78.18,74.84,72.38,70.35,68.81,67.83,66.53,65.18,63.06,59.32,55.72,51.61,47.94,44.34,40.89,37.05,
Guangdong,,132.19,126.66,122.25,115.98,113.33,110.58,107.68,104.08,99.82,94.96,90.04,84.23,77.86,71.95,65.03,58.74,51.51,42.86,
Guangxi,,62.76,58.89,56.00,52.27,49.16,45.68,42.29,38.76,35.60,33.07,30.61,28.47,26.14,23.86,21.58,19.08,16.59,14.45,
Hainan,,12.99,12.58,12.57,11.87,11.40,11.04,10.77,10.60,10.47,10.30,9.79,8.79,8.03,7.01,6.10,5.03,4.14,3.37,
Chongqing,,53.26,50.65,48.83,47.03,46.26,45.38,44.54,44.34,43.36,42.01,39.72,36.15,32.87,30.18,28.00,26.16,23.99,20.93,
Sichuan,,109.14,104.15,99.38,94.42,91.32,86.51,82.10,78.36,74.91,73.54,71.40,68.35,64.32,59.37,55.60,51.28,48.40,45.13,
Guizhou,,40.77,40.48,39.40,37.11,34.28,31.71,30.16,28.17,27.34,25.72,22.95,20.41,18.44,16.54,14.80,13.58,12.55,11.76,
Yunnan,,54.08,51.54,49.94,47.08,44.00,41.38,40.13,38.59,37.92,35.89,32.47,29.59,25.58,22.66,20.40,18.45,16.75,14.74,
Tibet,,2.94,2.85,2.70,2.55,2.47,2.42,2.39,2.32,2.22,2.14,2.06,1.99,1.97,1.94,1.91,1.80,1.57,1.27,
Shaanxi,,76.48,73.96,72.22,69.32,67.41,67.06,67.73,69.85,70.58,68.74,65.16,59.52,54.57,50.72,47.77,44.60,41.52,37.43,
Gansu,,32.94,32.10,30.75,29.70,29.31,29.25,29.17,29.08,28.84,28.01,26.95,25.57,23.84,21.91,19.50,17.33,15.48,13.69,
Qinghai,,4.75,4.53,4.25,4.21,3.94,3.75,3.61,3.54,3.43,3.33,3.17,2.98,2.81,2.67,2.51,2.31,2.13,1.99,
Ningxia,,10.14,9.50,8.94,8.44,8.10,7.85,7.62,7.46,7.16,6.74,6.21,5.70,5.12,4.63,4.15,3.67,3.32,2.95,
Xinjiang,,28.12,25.98,23.85,21.08,19.38,17.98,16.90,16.19,15.51,15.13,14.63,14.18,13.94,13.51,13.17,12.58,11.82,11.18,
Data Sources£ºNational Bureau of Statistics
