Database???Annual by Province
Indicators£ºNumber of Enrollment in Undergraduate Courses of _Secondary Vocational Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,5.46,4.80,4.64,4.94,6.23,7.45,8.58,9.63,12.60,16.49,18.97,16.90,16.18,16.16,17.46,18.78,19.91,20.86,
Tianjin,,8.29,8.01,7.84,8.09,9.07,9.84,10.11,9.77,9.38,9.74,10.57,10.81,11.61,13.05,14.65,13.86,13.68,13.54,
Hebei,,92.27,91.07,83.79,77.46,72.43,70.62,65.81,61.29,65.54,75.23,93.40,106.60,112.05,110.39,105.58,102.00,90.40,81.05,
Shanxi,,33.28,32.21,30.12,29.67,30.21,32.93,33.79,36.68,39.92,43.64,48.32,50.85,57.52,55.22,50.57,48.80,43.83,36.16,
Inner Mongolia,,18.71,17.87,17.54,16.85,18.15,19.26,20.27,21.46,23.19,24.54,27.55,30.79,33.47,32.70,26.93,26.50,21.70,19.99,
Liaoning,,27.63,26.76,25.65,26.51,28.61,31.44,31.89,32.53,33.32,34.99,38.06,40.76,42.78,44.39,45.90,44.94,44.19,43.18,
Jilin,,13.27,13.11,11.89,11.79,12.09,13.18,12.99,13.42,15.00,19.27,22.89,26.60,29.24,32.29,26.13,23.86,22.93,18.29,
Heilongjiang,,17.83,17.67,16.36,16.77,18.04,20.38,21.57,22.94,24.32,27.40,29.30,32.32,36.00,39.00,33.61,29.47,26.49,26.01,
Shanghai,,11.26,10.89,10.48,10.00,10.26,10.61,11.20,11.97,13.10,15.33,15.65,15.40,16.39,17.66,18.79,18.90,20.06,20.63,
Jiangsu,,67.34,64.12,62.45,62.15,62.60,65.15,65.25,68.02,72.36,79.37,88.45,92.70,102.04,104.82,113.53,120.12,119.36,106.08,
Zhejiang,,53.23,55.60,56.91,54.21,52.61,53.19,52.07,52.36,53.38,57.85,61.86,65.20,64.22,62.77,63.17,66.89,69.70,73.28,
Anhui,,72.80,75.21,79.11,75.07,75.28,76.07,78.18,83.78,91.47,96.77,100.24,94.80,87.27,86.26,87.98,84.88,77.84,63.34,
Fujian,,39.52,37.54,35.81,33.48,33.58,34.55,38.05,39.67,43.76,52.51,58.30,57.31,53.60,54.00,49.83,49.43,48.67,44.77,
Jiangxi,,55.71,51.92,44.55,38.55,35.50,34.43,36.17,43.12,43.72,48.46,54.91,58.73,61.81,63.90,59.03,60.73,57.32,54.16,
Shandong,,88.10,83.91,77.74,73.05,75.01,79.34,80.98,85.73,94.82,103.16,114.70,117.71,113.16,116.51,122.05,121.52,114.29,109.34,
Henan,,119.36,118.00,114.97,111.06,110.16,106.52,101.58,104.04,110.39,119.31,145.66,156.78,163.60,163.76,148.98,135.91,119.82,107.68,
Hubei,,43.82,44.12,42.03,39.19,36.94,37.12,37.56,36.49,37.26,41.08,50.05,72.09,90.38,104.18,103.73,93.62,79.95,60.60,
Hunan,,74.63,74.66,68.30,67.00,65.82,68.65,66.09,64.80,64.48,65.06,73.42,77.88,76.48,80.87,76.35,83.06,75.78,70.56,
Guangdong,,94.22,90.30,86.68,85.97,86.73,99.39,106.57,117.21,128.22,140.89,149.57,152.05,154.78,120.46,100.08,90.76,80.84,71.02,
Guangxi,,65.27,69.09,69.99,68.03,67.76,68.68,69.86,73.64,78.27,82.22,86.24,84.20,80.95,62.89,58.57,54.06,46.04,36.60,
Hainan,,12.83,12.13,12.33,11.73,11.92,11.88,11.51,11.71,12.95,14.02,14.19,14.87,13.69,12.16,9.67,8.58,6.41,5.84,
Chongqing,,37.97,36.42,34.24,31.72,29.99,30.83,31.16,32.80,33.91,36.28,37.20,37.95,39.16,42.53,42.70,38.98,35.96,30.82,
Sichuan,,90.80,87.23,81.71,79.61,82.01,86.00,91.44,98.75,107.92,119.51,126.26,126.62,123.69,120.32,108.09,97.99,96.99,78.32,
Guizhou,,52.44,39.75,40.36,43.81,47.22,50.31,55.09,60.25,54.45,47.55,38.34,37.99,37.57,38.69,35.67,33.34,27.74,20.14,
Yunnan,,48.55,55.09,59.92,51.32,50.54,50.10,48.62,48.42,49.06,49.41,56.78,57.83,57.53,47.19,41.39,37.22,32.52,29.49,
Tibet,,3.30,3.32,3.21,2.54,2.28,1.93,1.82,1.58,1.70,1.75,1.83,1.98,2.26,2.14,2.10,1.90,1.48,0.70,
Shaanxi,,30.14,29.70,27.98,25.75,23.33,26.21,27.78,32.23,37.71,45.49,52.67,60.38,62.83,62.55,59.09,55.11,47.56,42.80,
Gansu,,20.06,20.22,19.46,18.67,18.90,19.39,21.07,22.93,26.26,28.95,32.78,33.26,34.74,33.99,30.94,27.18,23.16,19.56,
Qinghai,,9.03,8.91,8.59,8.16,7.70,7.50,7.41,7.64,7.72,7.78,7.68,8.01,7.91,7.64,6.79,5.46,3.69,2.47,
Ningxia,,7.79,7.63,7.55,7.46,7.28,7.47,7.87,8.21,8.20,9.40,10.48,11.25,10.19,9.64,7.81,6.71,6.13,5.88,
Xinjiang,,24.41,24.53,25.64,25.54,25.37,23.87,23.51,22.17,21.95,22.93,23.53,24.30,23.33,21.76,21.10,19.31,14.64,11.59,
Data Sources£ºNational Bureau of Statistics
