Database???Annual by Province
Indicators£ºNumber of New Students Enrollment of Junior Secondary _Schools(10000 persons)
Year£º2000-2022
Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,,,,,,,,,10.27,10.67,10.81,10.06,,,,,,,,,,,
Tianjin,,,,,,,,,8.50,8.58,8.38,8.26,,,,,,,,,,,
Hebei,,,,,,,,,81.27,78.36,77.77,72.72,,,,,,,,,,,
Shanxi,,,,,,,,,37.89,41.30,46.25,50.93,,,,,,,,,,,
Inner Mongolia,,,,,,,,,21.97,22.76,24.25,25.66,,,,,,,,,,,
Liaoning,,,,,,,,,35.67,35.82,36.95,37.69,,,,,,,,,,,
Jilin,,,,,,,,,20.99,21.84,22.66,23.21,,,,,,,,,,,
Heilongjiang,,,,,,,,,26.32,27.91,34.56,33.52,,,,,,,,,,,
Shanghai,,,,,,,,,11.22,12.03,11.75,11.62,,,,,,,,,,,
Jiangsu,,,,,,,,,61.77,61.86,64.03,64.96,,,,,,,,,,,
Zhejiang,,,,,,,,,50.43,51.24,51.06,49.98,,,,,,,,,,,
Anhui,,,,,,,,,63.21,65.26,68.94,76.09,,,,,,,,,,,
Fujian,,,,,,,,,37.17,38.61,38.19,36.34,,,,,,,,,,,
Jiangxi,,,,,,,,,59.47,61.08,65.59,67.56,,,,,,,,,,,
Shandong,,,,,,,,,97.66,99.64,101.70,105.78,,,,,,,,,,,
Henan,,,,,,,,,138.40,137.71,158.16,161.62,,,,,,,,,,,
Hubei,,,,,,,,,45.43,48.78,51.09,61.92,,,,,,,,,,,
Hunan,,,,,,,,,74.54,76.65,74.25,73.49,,,,,,,,,,,
Guangdong,,,,,,,,,119.56,129.99,140.25,154.09,,,,,,,,,,,
Guangxi,,,,,,,,,66.44,68.86,66.87,68.86,,,,,,,,,,,
Hainan,,,,,,,,,11.12,11.70,11.94,12.55,,,,,,,,,,,
Chongqing,,,,,,,,,32.48,33.02,34.03,37.21,,,,,,,,,,,
Sichuan,,,,,,,,,83.45,87.86,98.83,105.81,,,,,,,,,,,
Guizhou,,,,,,,,,66.73,71.62,73.19,74.57,,,,,,,,,,,
Yunnan,,,,,,,,,67.17,68.20,67.44,68.72,,,,,,,,,,,
Tibet,,,,,,,,,4.27,4.24,4.34,4.46,,,,,,,,,,,
Shaanxi,,,,,,,,,35.96,38.37,41.15,45.86,,,,,,,,,,,
Gansu,,,,,,,,,31.00,33.43,37.59,40.67,,,,,,,,,,,
Qinghai,,,,,,,,,7.36,7.67,7.34,7.65,,,,,,,,,,,
Ningxia,,,,,,,,,9.55,9.69,9.99,10.26,,,,,,,,,,,
Xinjiang,,,,,,,,,30.57,31.36,31.44,32.60,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics
