Database???Annual by Province
Indicators£ºNumber of New Enrollment of Students of Regular Senior _Secondary Schools(10000 persons)
Year£º2000-2022
Region,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,7.47,6.23,6.11,5.14,4.74,5.38,5.35,5.67,5.52,6.00,6.34,6.41,6.56,6.60,6.84,7.16,7.64,8.86,9.35,9.49,8.47,6.92,6.59
Tianjin,7.17,6.47,6.24,5.22,5.02,5.50,5.41,5.38,5.47,5.51,5.80,6.07,6.21,6.09,5.89,6.39,6.80,7.44,7.23,6.99,5.89,5.41,4.51
Hebei,59.88,58.59,56.08,50.67,44.89,45.71,43.27,40.77,38.23,37.56,38.41,39.78,42.02,44.72,44.85,45.25,49.70,49.47,46.41,44.93,37.96,31.20,26.22
Shanxi,22.85,23.56,22.12,22.47,20.70,22.74,24.45,24.84,25.56,28.88,29.26,28.67,28.10,27.79,27.04,26.09,25.32,26.32,22.83,21.74,19.12,15.23,13.77
Inner Mongolia,14.43,13.82,14.31,13.04,13.33,14.36,14.70,14.84,15.53,16.42,17.17,16.97,16.64,17.43,18.16,18.58,20.25,19.84,17.91,16.58,14.36,12.22,10.93
Liaoning,21.18,20.51,20.54,20.30,19.11,21.37,21.20,20.98,20.89,22.29,22.84,23.62,24.04,24.83,24.43,23.37,25.85,26.61,25.86,23.27,20.24,16.84,15.24
Jilin,14.81,15.09,15.16,14.95,12.91,14.17,13.95,13.52,13.23,15.11,16.04,16.90,16.30,15.88,15.99,16.15,17.62,17.40,16.99,14.61,12.89,10.76,9.61
Heilongjiang,18.79,19.09,19.45,19.03,17.31,18.90,18.63,18.10,18.16,19.40,20.21,20.77,20.75,20.79,20.93,19.80,20.89,20.55,20.33,18.76,15.92,14.11,11.84
Shanghai,7.28,6.05,5.97,5.42,5.23,5.33,5.31,5.34,5.29,5.31,5.25,5.22,5.39,5.58,5.87,6.15,7.00,10.06,10.65,10.40,10.23,9.24,7.90
Jiangsu,48.66,44.94,42.34,38.76,35.21,31.46,31.82,31.95,31.98,34.14,37.69,40.88,44.03,45.61,48.29,50.88,53.69,52.25,49.47,46.24,43.30,35.87,29.93
Zhejiang,30.00,28.48,28.34,27.31,25.49,25.93,25.89,25.99,25.17,26.52,27.79,30.05,30.09,30.02,28.19,27.67,29.35,30.40,29.99,30.27,26.85,22.37,20.76
Anhui,42.09,39.10,39.08,37.88,35.89,35.27,35.88,36.33,37.06,38.05,43.97,44.17,42.41,42.47,43.58,45.51,45.13,43.46,40.27,34.49,30.34,25.72,21.96
Fujian,26.89,24.54,23.29,22.19,21.08,20.89,21.71,21.57,20.86,20.94,21.87,24.06,24.31,23.85,24.25,25.93,27.41,27.21,25.57,21.84,19.35,17.14,15.18
Jiangxi,42.17,39.72,38.51,37.72,34.47,33.44,33.02,32.04,31.62,31.05,30.83,30.89,25.65,25.10,27.86,27.29,30.72,31.26,29.41,27.88,25.70,20.37,16.05
Shandong,67.36,62.88,63.62,58.79,54.45,55.01,55.78,55.37,55.92,58.89,58.18,56.05,52.82,50.02,52.34,57.08,62.28,67.22,68.05,63.81,57.96,47.77,42.56
Henan,88.45,85.11,78.44,74.98,72.65,70.97,69.53,67.98,64.49,66.11,66.57,64.63,62.85,64.50,68.42,70.57,67.75,69.99,61.33,53.77,50.93,37.63,31.48
Hubei,35.60,32.99,31.32,30.14,27.74,27.12,27.71,27.86,29.53,31.65,32.75,36.20,39.55,42.38,43.91,43.98,45.55,45.86,42.97,39.61,36.48,31.91,27.71
Hunan,50.44,48.09,44.89,43.73,40.67,39.81,39.39,38.03,36.55,37.38,37.01,36.99,37.05,35.65,39.24,43.81,48.96,51.27,46.44,42.23,38.27,32.36,26.05
Guangdong,74.91,70.52,67.18,63.94,60.42,61.14,64.33,66.44,69.68,73.08,77.32,77.75,75.59,71.79,66.81,60.69,60.77,56.98,50.81,44.26,38.50,33.21,28.68
Guangxi,44.05,42.71,40.87,39.42,36.80,35.07,33.85,31.04,30.46,29.77,29.28,28.33,27.07,26.26,26.28,26.65,26.46,25.69,24.50,21.68,20.60,17.12,15.34
Hainan,7.17,6.83,6.50,6.06,5.70,5.66,5.73,5.74,5.69,6.02,6.30,6.06,5.60,5.48,5.31,4.98,5.41,4.64,3.96,3.26,3.00,2.57,2.29
Chongqing,23.21,21.76,21.73,20.98,20.14,20.13,19.97,19.86,20.98,22.10,22.51,22.67,22.76,22.09,21.55,18.63,18.42,18.30,16.26,15.78,15.05,11.34,8.20
Sichuan,50.31,48.99,47.38,48.41,46.17,46.47,47.60,49.00,49.77,51.15,52.19,53.54,52.55,51.53,50.30,49.87,50.56,51.15,49.04,45.86,41.12,31.20,22.42
Guizhou,30.85,33.10,33.13,32.50,33.73,34.85,34.26,34.35,34.90,33.02,31.82,27.73,24.02,21.91,21.23,20.12,19.84,19.38,17.36,15.65,13.54,10.97,8.44
Yunnan,37.14,35.67,36.00,33.05,30.25,29.79,28.82,27.45,26.81,26.74,26.13,24.38,22.90,22.03,21.20,20.33,20.47,19.00,16.73,13.84,12.44,10.67,8.82
Tibet,2.76,2.67,2.67,2.32,2.27,2.06,1.95,1.96,1.84,1.96,1.75,1.67,1.51,1.39,1.55,1.63,1.32,1.29,1.10,0.90,0.68,0.56,0.53
Shaanxi,23.86,22.62,21.25,21.27,23.21,24.38,25.72,26.43,27.98,29.94,31.88,33.61,33.84,33.49,32.20,31.91,32.79,32.63,30.55,27.35,25.47,21.56,18.17
Gansu,18.20,17.18,17.18,17.20,17.26,18.26,19.34,19.94,20.81,21.81,22.61,22.16,21.96,21.70,21.05,20.48,20.73,20.57,18.66,16.82,14.37,10.98,9.08
Qinghai,4.58,4.57,4.49,4.22,4.26,4.24,4.26,4.00,3.92,3.96,3.82,3.54,3.62,3.66,3.88,3.85,3.71,3.76,3.48,3.28,2.81,2.29,1.98
Ningxia,5.87,5.75,5.68,5.36,5.09,4.92,4.77,5.08,5.29,5.58,5.48,5.36,4.74,4.81,4.80,4.70,4.52,4.38,4.16,3.91,3.55,3.06,2.76
Xinjiang,19.12,17.35,16.57,17.01,16.52,19.73,19.30,18.77,17.39,16.36,15.53,15.65,15.32,14.89,14.79,14.64,14.29,14.50,13.83,12.62,11.34,9.35,7.67
Data Sources£ºNational Bureau of Statistics
