Database???Annual by Province
Indicators£ºNumber of Entrants in Specialized Courses in _Institutions of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2.26,2.35,1.99,2.14,2.19,2.23,2.34,2.72,3.16,3.45,3.60,3.65,3.53,4.13,4.24,4.34,4.27,4.74,
Tianjin,,6.99,6.88,7.17,5.86,5.30,5.29,5.40,5.65,5.81,5.67,5.59,5.30,5.22,4.79,4.70,4.56,4.61,5.06,
Hebei,,26.64,26.30,25.60,24.80,18.63,17.60,17.59,16.20,15.38,16.51,16.53,19.71,18.28,18.01,18.49,17.41,18.42,15.68,
Shanxi,,13.78,13.04,10.99,10.66,7.95,8.22,8.38,9.68,9.26,9.69,9.91,9.03,9.56,8.77,8.02,7.24,8.58,7.31,
Inner Mongolia,,8.14,8.11,7.08,6.92,5.94,5.97,5.93,5.94,5.71,5.40,4.94,5.89,5.69,5.75,5.22,5.17,4.48,4.07,
Liaoning,,11.26,11.49,16.64,16.17,8.77,8.35,8.97,9.73,9.33,9.62,9.62,9.83,9.22,8.63,9.31,8.10,8.20,7.85,
Jilin,,9.32,8.49,6.70,8.32,5.54,5.29,5.45,5.22,5.48,5.05,4.71,4.89,4.36,4.97,4.91,4.69,4.46,4.04,
Heilongjiang,,11.57,10.14,9.29,10.31,6.40,6.52,7.17,7.51,7.21,7.20,6.90,6.79,6.85,8.30,8.52,7.76,8.25,7.02,
Shanghai,,3.86,4.82,4.42,4.41,4.00,4.05,4.43,4.76,4.96,4.70,4.72,5.05,5.35,5.32,5.62,5.76,5.75,5.79,
Jiangsu,,30.63,32.16,31.02,24.86,20.68,18.92,18.39,19.26,19.43,19.50,19.48,19.56,19.55,20.10,18.95,19.19,22.31,17.88,
Zhejiang,,15.35,18.96,15.31,14.89,11.71,10.95,11.25,11.65,11.94,12.14,12.00,12.51,11.47,11.97,11.74,11.06,12.33,9.75,
Anhui,,22.03,26.65,24.30,23.47,14.31,14.68,14.69,16.89,15.80,14.75,14.19,16.92,15.21,14.38,14.11,12.90,12.80,11.82,
Fujian,,16.00,16.12,14.94,15.27,9.65,8.10,7.97,8.50,8.78,9.19,8.90,9.50,9.49,9.14,9.37,8.03,7.73,8.17,
Jiangxi,,26.09,22.85,22.27,21.37,15.45,15.36,16.08,16.30,15.64,12.47,11.63,13.22,13.29,13.50,14.03,14.00,14.96,12.84,
Shandong,,41.27,43.85,35.88,39.85,29.56,28.55,29.25,30.39,29.98,25.41,23.52,25.67,25.46,26.83,28.06,24.61,26.33,26.21,
Henan,,48.18,52.38,42.56,40.93,34.23,31.13,29.39,27.30,23.87,23.08,22.96,24.49,24.58,24.61,24.64,19.24,19.36,17.14,
Hubei,,26.07,24.61,24.06,21.81,19.22,18.11,17.79,17.77,18.93,18.36,18.51,19.85,18.51,19.07,18.66,16.80,18.99,16.81,
Hunan,,28.97,27.33,25.30,23.45,19.77,17.95,17.63,16.86,16.13,14.97,14.62,15.21,14.95,16.93,16.03,15.77,15.18,14.46,
Guangdong,,39.94,39.73,56.91,32.81,29.05,28.18,26.47,28.11,27.40,26.52,26.25,24.14,22.02,22.76,20.09,18.63,18.42,17.04,
Guangxi,,26.54,26.54,21.78,22.98,15.77,14.91,13.36,12.79,12.61,11.01,10.98,10.76,10.88,10.22,9.65,8.95,8.42,7.46,
Hainan,,3.96,3.48,3.72,3.74,2.53,2.41,2.52,2.55,2.85,2.36,2.35,2.24,2.26,2.51,2.16,2.17,2.07,1.41,
Chongqing,,16.94,17.51,15.40,15.37,9.98,9.66,9.33,9.54,9.11,7.97,8.25,7.59,6.77,6.42,6.05,5.67,5.59,5.26,
Sichuan,,34.15,31.36,29.52,25.96,22.33,20.79,19.66,20.73,20.12,17.50,18.32,16.98,15.18,13.29,14.97,13.58,13.70,14.27,
Guizhou,,16.84,16.47,16.38,15.63,12.53,11.31,10.55,8.98,7.38,5.29,6.03,4.92,4.57,4.61,4.56,3.59,3.93,3.62,
Yunnan,,16.34,20.46,15.46,13.52,10.52,9.89,7.93,7.96,7.22,6.37,5.51,6.88,6.32,5.99,5.18,4.19,4.56,4.12,
Tibet,,0.47,0.36,0.43,0.38,0.34,0.39,0.42,0.38,0.32,0.36,0.44,0.43,0.42,0.40,0.38,0.34,0.36,0.30,
Shaanxi,,14.62,17.05,18.05,17.90,11.56,12.01,12.25,12.81,11.99,12.61,12.59,12.51,11.22,12.42,13.34,11.55,10.12,10.63,
Gansu,,7.12,9.08,9.54,8.42,6.41,5.99,5.36,5.33,5.66,5.07,5.85,5.55,4.81,4.70,4.69,4.26,4.25,3.38,
Qinghai,,1.19,1.14,1.07,1.03,0.97,0.98,0.98,0.91,0.68,0.60,0.62,0.60,0.54,0.53,0.70,0.48,0.60,0.60,
Ningxia,,2.10,2.45,2.25,2.10,1.39,1.43,1.29,1.33,1.38,1.25,1.29,1.20,1.02,0.91,0.93,0.87,0.94,0.66,
Xinjiang,,10.34,10.43,8.30,8.28,6.16,5.53,4.99,4.69,4.49,4.31,3.97,3.98,3.93,3.44,3.29,2.93,2.99,2.72,
Data Sources£ºNational Bureau of Statistics
