Database???Annual by Province
Indicators£ºNumber of Full-time Teachers of Regular Institutions _of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,7.62,7.36,7.41,7.20,7.11,6.97,7.00,6.87,6.84,6.69,6.09,5.96,5.92,5.80,5.59,5.46,5.16,4.88,4.35
Tianjin,,3.34,3.25,3.42,3.27,3.14,3.11,3.05,3.11,3.10,3.09,2.99,2.89,2.81,2.71,2.61,2.52,2.45,2.17,1.90
Hebei,,9.48,8.94,8.54,7.91,7.55,7.29,7.04,6.94,6.86,6.68,6.50,6.28,6.08,5.84,5.51,5.25,4.74,4.27,3.92
Shanxi,,4.26,4.02,4.36,4.28,4.19,4.10,4.13,4.04,4.03,4.08,3.81,3.75,3.65,3.59,3.49,3.34,2.97,2.79,2.48
Inner Mongolia,,2.77,2.70,2.80,2.74,2.69,2.64,2.59,2.55,2.50,2.46,2.47,2.42,2.33,2.23,2.09,1.95,1.91,1.62,1.48
Liaoning,,6.44,6.26,6.40,6.31,6.25,6.32,6.49,6.52,6.42,6.27,6.05,5.87,5.74,5.58,5.35,5.03,4.68,4.40,4.07
Jilin,,4.01,4.12,4.14,4.03,4.03,4.01,3.98,3.92,3.85,3.80,3.70,3.56,3.40,3.32,3.25,3.17,2.99,2.81,2.50
Heilongjiang,,4.93,4.83,4.89,4.72,4.60,4.63,4.68,4.68,4.69,4.62,4.54,4.48,4.42,4.31,4.16,3.98,3.69,3.51,3.21
Shanghai,,5.04,4.87,4.77,4.63,4.46,4.35,4.23,4.16,4.06,4.03,4.01,3.96,3.92,3.81,3.69,3.55,3.39,3.16,2.87
Jiangsu,,12.39,11.66,12.60,12.06,11.64,11.29,10.98,10.72,10.45,10.83,10.60,10.39,10.20,9.99,9.63,8.86,7.84,6.73,5.90
Zhejiang,,7.84,7.42,7.04,6.67,6.34,6.24,6.05,5.95,5.81,5.60,5.42,5.23,5.10,4.95,4.78,4.56,4.21,3.84,3.58
Anhui,,7.50,7.02,6.56,6.24,6.11,6.04,5.95,5.81,5.65,5.49,5.31,5.12,4.93,4.64,4.36,4.07,3.68,3.24,2.95
Fujian,,5.71,5.29,5.20,4.91,4.66,4.54,4.48,4.48,4.39,4.29,4.11,3.97,3.77,3.58,3.36,3.14,2.82,2.44,2.04
Jiangxi,,7.33,6.75,6.53,6.02,5.74,5.65,5.56,5.73,5.44,5.24,5.02,5.00,4.90,4.86,4.75,4.52,4.22,3.86,3.04
Shandong,,13.55,12.99,12.42,11.76,11.27,11.08,10.77,10.47,10.14,9.87,9.61,9.46,9.14,8.97,8.74,8.19,7.47,6.46,5.38
Henan,,14.55,13.77,13.34,12.40,11.54,10.84,10.27,9.80,9.51,9.09,8.60,8.20,7.75,7.15,6.49,5.88,5.29,4.63,4.18
Hubei,,9.53,9.10,8.88,8.53,8.34,8.35,8.35,8.34,8.28,8.18,8.07,7.90,7.47,7.32,7.06,6.81,6.52,5.90,5.57
Hunan,,8.44,7.92,7.96,7.65,7.27,7.02,6.87,6.66,6.49,6.39,6.25,6.12,5.96,5.88,5.77,5.48,4.95,4.53,3.83
Guangdong,,13.59,12.88,12.24,11.47,10.82,10.44,10.12,9.89,9.52,9.11,8.74,8.29,7.86,7.39,6.92,6.71,6.11,5.43,4.70
Guangxi,,6.17,5.66,5.34,4.87,4.52,4.32,4.04,3.86,3.77,3.64,3.50,3.35,3.17,2.95,2.75,2.51,2.25,1.96,1.76
Hainan,,1.39,1.30,1.19,1.11,1.01,0.96,0.93,0.90,0.89,0.85,0.83,0.80,0.78,0.73,0.67,0.58,0.52,0.46,0.37
Chongqing,,5.53,5.21,4.92,4.55,4.29,4.17,4.06,3.99,3.89,3.71,3.57,3.31,3.11,2.99,2.84,2.61,2.37,2.02,1.82
Sichuan,,10.31,9.77,9.54,8.98,8.70,8.39,8.58,8.44,8.14,7.68,7.31,6.74,6.50,6.18,5.92,5.59,5.22,4.49,3.93
Guizhou,,4.34,4.07,3.94,3.78,3.62,3.51,3.31,3.05,2.81,2.54,2.28,2.19,2.04,1.96,1.80,1.70,1.54,1.44,1.38
Yunnan,,4.59,4.42,4.34,4.15,4.01,3.93,3.89,3.69,3.54,3.44,3.13,2.95,2.65,2.49,2.33,2.12,1.94,1.68,1.52
Tibet,,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.26,0.25,0.24,0.23,0.22,0.20,0.19,0.18,0.17,0.12,0.11
Shaanxi,,7.85,7.51,7.34,7.03,6.85,6.69,6.61,6.65,6.50,6.42,6.15,5.92,5.83,5.62,5.37,5.07,4.75,4.29,3.71
Gansu,,3.40,3.24,3.10,2.98,2.89,2.85,2.67,2.61,2.53,2.44,2.32,2.21,2.08,1.96,1.86,1.74,1.61,1.48,1.37
Qinghai,,0.50,0.50,0.49,0.48,0.47,0.47,0.43,0.41,0.39,0.38,0.37,0.37,0.37,0.38,0.34,0.32,0.33,0.31,0.31
Ningxia,,0.96,0.94,0.91,0.84,0.82,0.82,0.80,0.80,0.78,0.71,0.66,0.62,0.59,0.51,0.49,0.46,0.44,0.41,0.37
Xinjiang,,2.66,2.51,2.39,2.18,2.08,2.06,2.00,1.94,1.91,1.83,1.76,1.73,1.65,1.62,1.58,1.51,1.38,1.27,1.22
Data Sources£ºNational Bureau of Statistics
