Database???Annual by Province
Indicators£ºNumber of Full-time Teachers of Junior Secondary _Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,4.01,3.94,3.81,3.71,3.56,3.45,3.35,3.29,3.25,3.19,3.11,3.05,,,,,,,
Tianjin,,3.07,3.04,2.92,2.83,2.75,2.69,2.66,2.63,2.62,2.60,2.61,2.59,,,,,,,
Hebei,,23.60,23.07,21.98,21.06,19.99,18.75,17.92,17.38,17.01,16.49,16.78,17.25,,,,,,,
Shanxi,,10.35,10.62,10.86,10.93,10.84,10.83,11.02,11.31,11.59,11.74,11.82,11.93,,,,,,,
Inner Mongolia,,6.40,6.30,6.08,5.96,5.83,5.76,5.71,5.91,6.08,6.19,6.22,6.26,,,,,,,
Liaoning,,9.94,9.99,9.89,9.96,9.89,9.95,9.90,9.88,9.89,9.94,10.11,10.15,,,,,,,
Jilin,,6.58,6.68,6.71,6.63,6.58,6.46,6.47,6.47,6.70,6.68,6.69,6.71,,,,,,,
Heilongjiang,,8.46,8.55,8.69,8.81,8.90,8.97,9.04,9.38,9.54,9.72,10.00,10.06,,,,,,,
Shanghai,,4.73,4.61,4.47,4.31,4.10,3.93,3.81,3.76,3.71,3.60,3.52,3.45,,,,,,,
Jiangsu,,22.84,22.27,21.26,20.10,19.08,18.19,17.66,17.34,17.48,17.70,18.22,18.51,,,,,,,
Zhejiang,,13.67,13.59,13.31,13.06,12.75,12.47,12.19,12.02,11.91,11.79,11.89,11.93,,,,,,,
Anhui,,17.11,17.02,16.55,16.24,15.89,15.55,15.19,15.09,15.52,15.82,16.10,16.16,,,,,,,
Fujian,,11.61,11.27,10.79,10.46,10.18,9.99,9.88,9.80,9.79,9.70,9.66,9.78,,,,,,,
Jiangxi,,15.24,15.10,14.55,13.66,12.88,12.06,11.95,12.07,12.14,12.15,12.28,12.28,,,,,,,
Shandong,,31.66,31.61,30.45,29.28,28.20,27.59,26.78,26.49,26.53,26.33,26.16,26.33,,,,,,,
Henan,,36.08,35.08,34.05,32.72,31.43,29.90,28.64,28.59,28.35,27.99,28.24,28.22,,,,,,,
Hubei,,14.39,14.09,13.50,13.31,12.98,12.90,12.92,13.13,13.36,13.56,14.14,15.43,,,,,,,
Hunan,,19.91,19.55,18.90,18.18,17.54,17.16,16.93,16.82,17.01,16.90,17.12,17.33,,,,,,,
Guangdong,,32.79,31.51,30.09,29.16,28.64,27.98,27.58,27.58,27.85,27.68,27.35,26.80,,,,,,,
Guangxi,,16.21,15.73,15.20,14.24,13.74,12.98,12.34,11.90,11.78,11.70,11.75,11.92,,,,,,,
Hainan,,3.03,2.94,2.80,2.70,2.63,2.59,2.59,2.57,2.53,2.53,2.51,2.51,,,,,,,
Chongqing,,8.55,8.58,8.35,8.12,7.79,7.62,7.53,7.56,7.57,7.62,7.61,7.67,,,,,,,
Sichuan,,22.38,22.41,21.84,21.17,20.49,20.13,19.85,19.88,20.09,20.27,20.39,20.30,,,,,,,
Guizhou,,13.15,12.98,12.90,12.82,12.82,12.75,12.71,12.37,11.96,11.53,11.48,11.12,,,,,,,
Yunnan,,13.86,13.91,13.93,13.38,13.23,12.90,12.65,12.39,12.26,12.19,12.08,11.93,,,,,,,
Tibet,,1.26,1.26,1.24,1.19,1.08,1.00,1.01,0.97,0.95,0.91,0.90,0.91,,,,,,,
Shaanxi,,10.62,10.43,10.11,9.99,9.85,10.00,10.19,10.47,10.75,11.05,11.26,11.54,,,,,,,
Gansu,,8.26,8.23,8.12,8.10,8.00,8.10,8.24,8.39,8.48,8.43,8.44,8.45,,,,,,,
Qinghai,,1.68,1.70,1.68,1.67,1.64,1.61,1.62,1.61,1.53,1.56,1.48,1.47,,,,,,,
Ningxia,,2.14,2.11,2.07,2.07,2.05,2.02,1.97,1.94,1.91,1.94,1.94,1.88,,,,,,,
Xinjiang,,8.93,8.97,8.96,8.92,8.60,8.60,8.49,8.57,8.71,8.61,8.59,8.52,,,,,,,
Data Sources£ºNational Bureau of Statistics
