Database???Annual by Province
Indicators£ºNumber of Full-time Teachers of Regular Primary _Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,7.67,7.44,7.10,6.93,6.69,6.45,6.18,5.93,5.69,5.50,5.25,5.09,4.95,4.93,4.87,4.82,4.82,4.79,4.88
Tianjin,,4.95,4.93,4.75,4.65,4.48,4.30,4.15,4.02,3.90,3.83,3.78,3.75,3.73,3.79,3.85,3.87,4.00,4.11,4.21
Hebei,,40.82,41.25,40.77,39.53,38.03,36.59,35.14,33.89,33.35,31.89,31.70,31.65,31.90,32.12,31.67,31.60,31.53,32.01,32.48
Shanxi,,16.80,17.17,16.83,16.78,16.80,16.91,17.15,17.30,17.68,18.05,18.43,18.88,19.05,19.37,19.34,19.46,19.34,19.23,19.12
Inner Mongolia,,10.99,10.76,10.52,10.29,10.07,9.97,9.94,10.17,10.73,11.06,11.29,11.37,11.36,11.48,11.52,11.52,11.66,11.90,12.43
Liaoning,,14.03,14.06,13.77,13.73,13.70,14.02,14.04,14.00,14.10,14.27,14.46,14.55,14.69,14.97,15.10,15.37,15.58,16.36,16.72
Jilin,,10.15,10.43,10.53,10.50,10.66,10.84,10.97,11.01,11.27,11.51,11.93,12.19,12.45,12.83,12.91,13.15,13.45,13.77,14.09
Heilongjiang,,9.94,10.12,10.37,10.71,11.05,11.45,11.94,12.59,13.16,13.65,14.42,14.77,15.13,15.50,15.74,15.89,16.05,16.32,17.53
Shanghai,,6.54,6.33,6.15,5.95,5.68,5.47,5.34,5.23,5.15,4.98,4.81,4.63,4.52,4.43,4.10,3.85,3.75,3.80,3.81
Jiangsu,,36.24,35.90,34.59,33.21,31.61,30.02,28.92,27.79,27.02,25.82,25.26,25.01,24.96,25.47,25.47,25.83,26.05,26.16,26.49
Zhejiang,,23.22,22.83,22.19,21.61,21.04,20.51,20.00,19.48,19.04,18.35,17.95,17.44,17.19,17.01,16.78,16.56,16.38,16.22,16.01
Anhui,,26.97,26.90,26.04,25.54,24.93,24.50,24.05,23.83,23.79,23.81,24.15,24.33,24.57,24.86,25.10,25.48,25.64,25.95,26.25
Fujian,,20.42,19.83,18.26,17.79,17.20,16.89,16.59,16.25,15.87,15.45,15.39,15.53,15.66,15.68,16.03,16.09,16.34,16.65,17.10
Jiangxi,,24.25,24.52,24.22,23.85,23.47,22.70,21.92,21.59,21.03,20.72,20.55,20.42,20.29,20.15,19.80,19.80,19.55,19.35,19.44
Shandong,,46.76,46.83,45.43,44.27,43.07,42.19,40.89,39.64,38.91,38.73,38.26,38.63,38.75,39.00,38.80,38.66,38.17,37.77,37.88
Henan,,60.72,60.57,58.66,56.52,54.72,52.70,50.61,50.09,49.40,49.45,49.69,49.58,49.04,48.91,48.53,48.30,47.82,47.55,47.85
Hubei,,22.21,21.93,20.98,20.83,20.36,20.33,20.20,20.02,19.92,19.66,19.17,19.49,19.61,19.82,20.14,20.49,20.93,21.57,22.18
Hunan,,31.33,31.10,30.00,28.71,27.45,26.59,25.37,24.91,24.81,24.63,24.69,25.03,25.00,25.04,25.02,25.00,24.76,24.61,24.83
Guangdong,,60.20,59.22,57.34,55.32,53.03,50.78,48.66,46.86,45.44,43.75,43.24,43.25,43.07,41.83,41.66,41.45,40.76,40.38,39.65
Guangxi,,29.78,29.31,28.17,26.71,25.78,24.71,23.25,22.20,21.73,21.56,21.72,21.90,22.02,22.08,21.80,21.58,20.69,20.48,20.05
Hainan,,5.77,5.67,5.43,5.25,5.07,4.98,4.91,4.98,5.02,5.05,5.12,5.16,5.21,5.24,5.26,5.23,5.16,5.06,5.01
Chongqing,,13.41,13.33,13.06,12.88,12.65,12.53,12.31,11.89,11.64,11.52,11.40,11.53,11.61,11.75,11.92,11.98,11.37,11.43,11.40
Sichuan,,34.95,34.94,34.49,33.78,32.99,32.50,31.44,30.81,30.49,30.56,30.49,30.55,30.57,30.65,30.77,30.61,30.69,30.71,30.79
Guizhou,,21.52,21.27,21.50,21.25,20.78,20.21,19.71,19.35,19.29,19.30,19.80,19.71,19.79,19.92,20.00,19.20,18.88,18.37,18.08
Yunnan,,23.25,23.63,23.73,23.08,22.84,22.73,22.70,22.48,22.59,23.02,23.37,23.48,23.75,23.38,22.68,22.27,22.20,21.92,21.90
Tibet,,2.54,2.54,2.45,2.32,2.24,2.04,2.11,2.09,2.03,1.88,1.89,1.91,1.89,1.87,1.81,1.78,1.60,1.43,1.36
Shaanxi,,18.80,18.50,17.71,17.07,16.42,15.91,15.62,15.61,15.94,16.28,16.68,17.10,17.52,17.83,18.09,18.29,18.46,18.66,18.81
Gansu,,15.19,15.21,15.09,14.84,14.33,14.20,14.11,14.03,14.05,14.04,14.02,14.13,14.04,14.00,14.14,13.71,13.55,13.08,12.87
Qinghai,,2.97,3.00,2.88,2.83,2.75,2.73,2.64,2.65,2.52,2.70,2.61,2.59,2.66,2.68,2.73,2.73,2.81,2.75,2.78
Ningxia,,3.59,3.50,3.38,3.43,3.45,3.42,3.41,3.38,3.34,3.41,3.44,3.33,3.32,3.34,3.28,3.30,3.31,3.38,3.39
Xinjiang,,16.98,17.02,17.01,16.74,15.86,15.34,14.64,14.48,14.51,14.06,13.61,13.52,13.40,13.43,13.28,13.36,13.47,13.48,13.49
Data Sources£ºNational Bureau of Statistics
