Database???Annual by Province
Indicators£ºNumber of Full-time Teachers of Regular Senior _Secondary Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2.28,2.18,2.10,2.06,2.09,2.15,2.11,2.13,2.11,2.08,2.06,2.03,1.96,1.98,1.98,2.03,2.06,1.99,1.87
Tianjin,,1.80,1.71,1.68,1.66,1.66,1.65,1.64,1.62,1.60,1.56,1.54,1.52,1.48,1.50,1.53,1.54,1.51,1.42,1.31
Hebei,,13.41,12.51,11.51,10.71,9.99,9.44,8.91,8.54,8.34,8.23,8.29,8.35,8.30,8.18,8.07,8.12,7.82,7.34,6.75
Shanxi,,6.50,6.50,6.43,6.42,6.39,6.39,6.33,6.19,6.09,5.99,5.81,5.62,5.36,5.14,4.93,4.76,4.52,4.16,3.70
Inner Mongolia,,4.07,3.93,3.75,3.70,3.63,3.57,3.48,3.41,3.36,3.31,3.22,3.13,3.16,3.11,3.06,2.99,2.89,2.66,2.46
Liaoning,,5.43,5.37,5.24,5.24,5.18,5.13,5.06,5.01,4.89,4.83,4.73,4.60,4.47,4.36,4.26,4.11,3.98,3.82,3.56
Jilin,,3.51,3.44,3.27,3.17,3.08,2.99,2.93,2.88,2.84,2.75,2.78,2.76,2.76,2.76,2.75,2.68,2.60,2.43,2.23
Heilongjiang,,4.50,4.41,4.31,4.29,4.27,4.25,4.23,4.23,4.25,4.20,4.26,4.17,4.07,4.01,3.94,3.74,3.58,3.41,3.26
Shanghai,,2.01,1.94,1.90,1.86,1.84,1.79,1.77,1.74,1.70,1.66,1.66,1.66,1.67,1.69,1.72,1.80,1.80,1.82,1.78
Jiangsu,,12.14,11.31,10.55,9.93,9.56,9.47,9.51,9.54,9.65,9.73,9.72,9.71,9.82,9.86,9.89,9.79,9.39,8.88,8.29
Zhejiang,,7.83,7.63,7.37,7.20,7.04,6.96,6.80,6.64,6.56,6.50,6.45,6.34,6.23,6.05,6.00,5.93,5.86,5.69,5.33
Anhui,,9.02,8.63,8.21,8.04,7.86,7.80,7.73,7.63,7.52,7.38,7.18,6.96,6.69,6.39,6.32,5.95,5.56,5.11,4.56
Fujian,,5.77,5.48,5.28,5.20,5.11,5.07,5.04,5.05,5.09,5.16,5.20,5.24,5.21,5.23,5.25,5.22,4.96,4.53,4.01
Jiangxi,,8.16,7.21,6.52,6.05,5.84,5.57,5.48,5.32,5.12,4.98,4.82,4.76,4.69,4.75,4.90,4.95,4.85,4.66,4.37
Shandong,,16.18,15.59,14.90,14.30,13.79,13.44,12.96,12.52,12.16,11.90,11.52,11.34,11.14,11.26,11.23,11.26,11.19,10.81,10.23
Henan,,18.42,16.44,14.81,13.83,13.11,12.47,11.79,11.40,11.08,10.81,10.73,10.43,10.43,10.49,10.27,9.79,9.19,8.40,7.60
Hubei,,7.60,7.20,6.85,6.69,6.60,6.59,6.65,6.70,6.81,6.97,7.09,7.13,7.11,7.08,7.02,6.95,6.81,6.44,6.03
Hunan,,10.23,9.51,8.99,8.44,8.00,7.58,7.22,7.00,6.85,6.74,6.71,6.76,6.78,6.97,7.26,7.34,7.23,6.83,6.24
Guangdong,,16.47,15.74,15.18,14.88,14.99,15.14,15.16,15.09,14.84,14.48,14.18,13.71,12.51,11.85,11.07,10.34,9.56,8.61,7.53
Guangxi,,8.36,7.66,7.10,6.31,5.95,5.60,5.34,5.07,4.84,4.68,4.46,4.31,4.21,4.15,4.08,3.99,3.80,3.52,3.27
Hainan,,1.59,1.52,1.43,1.36,1.34,1.33,1.28,1.26,1.22,1.14,1.09,0.99,0.95,0.91,0.88,0.83,0.77,0.66,0.56
Chongqing,,4.42,4.23,4.08,3.99,3.93,3.94,3.99,3.92,3.84,3.77,3.64,3.42,3.22,3.01,2.90,2.78,2.72,2.58,2.41
Sichuan,,11.14,10.67,10.30,10.12,9.96,9.75,9.62,9.43,9.21,9.00,8.65,8.28,8.03,7.71,7.90,7.91,7.60,7.24,6.65
Guizhou,,7.17,7.05,6.91,6.81,6.66,6.41,6.10,5.62,5.24,4.70,4.16,3.62,3.31,3.14,3.03,2.92,2.81,2.56,2.25
Yunnan,,7.64,7.50,7.30,6.25,5.91,5.66,5.39,5.15,4.95,4.73,4.53,4.29,4.12,3.97,3.83,3.68,3.40,2.98,2.51
Tibet,,0.66,0.63,0.61,0.57,0.57,0.52,0.50,0.47,0.44,0.39,0.37,0.34,0.32,0.27,0.26,0.24,0.21,0.19,0.17
Shaanxi,,5.73,5.69,5.72,5.75,5.74,5.73,5.75,5.71,5.69,5.70,5.62,5.54,5.40,5.31,5.22,4.98,4.72,4.41,4.07
Gansu,,4.80,4.73,4.60,4.58,4.57,4.54,4.51,4.48,4.38,4.25,4.05,3.86,3.75,3.65,3.55,3.40,3.21,2.91,2.55
Qinghai,,1.08,1.07,1.04,1.00,0.97,0.91,0.89,0.87,0.80,0.80,0.77,0.77,0.76,0.75,0.75,0.73,0.70,0.66,0.59
Ningxia,,1.31,1.21,1.16,1.13,1.13,1.09,1.06,1.05,1.03,1.00,0.97,0.94,0.89,0.86,0.82,0.77,0.75,0.70,0.65
Xinjiang,,4.08,4.13,4.24,4.43,4.47,4.45,4.11,3.89,3.78,3.50,3.24,3.13,3.02,2.94,2.87,2.80,2.68,2.52,2.28
Data Sources£ºNational Bureau of Statistics
