Database???Annual by Province
Indicators£ºGovernment Appropriation for Education(10000 yuan)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,13130243,13130881,12791460,11661674,10863394,10491718,9810774,9683640,8941899,,6277348,5136580,4332698,3833068,3175975,2542281,3357550,2983476
Tianjin,,,5355015,5035674,5188454,5343469,4951367,4530501,4775063,5532759,4986021,,3389120,2270774,1803943,1493682,1148940,969254,895562,781630
Hebei,,,17431028,17793662,16403527,14428248,13374769,11888154,10732988,8926512,8523960,,6844588,5647497,4692123,4171281,3103586,2372849,2126918,1754771
Shanxi,,,9093489,8316903,8090896,7521089,7097917,6633065,7233564,5762332,5716634,,4451667,3529544,2977295,2568476,1948361,1532497,1289169,1012934
Inner Mongolia,,,7650998,7758612,7229144,6887931,6740750,6648963,6324669,5735677,5546840,,4463714,3584765,2692816,2185264,1629515,1176788,997738,855424
Liaoning,,,8672192,8945697,8432161,7812616,7749271,7421874,7101812,7053396,7766499,,6325914,4834720,4143772,3674925,3000631,2263898,2059685,1774300
Jilin,,,5653622,6020483,5572792,5640463,5512733,5403748,5022614,4460292,4623684,,3543183,2747077,2375058,2111975,1567665,1178826,1126803,985194
Heilongjiang,,,7258878,7354052,6978841,6611325,6576669,6385696,6078141,5276808,5126395,,3859462,3183150,2761967,2649171,2055103,1564206,1508937,1370092
Shanghai,,,12531779,11844027,11482219,10908087,9939601,9237025,8264220,7965263,7640400,,5844327,4407376,3825305,3674055,3261409,2649054,2750648,2285943
Jiangsu,,,30041739,27497926,24805724,22542111,20943564,19233685,18190920,16716834,15765569,,11768474,9234608,7402067,6484818,5259263,3948991,3660670,3099409
Zhejiang,,,23799795,22022327,20353658,17760986,15959821,14235711,12922271,12081380,10890610,,8732600,7336561,5947216,5172415,4401972,3611275,3237876,2853665
Anhui,,,15407270,14462349,13480220,12315191,11400507,10304306,9572661,8629778,8594589,,6461027,4488332,3596935,3175813,2441218,1763966,1575071,1386904
Fujian,,,12155937,11593784,10758497,10105436,9115032,8403251,8100240,7151769,6514206,,4856150,3913350,3255728,2763597,2217201,1799974,1541167,1391027
Jiangxi,,,13343489,13129954,12100058,11020286,9854977,8816174,8146382,7394986,6932770,,5036882,3175331,2706434,2217897,1857367,1179109,979639,831076
Shandong,,,26990467,25265110,23369670,21698736,19797132,18754460,17346983,15811214,14995863,,11225099,8029725,6364782,5747058,4755635,3486868,2991838,2561588
Henan,,,20831756,21897805,20678150,19021942,16854320,14922439,13678565,13181810,12650584,,9292217,6800265,5869145,4976900,4075505,2838698,2357389,1966366
Hubei,,,13741979,13529514,12692681,11474878,11041050,10446404,9035539,7634018,6697669,,4787821,3838175,3407313,2805035,2297161,1591186,1681181,1531661
Hunan,,,15212719,14497135,13508118,12518875,11853958,10836439,9540802,8809278,8449160,,5846551,4585048,4031176,3436066,2628646,1840209,1669162,1409498
Guangdong,,,44990678,41803232,37155828,31891816,28793140,24875764,22611396,20220035,18505746,,13592334,10440230,9071029,8013744,6614097,5290233,4692174,4217379
Guangxi,,,13378366,12835127,11840508,10503052,9915677,9137061,8467679,7163058,6540555,,4905638,3990786,3051449,2650050,2058340,1546263,1208967,1060560
Hainan,,,3773504,3952895,3492150,3059503,2731665,2496491,2337554,1992064,1826386,,1370536,1133239,905860,686993,549796,392228,314244,248164
Chongqing,,,10349977,9765616,9139029,8284585,7595118,7054576,6400963,5538929,5228011,,3832059,2893208,2324549,1813614,1471782,1077010,956460,826798
Sichuan,,,20478094,19761599,18246513,16850603,15793602,14423197,13362232,11779275,11225895,,8017200,6816497,6105391,4894707,3478766,2346786,2055507,1828023
Guizhou,,,12782891,12443314,11585069,10712431,9790255,8909339,8039152,6761067,5954134,,3869567,3139157,2680258,2300188,1670164,1187802,1031411,816927
Yunnan,,,14103896,14307642,12681214,12693973,11490455,10227745,9039569,7930673,7820920,,5652685,4480463,3723686,2823329,2191078,1831518,1536868,1391480
Tibet,,,3294482,3120455,2836103,2528491,2360014,1829919,1892997,1507576,1182000,,807466,641638,577399,478394,406063,263422,288219,222774
Shaanxi,,,11157023,10700777,9960349,9060521,8430072,8086909,7754202,7305175,7246693,,5249804,3766663,3410574,2659058,1826039,1410121,1276078,1144359
Gansu,,,7638508,7711029,7211953,6662368,6372791,6065624,5518606,4633088,4265005,,3129282,2648616,2359726,1960155,1347784,1024879,847512,727917
Qinghai,,,2853321,2718155,2662423,2411587,2131024,1918513,1906170,1843741,1468671,,1469582,985919,727966,547864,405548,331129,246545,190742
Ningxia,,,2431303,2461993,2151733,2024558,1989493,1795089,1696500,1502629,1385750,,1147144,843802,677505,575667,533091,315042,277221,223604
Xinjiang,,,10344083,10307613,9373266,8814570,7876522,7196691,6508191,5858129,5504391,,4183426,3256626,2592025,2134971,1543932,1235830,1072552,924892
Data Sources£ºNational Bureau of Statistics
