Database???Annual by Province
Indicators£ºNumber of Graduates of Junior Secondary Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,9.01,9.24,9.58,9.76,,,,,,,
Tianjin,,,,,,,,,,7.94,7.97,8.41,9.05,,,,,,,
Hebei,,,,,,,,,,60.25,66.78,70.31,75.25,,,,,,,
Shanxi,,,,,,,,,,44.87,54.15,57.87,55.58,,,,,,,
Inner Mongolia,,,,,,,,,,22.76,24.94,26.33,26.00,,,,,,,
Liaoning,,,,,,,,,,33.55,38.66,41.07,43.59,,,,,,,
Jilin,,,,,,,,,,21.03,24.03,25.97,28.56,,,,,,,
Heilongjiang,,,,,,,,,,26.96,37.33,39.43,39.86,,,,,,,
Shanghai,,,,,,,,,,9.22,9.41,9.46,9.62,,,,,,,
Jiangsu,,,,,,,,,,61.46,67.52,75.22,83.83,,,,,,,
Zhejiang,,,,,,,,,,46.06,48.58,51.44,57.59,,,,,,,
Anhui,,,,,,,,,,66.63,72.40,86.96,92.21,,,,,,,
Fujian,,,,,,,,,,34.31,37.14,40.48,46.35,,,,,,,
Jiangxi,,,,,,,,,,55.12,62.61,65.18,63.14,,,,,,,
Shandong,,,,,,,,,,99.40,105.10,104.91,107.63,,,,,,,
Henan,,,,,,,,,,114.66,140.34,149.81,155.45,,,,,,,
Hubei,,,,,,,,,,47.71,53.37,57.58,77.14,,,,,,,
Hunan,,,,,,,,,,65.24,66.65,68.87,69.27,,,,,,,
Guangdong,,,,,,,,,,138.30,151.66,161.98,161.91,,,,,,,
Guangxi,,,,,,,,,,61.86,64.02,64.38,62.45,,,,,,,
Hainan,,,,,,,,,,11.03,12.05,13.49,14.16,,,,,,,
Chongqing,,,,,,,,,,34.81,37.75,40.31,42.88,,,,,,,
Sichuan,,,,,,,,,,91.80,102.66,109.37,115.37,,,,,,,
Guizhou,,,,,,,,,,67.40,65.85,66.33,65.06,,,,,,,
Yunnan,,,,,,,,,,56.77,62.51,66.69,67.05,,,,,,,
Tibet,,,,,,,,,,4.19,4.37,4.66,4.44,,,,,,,
Shaanxi,,,,,,,,,,40.73,45.59,52.13,58.68,,,,,,,
Gansu,,,,,,,,,,35.17,41.95,44.26,45.83,,,,,,,
Qinghai,,,,,,,,,,6.17,6.50,6.85,6.36,,,,,,,
Ningxia,,,,,,,,,,9.12,9.29,9.51,9.79,,,,,,,
Xinjiang,,,,,,,,,,29.99,31.14,31.95,32.85,,,,,,,
Data Sources£ºNational Bureau of Statistics
