Database???Annual by Province
Indicators£ºNumber of Graduates of Regular Senior Secondary _Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,4.98,4.51,5.21,5.04,5.11,4.97,5.28,5.77,5.78,5.81,5.57,5.83,6.23,7.01,7.85,7.84,7.80,7.33,6.66
Tianjin,,5.81,5.18,5.47,5.44,5.37,5.52,5.61,5.84,6.11,6.12,6.23,6.02,6.60,7.06,7.52,7.22,6.99,5.73,5.26
Hebei,,50.04,44.77,45.50,42.76,40.11,37.70,36.82,35.24,36.20,40.45,42.37,42.79,42.66,46.90,48.23,47.22,45.06,39.63,31.87
Shanxi,,22.49,20.76,22.71,24.44,24.76,26.03,28.44,28.36,27.35,28.61,28.53,27.01,25.94,25.14,25.88,23.17,22.22,19.69,16.33
Inner Mongolia,,12.92,13.24,14.27,14.48,14.63,15.33,16.07,16.59,16.21,16.16,16.13,16.81,17.48,18.31,18.76,17.01,15.70,13.66,11.75
Liaoning,,20.02,18.76,20.87,20.67,20.64,20.25,21.61,22.35,23.15,23.16,23.80,23.38,22.61,24.88,25.70,24.92,22.45,20.19,16.98
Jilin,,14.58,12.55,13.98,13.74,13.31,13.01,13.90,13.99,15.55,15.71,15.43,15.53,15.22,16.88,16.84,16.43,14.64,13.31,10.11
Heilongjiang,,18.86,17.41,18.84,18.59,18.09,18.16,19.07,19.39,19.90,20.61,20.63,20.43,19.55,20.66,20.37,19.38,18.16,16.13,13.94
Shanghai,,5.35,5.17,5.23,5.16,5.19,5.13,5.19,5.12,5.10,5.27,5.44,5.85,6.24,7.04,9.51,10.24,10.21,10.18,9.10
Jiangsu,,38.06,34.59,31.13,31.39,31.24,31.76,33.87,36.88,39.67,42.59,44.48,46.61,48.64,51.31,49.91,47.58,44.97,42.65,35.32
Zhejiang,,26.92,25.17,25.51,25.40,25.33,24.62,25.99,27.10,29.66,29.61,29.71,27.71,27.37,28.58,29.59,29.35,29.20,25.99,21.56
Anhui,,38.07,35.99,35.13,36.33,36.92,37.67,38.83,43.30,42.94,41.67,41.28,42.42,44.38,44.92,43.75,39.65,33.21,30.10,24.85
Fujian,,20.61,19.64,19.59,21.02,20.61,19.65,19.70,20.81,22.73,23.18,22.56,22.63,24.03,24.90,24.22,23.40,20.18,18.26,15.92
Jiangxi,,37.32,34.17,33.28,32.69,30.45,30.19,30.20,28.74,27.70,24.09,23.31,25.11,26.25,27.91,28.68,26.65,25.70,23.98,19.89
Shandong,,57.03,53.98,54.20,55.16,55.01,55.38,57.91,56.89,54.32,50.94,48.29,50.18,54.69,59.08,64.86,64.55,62.22,57.52,47.68
Henan,,74.22,71.76,69.03,67.99,66.08,63.14,63.31,61.05,60.28,63.13,64.01,66.55,70.43,70.17,74.98,65.10,57.36,53.66,42.48
Hubei,,29.88,27.68,27.40,27.41,27.56,28.95,30.57,31.69,34.95,39.12,41.22,42.91,43.45,44.99,44.97,44.31,41.07,38.34,32.29
Hunan,,42.52,39.42,38.56,37.96,36.45,34.41,34.20,33.50,32.04,31.67,31.01,32.56,36.18,41.57,43.00,40.87,37.85,34.02,28.98
Guangdong,,63.13,59.21,59.84,62.85,64.65,67.67,70.33,72.67,72.87,72.37,68.85,63.09,56.76,56.90,53.49,48.00,42.99,37.44,31.82
Guangxi,,38.01,35.30,33.66,32.70,29.58,28.18,26.85,25.73,25.33,24.19,23.75,23.84,23.90,23.66,23.42,22.31,20.20,19.35,16.51
Hainan,,5.98,5.65,5.57,5.74,5.70,5.61,5.88,6.06,5.85,5.37,5.26,5.15,5.06,5.13,4.55,3.82,3.25,3.07,2.67
Chongqing,,20.53,20.18,20.81,20.66,20.41,21.09,21.92,22.36,22.12,21.41,20.36,18.97,16.95,16.14,15.69,14.42,14.14,13.37,10.24
Sichuan,,47.43,45.25,45.60,47.00,47.99,49.03,49.66,49.78,50.49,48.55,47.81,45.26,45.00,44.97,45.67,43.99,41.41,37.32,27.94
Guizhou,,31.34,32.79,34.03,33.34,33.06,32.34,30.74,28.07,23.85,21.04,19.59,18.02,17.17,16.54,16.13,14.93,13.71,11.92,9.49
Yunnan,,31.28,28.99,28.37,27.24,25.70,25.22,24.89,24.07,22.16,21.00,19.62,19.23,18.44,18.38,17.39,15.33,12.77,11.60,9.94
Tibet,,2.34,2.47,2.03,1.92,1.91,1.83,2.00,1.81,1.62,1.47,1.33,1.32,1.22,1.33,1.44,1.23,0.99,0.77,0.68
Shaanxi,,21.09,23.04,24.13,25.22,26.33,26.70,27.76,29.01,30.44,31.76,31.73,30.93,31.03,32.54,33.05,31.32,27.74,25.96,22.00
Gansu,,17.03,17.11,18.12,19.36,20.11,20.81,21.91,22.44,22.38,21.65,21.36,20.22,19.50,19.23,19.41,17.93,16.43,13.82,10.91
Qinghai,,4.16,4.18,4.19,4.16,3.91,3.83,3.80,3.59,3.24,3.31,3.58,3.61,3.41,3.44,3.37,3.18,2.93,2.54,2.07
Ningxia,,5.32,5.04,4.91,4.73,5.23,5.36,5.61,5.54,5.50,4.98,4.77,4.83,4.49,4.42,4.32,4.25,4.00,3.67,3.25
Xinjiang,,16.79,16.25,19.36,18.69,17.79,16.19,14.43,13.91,14.13,13.98,13.51,12.95,13.57,13.73,13.52,12.71,11.54,10.39,8.44
Data Sources£ºNational Bureau of Statistics
