Database???Annual by Province
Indicators£ºNumber of Graduates of Secondary Vocational Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,1.25,1.42,1.79,2.29,2.60,2.90,2.98,4.14,6.70,7.56,5.89,5.11,5.13,5.68,5.79,6.06,6.10,6.18,
Tianjin,,2.49,2.45,3.00,3.00,3.24,2.91,3.11,3.06,3.32,3.93,3.71,4.04,5.15,5.61,5.06,4.18,4.06,3.77,
Hebei,,28.78,25.52,26.75,24.50,23.05,22.01,19.66,25.41,29.77,33.71,38.86,35.58,34.82,34.81,31.21,27.72,23.64,21.24,
Shanxi,,9.94,9.00,10.09,10.72,11.18,11.14,12.96,13.61,15.42,15.97,17.11,19.39,18.18,15.29,14.89,13.35,10.95,10.02,
Inner Mongolia,,5.12,4.86,5.62,5.98,6.06,6.73,6.91,8.29,8.13,9.55,10.95,9.13,8.53,7.71,7.49,6.21,6.04,5.51,
Liaoning,,7.80,7.53,9.80,9.99,9.87,9.60,10.66,10.75,11.53,12.78,13.13,14.22,14.26,14.73,12.98,13.05,12.59,12.16,
Jilin,,4.15,3.34,4.04,4.32,4.17,3.89,4.89,5.35,7.69,8.39,8.98,9.69,9.18,8.16,6.95,6.81,5.95,5.25,
Heilongjiang,,5.53,4.61,6.05,6.15,6.92,7.47,7.49,8.43,9.97,9.18,12.41,12.33,12.20,9.39,7.53,7.66,10.16,7.22,
Shanghai,,3.64,3.19,3.26,3.38,3.47,3.67,3.84,4.42,5.58,4.85,4.49,5.13,5.55,5.70,5.81,5.81,6.07,6.12,
Jiangsu,,19.47,18.17,20.85,20.18,21.26,21.65,22.97,24.25,26.59,30.61,24.86,29.01,28.18,31.64,30.56,28.40,23.82,19.72,
Zhejiang,,17.76,15.97,16.83,17.23,17.04,15.90,16.99,17.96,20.27,20.73,20.35,18.87,18.74,20.65,22.28,21.90,23.24,21.88,
Anhui,,23.88,26.31,25.62,26.79,25.72,27.97,32.93,34.10,32.64,32.49,29.61,28.92,29.25,27.53,26.94,21.95,17.33,14.49,
Fujian,,11.00,9.91,9.86,11.04,10.78,11.78,13.17,13.84,15.21,15.08,17.59,16.20,15.53,14.97,13.65,12.70,12.49,11.00,
Jiangxi,,14.21,11.76,10.80,11.21,10.87,10.55,11.80,13.96,15.41,15.92,19.06,19.34,18.84,18.39,20.03,17.51,17.28,12.06,
Shandong,,25.39,22.10,23.34,25.99,25.02,24.83,28.67,32.04,35.40,37.86,38.05,38.66,43.93,41.89,39.68,39.41,37.99,33.06,
Henan,,37.36,35.57,32.49,34.39,31.40,31.87,33.90,38.83,41.96,51.17,52.27,52.90,52.63,46.69,40.24,38.77,33.58,31.61,
Hubei,,13.99,12.47,11.78,11.68,11.68,11.49,11.14,12.57,14.72,19.97,27.29,30.77,33.58,30.78,26.48,22.05,16.86,12.94,
Hunan,,22.68,20.62,20.79,20.99,20.45,19.49,19.96,20.41,20.51,23.71,25.15,22.55,28.29,27.32,26.94,25.64,21.59,18.79,
Guangdong,,27.19,26.05,26.61,27.93,31.85,34.23,38.92,41.73,45.70,48.83,41.92,36.65,33.17,27.77,24.53,22.15,19.83,18.91,
Guangxi,,18.78,18.82,19.15,19.64,18.57,19.97,22.44,23.19,23.05,26.75,21.49,18.00,16.36,14.75,13.16,11.48,10.21,9.77,
Hainan,,3.38,3.25,3.72,3.48,3.31,3.40,3.61,3.94,4.37,4.04,4.16,3.22,2.97,2.20,2.03,1.66,1.41,1.26,
Chongqing,,10.68,9.52,9.19,9.21,9.93,9.50,9.97,10.87,11.57,10.25,10.84,11.86,12.50,12.22,9.40,9.99,10.32,10.05,
Sichuan,,26.20,25.56,28.20,30.79,32.78,35.35,40.38,42.31,46.81,41.42,35.91,34.05,31.41,28.65,26.54,22.41,22.24,19.25,
Guizhou,,11.46,12.82,13.48,14.22,15.27,15.90,17.30,11.88,10.85,10.03,10.03,9.10,10.10,8.26,7.56,6.20,4.73,4.38,
Yunnan,,19.28,17.55,15.10,14.90,14.21,14.43,14.80,14.99,14.62,21.02,16.28,12.95,12.89,11.72,10.32,9.31,8.87,9.05,
Tibet,,1.18,1.00,0.63,0.66,0.52,0.56,0.42,0.61,0.64,0.64,0.94,0.86,0.73,0.36,0.24,0.22,0.23,0.29,
Shaanxi,,9.02,7.13,7.39,7.30,8.49,9.59,11.36,12.51,16.06,17.73,20.17,20.76,19.83,18.46,17.45,15.95,14.01,12.71,
Gansu,,5.17,5.24,5.73,5.97,5.89,6.78,7.46,8.76,8.89,10.50,10.14,10.28,10.25,8.41,7.55,6.19,5.41,5.46,
Qinghai,,2.19,2.41,2.02,2.02,2.07,1.95,1.93,1.95,2.01,2.24,2.37,2.16,1.98,1.94,1.38,0.92,0.79,0.58,
Ningxia,,2.37,2.37,2.24,2.30,2.45,2.47,2.44,2.59,3.68,3.15,3.25,2.94,2.85,2.05,2.13,1.85,1.71,1.59,
Xinjiang,,7.93,8.88,7.24,6.80,6.85,6.43,5.49,6.52,7.08,7.49,7.13,6.45,6.64,5.94,4.28,3.71,3.13,2.86,
Data Sources£ºNational Bureau of Statistics
