Database???Annual by Province
Indicators£ºNumber of Regular Institutions of Higher Education
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,92,92,92,93,92,92,91,91,89,89,89,87,87,86,85,79,80,77,77
Tianjin,,56,56,56,56,56,57,55,55,55,55,55,55,55,55,55,46,45,42,40
Hebei,,124,123,125,122,122,121,120,118,118,118,113,112,110,109,105,88,88,86,87
Shanxi,,82,82,85,82,83,80,80,79,79,78,75,74,73,71,69,59,56,59,56
Inner Mongolia,,54,54,54,53,53,53,53,53,50,49,48,47,44,41,39,37,37,33,31
Liaoning,,114,114,114,115,115,115,116,116,116,115,112,112,112,107,104,79,78,76,71
Jilin,,66,66,64,62,62,62,60,58,58,58,57,57,56,55,55,44,45,44,42
Heilongjiang,,78,80,80,81,81,81,82,81,80,80,79,78,79,78,78,68,65,62,59
Shanghai,,64,64,63,64,64,64,64,67,68,68,67,66,67,66,66,60,60,58,58
Jiangsu,,168,167,167,167,167,167,166,162,159,156,153,151,150,148,146,118,116,114,112
Zhejiang,,109,109,109,108,108,107,107,105,104,102,102,102,101,99,98,73,68,68,67
Anhui,,121,121,120,120,119,119,119,119,118,117,118,115,111,106,104,89,83,81,81
Fujian,,89,89,89,90,89,89,88,88,88,87,86,85,84,84,81,72,63,53,53
Jiangxi,,106,106,105,103,102,100,98,97,95,92,88,86,85,85,82,66,66,67,66
Shandong,,153,153,152,146,145,145,144,143,141,139,136,138,132,126,125,110,108,99,97
Henan,,156,156,151,141,139,134,129,129,129,127,120,117,107,99,94,82,84,83,82
Hubei,,130,130,129,128,128,129,128,126,123,123,122,122,120,120,118,86,86,85,85
Hunan,,130,128,128,125,124,124,123,124,124,122,121,120,117,115,115,99,96,93,81
Guangdong,,161,160,154,154,152,151,147,143,141,138,137,134,131,125,125,109,105,102,94
Guangxi,,85,85,82,78,75,74,73,71,70,70,70,70,70,68,68,56,55,51,49
Hainan,,21,21,21,20,20,19,18,17,17,17,17,17,17,17,16,14,15,15,14
Chongqing,,70,69,68,65,65,65,65,64,63,63,60,59,53,50,47,38,38,35,35
Sichuan,,134,134,132,126,119,109,109,109,107,103,99,93,92,92,90,76,74,68,68
Guizhou,,75,75,75,72,72,70,64,59,55,52,49,48,47,47,45,37,36,34,34
Yunnan,,82,82,82,81,79,77,72,69,67,67,66,64,61,61,59,51,50,44,43
Tibet,,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,4
Shaanxi,,97,97,96,95,95,93,93,92,92,92,91,90,90,89,88,76,76,72,62
Gansu,,49,49,50,49,49,49,49,45,43,42,42,42,40,39,39,34,33,33,31
Qinghai,,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,11,11,11,11
Ningxia,,20,20,20,19,19,19,18,18,18,16,16,16,15,15,15,13,13,13,13
Xinjiang,,55,55,56,54,50,47,46,44,44,41,39,37,37,37,37,32,31,30,28
Data Sources£ºNational Bureau of Statistics
