Database???Annual by Province
Indicators£ºNumber of Students Per 100 000 Population in Junior _Secondary Education(person)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,1625,1597,1534,1433,1285,1226,1236,1317,1451,1501,1513,1541,1766,1881,1991,,,,
Tianjin,,2637,2458,2060,1945,1800,1679,1657,1724,1815,1845,1893,2017,2226,2441,2722,,,,
Hebei,,4298,4139,3972,3935,3765,3481,3281,3198,3121,2866,3002,2989,3145,3461,3949,,,,
Shanxi,,3143,3131,2992,3071,3073,2940,2982,3089,3358,3576,4182,4597,5004,5110,5286,,,,
Inner Mongolia,,2783,2770,2605,2618,2517,2455,2439,2553,2681,2765,3007,3202,3364,3478,3640,,,,
Liaoning,,2272,2335,2303,2328,2255,2201,2233,2307,2405,2409,2589,2734,2946,3151,3345,,,,
Jilin,,2493,2506,2313,2421,2431,2264,2195,2164,2264,2345,2534,2736,3011,3209,3381,,,,
Heilongjiang,,2559,2632,2307,2422,2462,2380,2371,2348,2389,2433,3142,3193,3377,3503,3647,,,,
Shanghai,,2107,2000,1928,1860,1789,1701,1711,1700,1767,1835,1843,1870,2216,2257,2289,,,,
Jiangsu,,3178,3113,3151,3012,2812,2609,2444,2346,2333,2345,2494,2683,3016,3337,3650,,,,
Zhejiang,,2589,2572,2797,2853,2854,2788,2714,2686,2727,2707,2733,2838,3226,3452,3656,,,,
Anhui,,3742,3765,3518,3460,3344,3263,3161,3125,3191,3335,3570,4195,4551,4854,5072,,,,
Fujian,,3739,3668,3656,3462,3291,3138,3008,2978,2983,2957,3012,3134,3517,3927,4225,,,,
Jiangxi,,4613,4789,4724,4735,4478,4160,3948,3884,3870,3895,4334,4504,4514,4302,3996,,,,
Shandong,,3907,3818,3701,3592,3455,3311,3208,3175,3234,3283,3405,3600,3681,3630,3563,,,,
Henan,,4989,4820,4898,4877,4727,4502,4386,4290,4242,4094,4834,4976,4948,5030,5173,,,,
Hubei,,3140,3085,2882,2795,2690,2527,2418,2348,2373,2567,2740,3563,3813,4147,4598,,,,
Hunan,,3983,3874,3642,3598,3505,3366,3318,3301,3298,3228,3201,3293,3355,3360,3374,,,,
Guangdong,,3576,3400,3519,3429,3335,3238,3206,3313,3540,3821,4212,4588,5189,5277,5269,,,,
Guangxi,,4689,4580,4546,4476,4353,4206,4144,4129,4134,4167,4233,4356,4127,4289,4445,,,,
Hainan,,3973,3876,4036,3951,3810,3635,3554,3642,3768,3910,4157,4516,4879,5221,5489,,,,
Chongqing,,3386,3528,3680,3597,3400,3249,3202,3211,3298,3455,3725,4125,4483,4678,4796,,,,
Sichuan,,3315,3343,3341,3282,3154,3015,2984,3027,3187,3365,3779,4060,4207,4380,4461,,,,
Guizhou,,4929,4665,4915,4980,5051,5147,5358,5643,5906,6036,6057,6146,5654,5602,5504,,,,
Yunnan,,3973,3886,3754,3821,3877,3925,3950,4018,4050,4023,4220,4460,4551,4505,4457,,,,
Tibet,,4114,3964,4072,4064,3840,3763,3712,3696,3983,4095,4295,4531,4792,4989,4927,,,,
Shaanxi,,3216,3046,3014,2908,2830,2753,2771,2837,2968,3202,3515,4013,4356,4792,5181,,,,
Gansu,,3629,3538,3302,3344,3313,3280,3370,3509,3760,4018,4603,5021,5252,5369,5427,,,,
Qinghai,,3843,3747,3693,3736,3726,3471,3536,3656,3669,3632,3674,3968,3938,3879,3754,,,,
Ningxia,,3920,3980,4210,4343,4259,4136,4112,4144,4254,4401,4579,4734,4919,4856,4868,,,,
Xinjiang,,4550,4312,4124,3929,3781,3761,3792,3949,4025,4113,4270,4469,4648,4823,5083,,,,
Data Sources£ºNational Bureau of Statistics
