Database???Annual by Province
Indicators£ºNumber of Students Per 100 001 Population in _Kindergartens(person)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2623,2589,2441,2171,2076,2050,1921,1831,1726,1685,1643,1587,1578,1462,1388,,,,
Tianjin,,2327,2278,1912,1768,1689,1674,1724,1665,1629,1651,1687,1740,1774,1756,1730,,,,
Hebei,,3128,3310,3231,3164,3194,3179,3153,3138,2957,2922,2710,2550,2389,2165,2004,,,,
Shanxi,,2864,2893,2676,2681,2668,2791,2705,2694,2667,2635,2546,2296,2072,1885,1775,,,,
Inner Mongolia,,2531,2514,2405,2395,2439,2540,2419,2369,2238,2070,1983,1813,1572,1401,1276,,,,
Liaoning,,1935,2049,1976,2099,2091,2179,2083,2074,1991,1951,1961,1970,1932,1806,1724,,,,
Jilin,,1685,1749,1510,1522,1543,1666,1683,1685,1679,1607,1574,1676,1252,1192,1169,,,,
Heilongjiang,,1480,1541,1280,1351,1378,1472,1385,1389,1397,1410,1510,1465,1285,1110,1144,,,,
Shanghai,,2146,2251,2354,2357,2363,2367,2304,2209,2082,2105,2047,1929,2084,1874,1769,,,,
Jiangsu,,2788,2979,3148,3154,3183,3257,3225,3150,2948,2927,2791,2764,2663,2517,2330,,,,
Zhejiang,,3016,3105,3394,3377,3419,3503,3463,3452,3379,3412,3453,3436,3534,3263,3149,,,,
Anhui,,3342,3506,3406,3343,3313,3242,3136,3052,2868,2805,2645,1961,1644,1529,1431,,,,
Fujian,,3743,4020,4276,4303,4306,4272,4079,3974,3859,3823,3763,3572,3216,2989,2772,,,,
Jiangxi,,3340,3581,3644,3567,3490,3505,3483,3660,3524,3471,3389,3261,2787,2553,2117,,,,
Shandong,,3822,3830,3782,3365,3074,2787,2795,2776,2700,2710,2613,2524,2317,1921,1870,,,,
Henan,,3759,4018,4415,4486,4582,4458,4311,4169,3922,3689,3406,3001,2073,1820,1758,,,,
Hubei,,2969,3108,3010,3005,2949,2991,2904,2795,2653,2550,2354,2313,1955,1456,1303,,,,
Hunan,,3262,3452,3345,3299,3283,3357,3316,3215,3037,2880,2675,2492,2215,1893,1667,,,,
Guangdong,,3927,3964,4168,4094,4021,4013,3887,3751,3564,3347,3148,2948,2876,2614,2459,,,,
Guangxi,,4308,4533,4569,4401,4499,4423,4371,4352,4182,3881,3572,3129,2441,2343,2247,,,,
Hainan,,3739,3871,4215,4017,4040,3973,3815,3545,3506,3368,3073,2410,2102,1674,1610,,,,
Chongqing,,2993,3101,3226,3167,3132,3145,3091,3061,3012,3033,3058,2921,2479,2227,2039,,,,
Sichuan,,3034,3127,3167,3170,3142,3177,3161,3049,2970,2866,2724,2623,2306,2098,1966,,,,
Guizhou,,4304,4291,4384,4292,4328,4316,4097,3719,3423,3093,2832,2523,2025,1970,1962,,,,
Yunnan,,3856,3748,3443,3103,2981,2922,2773,2745,2658,2555,2424,2360,2159,2029,1984,,,,
Tibet,,4258,4274,4300,4118,3660,3213,2987,2766,2600,2383,2028,1386,807,560,516,,,,
Shaanxi,,3352,3473,3647,3596,3685,3804,3774,3701,3527,3387,3139,2752,1868,1525,1470,,,,
Gansu,,3804,3879,3620,3537,3596,3562,3431,2706,2402,2133,1873,1688,1470,1365,1291,,,,
Qinghai,,3700,3845,3735,3564,3590,3495,3398,3160,3028,2909,2699,2380,2009,1830,1708,,,,
Ningxia,,3528,3626,3687,3602,3542,3415,3087,2914,2765,2613,2506,2353,2205,2022,1857,,,,
Xinjiang,,3377,4305,5267,6110,6371,6035,3896,3526,3322,3220,3143,2980,2682,2302,1887,,,,
Data Sources£ºNational Bureau of Statistics
