Database???Annual by Province
Indicators£ºNumber of New Enrollment of Students of Regular _Primary Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,15.80,,,15.32,16.58,14.17,13.27,11.37,10.24,11.04,10.92,7.31,7.10,7.36
Tianjin,,,,,,,,,,11.02,10.74,10.25,10.01,8.26,8.13,8.90,8.64,8.21,7.84,8.16
Hebei,,,,,,,,,,98.98,99.61,106.29,103.85,95.60,87.58,91.44,88.52,80.07,72.00,71.50
Shanxi,,,,,,,37.90,,,34.74,39.42,44.05,44.08,45.14,43.08,47.48,53.54,52.49,54.88,60.10
Inner Mongolia,,,,,,,21.60,,,22.45,23.07,23.35,24.64,22.18,22.88,25.02,26.01,26.07,25.89,26.98
Liaoning,,,,,,,30.10,,,33.18,35.06,35.31,37.01,34.85,33.72,39.32,39.51,38.87,37.99,41.61
Jilin,,,,,,,18.94,,,19.00,21.76,24.22,25.04,24.97,23.40,25.94,26.57,23.58,21.54,24.86
Heilongjiang,,,,,,,22.10,,,22.71,27.45,32.90,33.39,34.14,31.24,33.69,34.02,33.32,34.02,38.38
Shanghai,,,,,,,,,,16.34,18.10,17.23,16.94,15.05,13.86,12.39,11.00,10.87,10.46,10.65
Jiangsu,,,,,,,,,,88.89,85.13,79.48,76.18,73.13,66.05,64.23,65.19,63.75,61.93,68.21
Zhejiang,,,,,,,61.30,,,59.81,60.75,60.72,62.88,60.21,53.91,55.78,54.85,52.99,48.96,51.42
Anhui,,,,,,,77.00,,,73.09,75.31,69.39,79.19,81.90,83.86,84.98,86.42,85.40,81.52,91.95
Fujian,,,,,,,53.04,,,52.95,49.57,46.75,44.79,42.60,40.40,39.91,41.93,41.24,35.88,36.49
Jiangxi,,,,,,,67.70,,,69.53,78.91,80.04,77.80,74.84,71.49,74.68,73.58,70.38,66.94,68.12
Shandong,,,,,,,127.00,,,124.70,115.69,109.55,119.40,111.30,101.78,104.61,111.46,107.18,104.27,110.17
Henan,,,,,,,172.38,,,159.44,181.06,190.97,193.44,187.76,184.51,186.92,183.22,176.86,169.44,162.49
Hubei,,,,,,,,,,59.75,60.80,63.48,69.23,68.02,64.22,62.62,61.08,57.01,56.74,59.97
Hunan,,,,,,,88.40,,,81.40,84.76,88.08,86.97,86.38,83.30,84.75,86.28,78.57,71.09,71.41
Guangdong,,,,,,,174.37,,,153.67,150.05,145.30,140.89,135.92,127.42,131.59,143.87,155.64,164.16,168.47
Guangxi,,,,,,,83.70,,,74.97,75.29,74.21,72.67,74.11,75.25,76.56,75.62,77.96,73.46,75.73
Hainan,,,,,,,14.27,,,13.59,12.43,12.25,12.40,10.36,10.81,10.98,12.65,17.37,18.27,16.19
Chongqing,,,,,,,32.60,,,36.07,37.57,35.21,33.87,32.97,32.13,34.76,34.89,36.24,36.50,41.05
Sichuan,,,,,,,91.10,,,92.97,95.03,100.96,99.68,96.49,94.51,100.44,108.30,115.19,109.22,116.92
Guizhou,,,,,,,65.05,,,55.48,51.06,59.10,62.64,65.69,69.90,72.20,73.52,78.79,77.22,83.64
Yunnan,,,,,,,,,,60.93,61.35,62.29,65.38,66.93,69.50,72.91,75.46,76.03,73.34,73.25
Tibet,,,,,,,4.56,,,5.09,5.16,5.16,4.95,5.07,5.37,5.09,5.19,5.29,5.47,5.91
Shaanxi,,,,,,,48.05,,,40.50,38.81,37.89,40.77,40.86,40.99,43.18,45.43,48.54,43.59,48.16
Gansu,,,,,,,33.63,,,28.07,32.09,34.12,33.82,36.13,37.28,41.10,43.57,48.17,46.19,50.88
Qinghai,,,,,,,8.50,,,7.63,7.86,8.31,8.26,8.15,8.72,9.31,10.08,10.17,8.93,9.91
Ningxia,,,,,,,9.66,,,9.32,10.02,10.48,11.12,10.15,10.44,11.02,10.75,12.01,13.04,12.34
Xinjiang,,,,,,,43.34,,,36.86,34.86,33.17,32.24,31.19,31.85,32.86,34.01,33.80,33.85,34.74
Data Sources£ºNational Bureau of Statistics
