Database???Annual by Province
Indicators£ºNumber of New Students Enrollment of Secondary _Vocational Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,1.96,1.65,1.60,1.26,1.44,1.94,2.34,2.71,2.98,5.54,6.41,6.15,5.06,4.98,4.54,5.03,5.42,6.36,
Tianjin,,2.74,2.84,2.69,2.50,2.75,3.03,3.74,3.80,3.08,3.38,3.48,3.50,3.87,4.18,4.21,4.07,4.16,4.42,
Hebei,,32.66,35.61,34.47,31.56,27.58,28.71,27.43,24.32,22.41,22.09,29.95,35.69,40.95,45.24,40.65,41.01,37.68,35.35,
Shanxi,,11.80,11.89,10.98,10.69,10.05,10.97,11.10,11.89,13.18,14.29,17.24,17.62,23.65,23.51,19.29,20.25,17.30,14.06,
Inner Mongolia,,6.65,6.74,6.79,5.76,5.75,6.79,7.18,7.62,8.24,8.39,9.60,10.59,12.42,16.16,10.63,11.40,8.78,8.45,
Liaoning,,9.34,9.32,9.41,8.62,8.05,10.34,11.20,11.12,10.83,11.80,12.14,13.46,14.44,15.45,16.30,16.52,17.22,16.07,
Jilin,,4.59,4.88,4.48,4.38,3.51,4.46,4.70,4.55,4.35,6.11,7.21,9.17,10.73,15.18,10.29,9.53,10.56,7.17,
Heilongjiang,,6.25,6.18,5.98,5.52,5.15,6.50,7.10,7.63,7.84,8.33,10.02,10.93,11.59,16.62,14.21,12.19,12.01,11.78,
Shanghai,,3.93,3.87,3.96,3.43,3.34,3.42,3.54,3.88,4.10,4.44,4.95,4.81,4.89,5.03,5.77,5.07,5.67,5.52,
Jiangsu,,23.51,23.52,22.51,21.28,19.92,22.60,22.09,22.87,23.44,25.91,27.52,30.74,36.26,35.08,38.68,39.54,45.20,41.18,
Zhejiang,,17.36,18.29,20.97,19.94,17.76,18.47,18.84,18.71,17.91,19.15,20.32,23.82,24.15,24.41,22.79,22.92,24.57,26.45,
Anhui,,27.61,29.84,32.88,30.20,29.43,28.79,30.58,30.68,33.42,36.90,40.88,40.55,34.91,32.22,33.36,33.62,32.46,27.63,
Fujian,,14.35,13.98,13.27,13.01,12.29,11.65,13.70,14.08,14.09,15.50,24.08,25.17,20.15,23.40,18.94,19.14,19.45,17.59,
Jiangxi,,19.52,20.49,17.71,14.93,12.25,11.20,13.58,15.71,14.94,16.74,20.29,21.19,22.00,26.57,22.31,24.24,24.30,24.09,
Shandong,,29.96,29.36,29.75,26.72,24.54,26.12,28.82,29.40,31.91,36.35,40.47,44.47,42.70,40.52,41.85,45.92,42.54,39.21,
Henan,,43.10,44.25,40.96,42.09,39.20,42.04,37.49,37.82,39.34,42.22,52.25,56.96,62.56,63.97,57.70,57.36,50.63,43.71,
Hubei,,14.01,15.28,15.23,14.50,12.79,12.72,13.21,13.26,12.67,13.08,14.35,21.23,28.36,36.72,39.06,38.71,36.92,27.38,
Hunan,,26.07,28.25,24.82,25.35,22.91,25.02,25.13,23.78,22.71,22.86,25.31,27.99,30.29,34.89,28.05,33.68,31.45,31.78,
Guangdong,,34.91,33.60,31.39,31.48,29.72,32.23,35.19,39.54,41.70,47.49,49.58,55.03,74.13,52.99,39.81,36.57,32.68,27.93,
Guangxi,,22.70,27.23,27.07,25.94,24.79,25.28,25.63,25.69,27.12,30.36,31.28,31.71,38.09,27.49,24.90,23.70,20.98,14.69,
Hainan,,4.77,4.82,4.83,4.28,4.42,4.54,4.42,4.31,4.54,5.18,5.11,5.80,5.47,5.74,4.25,4.22,2.63,2.42,
Chongqing,,13.81,13.68,13.23,12.36,10.92,10.92,11.12,11.90,11.60,12.22,13.66,14.65,13.25,15.49,15.24,15.89,15.65,11.44,
Sichuan,,34.56,35.29,33.67,32.39,32.58,34.93,37.48,40.08,44.38,49.00,50.11,52.33,51.16,52.81,49.04,43.75,44.98,34.51,
Guizhou,,28.38,15.78,14.60,15.47,16.66,18.31,19.66,22.81,23.58,24.71,15.08,14.82,15.55,16.28,16.12,16.61,13.84,9.97,
Yunnan,,15.82,17.54,26.52,19.48,18.56,18.79,18.36,17.56,17.60,17.97,18.32,18.49,27.90,20.32,16.71,15.26,12.87,11.36,
Tibet,,1.27,1.46,1.48,1.05,0.97,0.75,0.74,0.56,0.71,0.65,0.79,0.54,0.73,1.10,0.52,0.67,0.23,0.29,
Shaanxi,,10.78,10.44,10.70,10.92,8.25,9.84,9.33,10.64,13.53,16.40,19.62,23.64,25.18,24.64,25.67,26.30,21.64,19.21,
Gansu,,7.92,8.39,8.14,7.61,7.27,7.32,8.05,8.18,8.82,9.86,11.77,11.91,13.74,14.15,12.99,12.35,10.05,7.98,
Qinghai,,3.05,3.13,3.29,3.19,2.87,2.80,2.69,2.70,2.73,2.93,3.01,2.96,3.07,3.19,3.10,3.09,2.12,1.32,
Ningxia,,2.89,2.82,2.64,2.79,2.72,2.51,2.81,3.08,3.04,3.03,3.61,5.04,4.25,4.58,4.12,3.15,2.54,2.84,
Xinjiang,,8.52,8.58,8.57,8.71,10.08,8.55,8.89,8.95,8.59,8.39,8.68,9.02,9.89,8.85,9.20,9.71,6.58,5.13,
Data Sources£ºNational Bureau of Statistics
