Database???Annual by Province
Indicators£ºNumber of Cities at Prefecture Level and Above(unit)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tianjin,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hebei,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Shanxi,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Inner Mongolia,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Liaoning,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Jilin,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Heilongjiang,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Shanghai,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jiangsu,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Zhejiang,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Anhui,,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17
Fujian,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Jiangxi,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Shandong,,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Henan,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Hubei,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Hunan,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,13
Guangdong,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,18,21
Guangxi,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Hainan,,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
Chongqing,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sichuan,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Guizhou,,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4
Yunnan,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Tibet,,6,6,6,6,6,6,5,4,3,1,1,1,1,1,1,1,,,
Shaanxi,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gansu,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Qinghai,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Ningxia,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Xinjiang,,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2
Data Sources£ºNational Bureau of Statistics
