Database???Annual by Province
Indicators£ºNumber of Regular Primary Schools
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,719,837,934,941,970,984,984,996,1040,1093,1081,1090,1104,1160,1202,1235,1310,1403,1504
Tianjin,,884,895,885,877,879,857,857,849,842,838,843,874,956,983,993,1003,1023,1062,1099
Hebei,,11460,11604,11625,11604,11545,11697,11944,12126,12529,12538,12898,13274,13563,14447,16205,17340,19162,20883,22953
Shanxi,,4208,4668,5153,5312,5445,5646,6043,6403,6885,8946,10042,10936,12776,14722,17167,19527,21647,24339,28254
Inner Mongolia,,1651,1661,1652,1662,1655,1658,1730,1853,2174,2308,2443,2613,2767,3139,3605,4177,4884,5850,6874
Liaoning,,2455,2601,2827,2976,3280,3634,3954,4234,4429,4631,4779,5118,5523,6037,6987,7670,8434,9311,10281
Jilin,,2483,3199,3464,3740,3871,4153,4281,4493,4806,5103,5186,5600,5837,6184,6450,6736,7010,7393,7781
Heilongjiang,,1350,1380,1407,1431,1469,1537,1979,2802,3115,3261,4834,5620,6490,7202,8142,8738,9288,9995,10791
Shanghai,,671,680,684,698,721,741,753,764,757,759,761,764,766,751,672,615,626,650,658
Jiangsu,,4088,4116,4144,4151,4103,4075,4036,4068,4023,4020,4128,4325,4498,5013,5233,5668,5940,6261,6723
Zhejiang,,3204,3257,3308,3310,3301,3286,3269,3303,3344,3400,3698,3818,3989,4147,4417,4813,5471,6101,6747
Anhui,,6509,6964,7464,7792,7908,8108,8284,9119,10547,11507,12547,13343,13997,14974,16116,17240,18204,20142,21295
Fujian,,5001,5077,5129,5160,5189,5190,5188,5141,5167,5228,5414,5947,6974,7849,8566,9388,9867,10560,11614
Jiangxi,,6324,6753,7199,7330,7578,7760,8329,9465,9764,10650,11173,11633,12772,13021,12890,13178,14244,14727,15257
Shandong,,9063,9458,9619,9646,9674,9738,10027,10404,10770,11151,11573,12047,12405,12858,13503,14064,14611,15871,16943
Henan,,16925,17500,17687,18117,18622,20372,22822,24673,25578,26086,27452,27793,28603,29420,30214,30677,31410,33026,34164
Hubei,,5244,5322,5386,5405,5396,5378,5383,5398,5513,5746,6614,7415,7749,8544,9302,10210,11422,12631,14085
Hunan,,6835,7132,7245,7245,7335,7757,8272,8412,8560,9270,10165,10824,12692,13263,13929,14677,15859,17108,19615
Guangdong,,10614,10599,10600,10565,10308,10258,10178,10126,10731,11824,13396,15148,16806,18506,19271,19891,20512,21228,21944
Guangxi,,7948,7950,8000,8036,8054,8454,10173,11849,12946,13499,13535,13789,13942,14290,14590,14873,15152,15500,15759
Hainan,,1358,1374,1379,1376,1377,1388,1509,1556,1619,1739,2036,2210,2313,2520,2741,2915,3050,3106,3192
Chongqing,,2637,2717,2754,2860,2893,2954,2979,4170,4586,4728,4810,5248,5544,7096,7575,7990,8754,9558,10409
Sichuan,,5213,5443,5679,5725,5730,5721,5981,6487,6959,7257,8586,8847,9282,12437,13993,15834,17372,19305,21935
Guizhou,,6470,6709,6855,6943,6951,7113,7818,8520,9275,10632,11529,12008,12422,12862,13107,13645,14076,14258,14257
Yunnan,,10349,10533,10688,10789,10900,11186,11673,12413,12608,12845,13020,13320,14059,15826,16573,17163,18127,18747,19752
Tibet,,825,832,827,821,809,806,805,826,829,841,857,860,872,884,885,884,880,890,886
Shaanxi,,4407,4559,4610,4640,4714,4752,5507,5851,6574,7356,7994,8867,9710,11583,14185,16316,18590,20711,22988
Gansu,,4782,4951,5252,5444,5785,6172,6924,8052,8979,9640,10336,10907,11582,12637,13424,14002,14685,14963,15347
Qinghai,,729,729,733,724,731,758,889,978,1114,1250,1425,1533,1792,2047,2556,2727,2841,2898,2995
Ningxia,,1101,1129,1149,1188,1250,1353,1536,1693,1763,1850,1896,1942,2027,2131,2202,2276,2373,2527,2630
Xinjiang,,3610,3650,3641,3640,3368,3523,3526,3501,3551,3533,3534,3536,3598,3651,4159,4589,4815,5209,5451
Data Sources£ºNational Bureau of Statistics
