Database???Annual by Province
Indicators£ºNumber of Students Per 100 000 Population in Primary _Education(person)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,4951,4735,4620,4371,4206,4031,4000,3951,3883,3815,3560,3468,3722,3818,4039,,,,
Tianjin,,5615,5421,4674,4500,4324,4149,4080,3969,3893,3907,3928,3992,4119,4314,4673,,,,
Hebei,,8910,9169,9167,8988,8761,8530,8358,8075,7696,7495,7765,7521,7273,6992,6851,,,,
Shanxi,,6614,6671,6309,6168,6172,6196,6198,6221,6185,6359,7285,7756,8492,8934,9471,,,,
Inner Mongolia,,5764,5861,5439,5379,5306,5260,5329,5244,5191,5263,5501,5685,5907,6186,6456,,,,
Liaoning,,4645,4638,4521,4475,4474,4445,4538,4554,4521,4657,4859,4956,5053,5229,5508,,,,
Jilin,,4681,4798,4413,4385,4424,4494,4592,4650,4612,4952,5178,5239,5273,5344,5497,,,,
Heilongjiang,,3528,3700,3317,3389,3481,3623,3776,3856,3875,4017,4871,4892,4913,4977,5185,,,,
Shanghai,,3684,3588,3546,3409,3309,3243,3270,3292,3325,3330,3239,3175,3652,3554,3178,,,,
Jiangsu,,6886,6909,7197,7113,6980,6753,6547,6277,5938,5497,5352,5205,5162,5158,5352,,,,
Zhejiang,,6011,5928,6371,6399,6374,6333,6410,6481,6448,6383,6347,6317,6435,6350,6567,,,,
Anhui,,7693,7678,7355,7307,7304,7110,7005,6946,6885,6834,6781,7446,7510,7936,8505,,,,
Fujian,,8576,8481,8649,8485,8218,7927,7780,7575,7277,6933,6794,6664,6586,6653,6902,,,,
Jiangxi,,8499,8758,8708,8852,9113,9209,9259,9298,9132,9061,9672,9727,9612,9608,9705,,,,
Shandong,,7479,7435,7381,7351,7255,7122,7021,6892,6662,6463,6513,6718,6644,6656,6757,,,,
Henan,,9991,10179,10597,10541,10405,10303,10186,9931,9865,9993,11495,11620,11284,11157,11075,,,,
Hubei,,6597,6670,6426,6363,6211,6025,5915,5774,5538,5680,5675,6588,6391,6291,6330,,,,
Hunan,,7899,7977,7723,7664,7609,7500,7398,7256,7082,7046,7183,7463,7480,7353,7214,,,,
Guangdong,,8547,8547,9176,9108,8849,8564,8344,8102,7816,7626,7694,7873,8804,9301,10122,,,,
Guangxi,,10241,10280,10225,10049,9760,9586,9411,9258,9150,9104,9182,9262,8856,9069,9329,,,,
Hainan,,8520,8596,9123,9134,8983,8828,8711,8563,8407,8345,8573,8810,9033,9766,10726,,,,
Chongqing,,6326,6329,6481,6650,6814,6888,6955,6932,6849,6754,6657,6776,6993,7331,7968,,,,
Sichuan,,6510,6558,6602,6663,6691,6679,6698,6655,6554,6513,6966,7207,7234,7582,7984,,,,
Guizhou,,10165,10273,10965,10786,10384,10185,10011,9872,9888,10205,10957,11749,11414,12046,12488,,,,
Yunnan,,8097,8158,8012,7973,7905,7864,7942,8014,8166,8416,8783,9215,9521,9776,9992,,,,
Tibet,,10263,9989,10053,9911,9684,9520,9349,9192,9458,9571,9628,9792,10323,10635,10980,,,,
Shaanxi,,7557,7494,7461,7184,6926,6617,6375,6175,6015,6057,6269,6790,6920,7215,7644,,,,
Gansu,,8113,8097,7590,7362,7222,7110,7006,6956,6980,7243,8048,8597,8994,9611,10278,,,,
Qinghai,,8709,8730,8351,8267,8128,7843,7787,7787,7980,8283,8777,9092,9313,9620,9750,,,,
Ningxia,,8412,8373,8524,8491,8526,8613,8726,8814,8999,9335,9667,10163,10455,10857,11290,,,,
Xinjiang,,11578,11328,11019,10482,9926,9534,9150,8916,8581,8484,8606,8785,8968,9264,9604,,,,
Data Sources£ºNational Bureau of Statistics
