Database???Annual by Province
Indicators£ºNumber of Rural Households(10000  subscribers)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,,,215.20,212.42,215.95,203.83,189.78,176.86,143.60,142.24,132.88
Tianjin,,,,,,,,,,,,129.03,129.07,130.28,128.89,127.11,125.38,122.57,119.76,117.88
Hebei,,,,,,,,,,,,1551.16,1536.91,1525.58,1497.39,1476.82,1461.93,1445.65,1448.55,1439.38
Shanxi,,,,,,,,,,,,791.89,758.37,694.42,672.03,657.47,650.08,644.24,638.39,634.37
Inner Mongolia,,,,,,,,,,,,391.91,380.07,364.03,357.82,353.28,357.05,354.24,351.42,353.15
Liaoning,,,,,,,,,,,,720.08,722.51,722.93,710.65,703.79,701.13,689.23,695.59,696.19
Jilin,,,,,,,,,,,,420.42,419.24,411.31,402.84,399.08,394.79,390.67,383.69,381.84
Heilongjiang,,,,,,,,,,,,514.11,512.46,509.15,509.49,504.90,493.96,498.30,493.99,486.74
Shanghai,,,,,,,,,,,,112.08,119.02,114.22,95.20,96.52,101.60,121.11,111.07,112.84
Jiangsu,,,,,,,,,,,,1444.65,1466.28,1483.33,1481.77,1489.55,1488.28,1495.50,1593.21,1562.94
Zhejiang,,,,,,,,,,,,1257.09,1263.07,1254.22,1237.44,1227.45,1226.54,1221.13,1224.62,1193.53
Anhui,,,,,,,,,,,,1446.06,1438.46,1424.31,1392.59,1369.90,1364.64,1351.37,1346.13,1333.03
Fujian,,,,,,,,,,,,733.69,724.44,712.34,704.29,696.38,681.08,681.66,682.23,682.29
Jiangxi,,,,,,,,,,,,889.28,878.86,867.31,844.02,831.92,819.65,808.46,795.32,785.04
Shandong,,,,,,,,,,,,2163.18,2153.87,2146.09,2110.10,2091.44,2078.79,2074.91,2050.41,2052.12
Henan,,,,,,,,,,,,2065.74,2061.54,2060.75,2046.26,2036.58,2032.72,2025.10,2025.66,2015.61
Hubei,,,,,,,,,,,,1071.75,1071.75,1062.14,1044.54,1038.20,1038.36,1022.30,1016.42,1005.97
Hunan,,,,,,,,,,,,1591.71,1583.83,1568.80,1547.60,1526.09,1516.55,1504.53,1492.50,1481.70
Guangdong,,,,,,,,,,,,1720.29,1702.32,1686.62,1660.80,1618.24,1574.38,1557.61,1540.84,1493.86
Guangxi,,,,,,,,,,,,1060.83,1039.24,1029.14,1015.54,1000.11,990.74,1002.34,986.10,973.10
Hainan,,,,,,,,,,,,131.58,130.79,125.27,122.30,119.02,116.23,114.41,112.58,110.88
Chongqing,,,,,,,,,,,,724.14,721.14,727.77,731.05,724.06,717.49,714.86,718.84,714.99
Sichuan,,,,,,,,,,,,2070.15,2063.41,2056.23,2030.88,2008.93,1986.20,1978.39,1979.20,1973.42
Guizhou,,,,,,,,,,,,900.66,852.81,858.82,840.08,826.17,814.20,802.44,792.27,781.77
Yunnan,,,,,,,,,,,,969.27,961.21,947.32,927.56,915.29,900.25,888.81,877.37,865.74
Tibet,,,,,,,,,,,,52.36,50.34,47.78,46.03,43.89,42.78,41.57,40.35,39.26
Shaanxi,,,,,,,,,,,,710.40,714.19,711.97,707.11,705.43,704.30,705.03,705.03,703.35
Gansu,,,,,,,,,,,,485.75,482.39,480.63,474.06,469.39,465.94,464.50,463.69,459.39
Qinghai,,,,,,,,,,,,91.75,89.97,87.49,85.77,82.85,80.19,77.82,77.60,75.88
Ningxia,,,,,,,,,,,,105.90,104.27,103.26,102.06,97.49,99.45,97.43,93.64,92.70
Xinjiang,,,,,,,,,,,,270.21,262.73,255.15,245.68,236.40,233.37,228.65,223.92,219.58
Data Sources£ºNational Bureau of Statistics
