Database???Annual by Province
Indicators£ºStudent-Teacher Ratio of Junior Secondary School
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,8.88,8.87,8.68,8.33,7.83,7.73,8.02,8.62,9.44,9.75,9.83,9.90,10.24,10.48,10.83,11.18,9.62,10.34,11.91
Tianjin,,11.78,11.21,11.02,10.71,10.20,9.76,9.63,9.92,10.21,10.04,9.85,10.13,10.56,10.84,11.54,12.21,12.66,13.14,14.16
Hebei,,13.57,13.39,13.72,14.11,14.17,13.87,13.59,13.58,13.45,12.67,12.95,12.47,12.45,12.99,14.16,15.21,16.12,17.09,18.12
Shanxi,,10.56,10.28,10.27,10.45,10.50,10.00,9.92,9.96,10.52,11.00,12.71,13.77,14.37,14.40,14.82,15.37,15.78,16.06,16.55
Inner Mongolia,,10.44,10.57,10.87,11.14,10.93,10.74,10.73,10.82,11.02,11.12,12.01,12.65,12.73,12.96,13.44,14.19,14.90,15.24,15.99
Liaoning,,9.66,9.94,10.14,10.18,9.96,9.68,9.89,10.25,10.68,10.64,11.22,11.79,12.64,13.39,14.18,14.44,14.50,14.75,15.38
Jilin,,8.99,8.99,9.27,9.88,10.04,9.57,9.34,9.20,9.30,9.65,10.41,11.20,12.19,12.78,13.58,13.93,14.32,15.28,16.46
Heilongjiang,,9.46,9.77,9.96,10.38,10.48,10.08,9.99,9.59,9.60,9.60,12.04,12.17,12.73,13.03,13.44,13.99,14.62,15.59,16.01
Shanghai,,11.09,10.80,10.47,10.47,10.55,10.48,10.85,10.98,11.49,12.11,12.29,12.48,12.51,12.67,12.83,12.80,13.20,13.91,15.34
Jiangsu,,11.83,11.85,11.96,12.06,11.83,11.48,11.04,10.77,10.60,10.50,10.81,11.41,12.50,13.61,14.83,15.74,16.75,18.13,19.41
Zhejiang,,12.38,12.24,12.29,12.54,12.66,12.50,12.34,12.30,12.59,12.58,12.56,12.96,13.87,14.77,15.73,15.74,15.51,15.55,16.43
Anhui,,13.37,13.50,13.53,13.48,13.16,13.00,12.79,12.60,12.40,12.63,13.23,15.46,17.10,18.50,19.79,20.74,22.33,23.54,24.57
Fujian,,13.48,13.54,13.46,13.04,12.64,12.17,11.69,11.57,11.49,11.43,11.59,11.83,12.84,14.23,15.32,15.85,16.76,17.87,18.72
Jiangxi,,13.67,14.33,15.15,16.11,16.07,15.85,15.08,14.61,14.42,14.44,15.85,16.36,16.61,16.05,15.41,15.10,15.82,17.26,18.70
Shandong,,12.55,12.28,12.24,12.32,12.26,11.94,11.79,11.74,11.87,12.08,12.54,13.11,13.37,13.15,13.07,13.07,13.85,14.71,15.87
Henan,,13.66,13.66,13.87,14.32,14.38,14.35,14.52,14.16,14.09,13.75,16.07,16.58,16.97,17.06,17.53,18.05,19.00,19.72,20.41
Hubei,,12.72,12.58,12.65,12.42,12.24,11.53,10.95,10.40,10.30,10.94,11.16,13.23,13.91,14.71,15.95,17.05,17.97,18.77,19.63
Hunan,,13.25,13.16,13.33,13.65,13.71,13.38,13.29,13.22,12.97,12.68,12.33,12.48,12.45,12.31,12.34,12.56,13.54,15.39,17.77
Guangdong,,13.83,13.62,13.47,13.34,13.00,12.73,12.61,12.88,13.53,14.63,16.18,17.87,18.77,19.63,20.13,20.26,20.78,20.92,21.04
Guangxi,,14.57,14.61,14.83,15.48,15.48,15.68,16.10,16.50,16.56,16.68,16.74,16.84,16.88,17.47,18.04,18.84,19.69,19.97,20.79
Hainan,,13.39,13.35,13.63,13.67,13.44,12.85,12.51,12.79,13.33,13.73,14.54,15.63,16.82,18.01,19.24,20.50,21.56,22.13,21.08
Chongqing,,12.71,13.20,13.77,13.74,13.43,13.00,12.82,12.71,12.94,13.36,14.29,15.51,16.63,17.37,18.22,18.29,18.78,18.38,18.45
Sichuan,,12.40,12.49,12.81,12.93,12.78,12.37,12.34,12.39,12.86,13.41,14.92,16.09,16.82,17.57,18.60,19.05,18.96,18.61,19.34
Guizhou,,14.44,13.87,13.80,13.98,14.10,14.35,14.88,16.01,17.29,18.23,18.31,19.23,19.51,19.58,19.53,19.75,20.26,21.11,21.94
Yunnan,,13.45,13.20,13.09,13.79,14.07,14.52,14.81,15.29,15.49,15.38,16.18,17.21,17.32,17.65,18.17,18.34,18.32,18.81,19.49
Tibet,,11.94,11.55,11.55,11.72,12.01,12.40,11.96,12.10,13.08,13.92,14.50,14.95,15.66,16.31,17.15,17.91,19.49,19.38,19.24
Shaanxi,,11.98,11.55,11.55,11.24,11.02,10.50,10.31,10.23,10.40,10.88,11.68,12.98,14.10,15.39,16.61,17.48,18.33,18.60,19.31
Gansu,,10.94,10.75,10.76,10.88,10.88,10.57,10.64,10.84,11.44,12.28,13.99,15.22,16.64,17.54,17.88,18.67,19.51,19.67,19.90
Qinghai,,13.61,13.09,13.34,13.49,13.62,12.80,12.86,13.21,13.81,13.34,14.06,15.18,15.32,15.58,15.15,15.96,16.32,16.84,16.64
Ningxia,,13.25,13.60,14.15,14.46,14.19,13.84,13.92,14.16,14.59,14.68,15.11,15.90,16.50,16.37,17.84,17.61,18.51,18.43,17.64
Xinjiang,,13.19,12.45,11.61,10.96,10.75,10.49,10.54,10.58,10.47,10.67,10.98,11.46,11.98,12.62,13.31,13.90,14.60,15.58,16.69
Data Sources£ºNational Bureau of Statistics
