Database???Annual by Province
Indicators£ºStudent-Teacher Ratio of Undergraduate Courses in _Regular Institution of Higher Education
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,,,,16.39,16.22,16.24,16.41,15.92,16.37,18.08,18.10
Tianjin,,,,,,,,,,,,,16.95,16.63,16.52,16.51,16.34,16.00,18.16,17.45
Hebei,,,,,,,,,,,,,17.99,17.96,17.84,17.99,17.73,18.35,17.99,18.16
Shanxi,,,,,,,,,,,,,16.91,16.34,16.44,16.09,17.72,16.80,16.76,15.87
Inner Mongolia,,,,,,,,,,,,,18.15,17.55,17.46,16.88,17.51,16.48,17.19,17.16
Liaoning,,,,,,,,,,,,,17.29,17.25,17.12,17.35,16.22,17.97,17.76,16.71
Jilin,,,,,,,,,,,,,17.60,17.76,17.77,17.53,18.20,17.22,17.35,17.16
Heilongjiang,,,,,,,,,,,,,16.71,16.92,17.25,17.71,17.17,18.37,17.46,17.24
Shanghai,,,,,,,,,,,,,16.91,16.93,16.79,16.78,16.07,17.63,17.68,17.64
Jiangsu,,,,,,,,,,,,,16.32,16.38,16.20,16.27,18.09,16.92,18.05,18.27
Zhejiang,,,,,,,,,,,,,16.98,16.91,17.05,17.50,19.42,18.36,17.73,17.21
Anhui,,,,,,,,,,,,,18.65,18.31,18.04,18.43,15.96,18.26,18.55,17.82
Fujian,,,,,,,,,,,,,17.19,17.55,17.37,17.28,17.36,17.79,16.80,16.38
Jiangxi,,,,,,,,,,,,,17.04,17.32,17.10,16.96,17.85,18.06,16.86,17.87
Shandong,,,,,,,,,,,,,16.88,16.67,16.37,16.28,18.32,16.63,17.29,17.47
Henan,,,,,,,,,,,,,18.13,18.01,18.04,18.01,17.51,17.86,17.44,17.26
Hubei,,,,,,,,,,,,,17.62,17.71,17.24,17.15,17.94,17.33,18.00,17.67
Hunan,,,,,,,,,,,,,18.30,18.05,17.96,17.59,17.34,17.75,18.31,18.36
Guangdong,,,,,,,,,,,,,18.91,19.05,18.91,18.39,17.53,18.10,17.89,16.66
Guangxi,,,,,,,,,,,,,17.53,17.29,17.08,16.96,17.33,16.87,17.21,16.06
Hainan,,,,,,,,,,,,,18.90,18.60,18.83,19.56,16.64,18.47,18.65,18.71
Chongqing,,,,,,,,,,,,,17.90,17.95,17.80,17.73,18.08,17.95,18.71,18.12
Sichuan,,,,,,,,,,,,,18.40,18.06,17.90,18.01,17.80,17.84,19.20,18.65
Guizhou,,,,,,,,,,,,,17.12,16.89,16.73,16.42,16.09,17.04,17.66,16.18
Yunnan,,,,,,,,,,,,,18.12,17.77,17.16,16.83,16.75,17.91,17.81,18.45
Tibet,,,,,,,,,,,,,14.03,13.82,15.73,16.59,16.79,15.42,14.07,12.58
Shaanxi,,,,,,,,,,,,,17.66,17.16,16.84,16.80,16.76,16.64,17.32,17.55
Gansu,,,,,,,,,,,,,19.09,19.13,18.56,18.11,18.02,17.71,18.93,16.24
Qinghai,,,,,,,,,,,,,13.49,13.29,12.54,13.76,13.82,13.28,13.69,11.04
Ningxia,,,,,,,,,,,,,17.10,16.49,16.46,16.18,15.81,16.44,14.01,15.36
Xinjiang,,,,,,,,,,,,,16.00,16.17,16.15,16.41,16.95,16.74,16.29,15.26
Data Sources£ºNational Bureau of Statistics
