Database???Annual by Province
Indicators£ºStudent-Teacher Ratio of Regular Senior Secondary _School
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,8.73,8.08,7.62,7.41,7.44,7.64,7.75,7.95,8.41,9.00,9.38,9.60,10.11,10.27,11.04,11.99,12.60,14.01,14.72
Tianjin,,11.64,11.14,10.04,9.55,9.63,9.91,10.00,10.24,10.62,11.24,11.74,12.23,12.49,12.51,12.73,13.61,14.32,15.29,15.15
Hebei,,13.07,13.18,13.18,13.19,13.37,13.68,13.61,13.57,13.23,13.28,14.19,14.77,15.37,16.01,16.75,17.35,19.32,18.95,19.16
Shanxi,,10.57,10.50,10.17,10.29,10.63,11.26,11.90,12.81,13.59,14.16,14.72,15.19,15.36,15.66,15.89,16.18,15.07,17.16,17.50
Inner Mongolia,,10.45,10.46,10.82,10.99,11.60,12.22,12.89,13.58,14.40,14.94,15.52,15.76,15.81,16.69,17.66,18.78,16.25,19.64,19.26
Liaoning,,11.40,11.34,11.33,11.48,11.75,12.26,12.35,12.68,13.34,14.10,14.72,15.50,16.01,16.49,17.02,18.05,15.25,19.48,19.25
Jilin,,12.80,13.10,13.12,13.20,13.27,13.82,13.81,14.11,14.66,16.47,17.13,17.38,17.05,16.96,17.79,18.88,15.74,20.15,20.25
Heilongjiang,,12.68,13.01,12.92,12.86,12.85,13.11,12.99,13.10,13.32,14.03,14.38,14.92,15.15,15.16,15.52,16.25,17.27,17.12,16.75
Shanghai,,9.59,9.00,8.74,8.57,8.62,8.86,8.93,9.09,9.27,9.45,9.51,9.70,10.10,10.51,11.20,12.76,17.10,17.09,17.60
Jiangsu,,11.13,11.07,10.96,10.58,10.26,9.96,10.01,10.25,10.71,11.41,12.43,13.25,13.81,14.42,15.15,15.64,18.39,16.37,16.58
Zhejiang,,11.03,10.97,10.98,10.90,10.93,11.11,11.26,11.65,12.06,12.92,13.58,14.19,14.12,14.14,14.13,14.68,16.54,15.82,16.15
Anhui,,13.32,13.48,13.82,13.54,13.67,13.91,14.31,14.87,15.97,17.00,18.01,18.38,19.08,20.44,21.14,22.70,19.74,22.87,23.01
Fujian,,12.94,12.76,12.59,12.30,12.39,12.56,12.59,12.41,12.35,12.72,13.27,13.55,13.55,13.74,14.25,14.89,16.99,16.16,16.44
Jiangxi,,14.79,16.06,16.94,17.45,17.26,17.35,17.20,17.48,17.67,17.62,17.35,16.47,15.78,16.26,16.77,17.25,23.18,18.24,18.33
Shandong,,11.76,11.72,11.81,11.70,11.90,12.31,12.84,13.51,14.08,14.33,14.28,13.79,13.69,13.99,15.00,16.29,17.92,18.19,18.49
Henan,,13.59,14.46,15.18,15.61,16.02,16.48,16.93,17.04,17.11,17.51,17.94,18.17,18.42,19.19,20.18,21.72,21.94,22.42,22.22
Hubei,,13.18,13.13,13.02,12.74,12.48,12.43,12.70,13.07,13.49,14.17,15.16,16.37,17.40,18.18,18.83,19.11,19.79,20.09,19.85
Hunan,,13.91,14.24,14.16,14.48,14.70,15.12,15.36,15.34,15.44,15.44,15.30,15.01,15.02,15.28,16.46,17.81,18.78,19.30,19.09
Guangdong,,12.86,12.76,12.54,12.35,12.25,12.50,13.02,13.62,14.43,15.23,15.93,16.08,16.71,16.23,16.42,16.67,17.89,17.31,17.43
Guangxi,,15.07,15.82,16.21,17.29,17.40,17.41,17.22,17.06,17.33,17.52,17.86,17.96,17.90,18.16,18.55,18.93,19.46,19.85,19.91
Hainan,,12.86,12.76,12.71,12.70,12.66,12.84,13.28,13.67,14.46,15.65,16.12,17.08,16.89,17.10,17.51,17.55,19.44,17.93,18.30
Chongqing,,15.00,15.12,15.34,15.46,15.46,15.26,15.21,15.92,16.88,17.54,18.13,18.95,19.45,19.67,19.23,18.61,18.60,18.68,18.81
Sichuan,,13.15,13.48,13.68,13.82,13.94,14.50,15.04,15.59,16.18,16.85,17.54,18.27,18.21,18.62,17.86,17.99,18.68,19.12,19.49
Guizhou,,13.25,13.69,14.12,14.57,15.13,15.77,16.28,17.42,18.00,18.25,18.59,19.02,18.75,18.51,18.56,18.68,18.88,19.31,19.75
Yunnan,,13.78,13.54,13.31,14.55,14.62,14.74,14.96,15.20,15.53,15.60,15.60,15.38,15.37,15.39,15.54,15.67,16.02,16.23,16.74
Tibet,,12.03,12.04,12.34,11.40,10.75,11.33,11.41,12.39,12.64,13.72,13.07,13.15,12.84,14.11,17.01,18.39,17.92,17.35,15.79
Shaanxi,,11.81,11.42,11.44,11.90,12.59,13.21,13.63,14.10,14.95,15.79,16.75,17.48,17.72,17.79,18.13,19.36,20.34,20.55,20.45
Gansu,,10.96,10.88,11.21,11.49,12.01,12.72,13.38,14.06,14.95,15.70,16.43,17.03,17.24,17.30,17.40,18.07,18.81,19.44,19.62
Qinghai,,12.41,12.26,12.45,12.64,13.03,13.62,13.48,13.46,14.19,13.64,13.80,13.88,14.27,14.34,14.39,14.79,14.80,15.30,15.60
Ningxia,,13.20,13.86,13.84,13.55,13.06,13.65,14.29,15.26,15.92,16.51,16.17,15.81,16.07,16.44,16.70,17.63,17.43,17.97,18.05
Xinjiang,,12.98,12.27,11.76,11.94,12.29,12.75,13.10,12.81,12.25,12.78,13.61,13.84,13.86,14.19,14.57,14.78,15.00,15.42,15.75
Data Sources£ºNational Bureau of Statistics
