Database???Annual by Province
Indicators£ºStudent-Teacher Ratio of Specialized Courses in _Regular Institution of Higher Education
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,,,,14.47,14.11,13.73,13.47,12.67,14.45,11.17,8.85
Tianjin,,,,,,,,,,,,,17.27,17.12,16.94,16.57,16.69,17.61,15.82,15.59
Hebei,,,,,,,,,,,,,17.68,17.52,17.45,17.75,17.40,17.81,15.26,13.93
Shanxi,,,,,,,,,,,,,17.29,16.62,17.12,17.01,15.77,20.00,10.80,9.67
Inner Mongolia,,,,,,,,,,,,,16.94,16.72,18.23,17.00,17.29,14.10,11.60,9.07
Liaoning,,,,,,,,,,,,,15.67,15.20,15.62,16.05,16.36,15.72,12.19,10.51
Jilin,,,,,,,,,,,,,16.05,17.52,17.08,15.79,18.54,15.34,11.70,11.74
Heilongjiang,,,,,,,,,,,,,14.53,16.64,16.91,16.33,16.09,17.01,13.38,11.56
Shanghai,,,,,,,,,,,,,16.96,17.59,17.89,17.45,17.19,16.97,16.24,17.03
Jiangsu,,,,,,,,,,,,,14.64,15.14,15.91,15.83,18.21,20.84,16.94,14.63
Zhejiang,,,,,,,,,,,,,17.73,17.61,17.89,18.64,18.66,19.29,17.38,16.24
Anhui,,,,,,,,,,,,,18.96,18.62,18.86,18.64,17.32,18.76,15.96,14.22
Fujian,,,,,,,,,,,,,17.21,17.17,16.49,16.66,13.20,16.56,15.88,12.71
Jiangxi,,,,,,,,,,,,,16.50,16.84,15.80,15.45,17.23,20.38,12.99,11.34
Shandong,,,,,,,,,,,,,17.43,17.46,17.60,16.87,18.27,17.74,15.06,12.25
Henan,,,,,,,,,,,,,17.34,17.01,17.40,18.13,18.59,19.17,16.38,14.02
Hubei,,,,,,,,,,,,,17.31,18.13,18.22,17.72,17.60,18.56,16.42,14.72
Hunan,,,,,,,,,,,,,18.61,17.95,18.22,17.82,17.96,19.78,14.82,14.74
Guangdong,,,,,,,,,,,,,18.83,18.43,18.15,19.25,17.35,18.25,16.29,15.31
Guangxi,,,,,,,,,,,,,17.33,17.62,17.89,17.68,15.57,17.70,16.73,16.05
Hainan,,,,,,,,,,,,,18.61,18.22,19.05,18.92,17.61,19.90,12.60,12.43
Chongqing,,,,,,,,,,,,,16.33,16.38,16.51,16.58,16.75,18.77,13.80,11.72
Sichuan,,,,,,,,,,,,,18.09,18.03,18.32,18.70,18.72,19.01,16.76,13.03
Guizhou,,,,,,,,,,,,,18.17,18.08,18.61,18.84,19.44,21.55,12.74,10.99
Yunnan,,,,,,,,,,,,,19.23,17.76,16.89,16.20,15.66,16.94,12.34,10.36
Tibet,,,,,,,,,,,,,19.35,14.45,16.10,14.05,12.47,10.67,14.67,11.42
Shaanxi,,,,,,,,,,,,,18.84,17.60,18.31,17.74,15.55,14.04,10.88,10.93
Gansu,,,,,,,,,,,,,17.99,18.04,18.38,18.48,18.48,18.63,14.42,13.10
Qinghai,,,,,,,,,,,,,15.28,16.12,16.39,17.93,16.87,17.27,12.63,9.94
Ningxia,,,,,,,,,,,,,20.40,19.59,20.09,20.13,19.08,18.84,11.33,8.27
Xinjiang,,,,,,,,,,,,,17.72,17.40,16.42,16.37,15.50,16.59,11.28,10.04
Data Sources£ºNational Bureau of Statistics
