Database???Annual by Province
Indicators£ºStudent-Teacher Ratio of Regular Specialized Senior _Secondary School
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,,,,25.65,21.20,22.66,32.89,31.86,32.63,32.44,30.04
Tianjin,,,,,,,,,,,,,15.18,14.77,15.87,20.39,24.13,23.52,22.85,20.59
Hebei,,,,,,,,,,,,,31.35,24.22,25.42,29.56,29.34,30.19,31.98,32.97
Shanxi,,,,,,,,,,,,,24.61,27.88,23.26,32.30,33.85,38.06,35.43,35.98
Inner Mongolia,,,,,,,,,,,,,30.09,22.82,21.36,26.79,29.08,25.37,26.10,23.74
Liaoning,,,,,,,,,,,,,18.66,17.49,16.97,19.87,19.30,22.75,25.23,24.62
Jilin,,,,,,,,,,,,,21.01,17.56,18.06,19.33,19.64,21.43,21.99,20.74
Heilongjiang,,,,,,,,,,,,,27.47,24.08,23.29,28.40,26.28,25.92,30.05,35.54
Shanghai,,,,,,,,,,,,,20.55,22.16,24.19,23.81,24.88,26.13,25.74,26.64
Jiangsu,,,,,,,,,,,,,23.43,23.46,25.60,36.41,41.68,45.21,46.42,46.24
Zhejiang,,,,,,,,,,,,,23.11,23.27,24.21,26.10,27.01,30.35,34.80,34.63
Anhui,,,,,,,,,,,,,28.98,35.01,35.38,36.56,41.07,36.24,30.28,25.27
Fujian,,,,,,,,,,,,,32.23,22.61,28.32,25.04,25.13,26.38,25.10,22.68
Jiangxi,,,,,,,,,,,,,42.54,30.18,28.99,42.51,47.34,51.19,66.74,46.27
Shandong,,,,,,,,,,,,,26.16,20.80,20.77,26.20,27.31,28.02,29.88,28.66
Henan,,,,,,,,,,,,,42.13,29.56,29.49,42.21,41.50,43.25,43.70,38.40
Hubei,,,,,,,,,,,,,29.09,32.18,36.85,36.70,33.84,33.68,30.02,25.66
Hunan,,,,,,,,,,,,,59.12,31.54,32.78,48.77,54.51,57.49,53.90,45.84
Guangdong,,,,,,,,,,,,,36.78,27.66,32.01,29.77,27.69,26.75,23.02,21.13
Guangxi,,,,,,,,,,,,,40.88,24.39,30.02,26.97,26.23,24.51,24.40,22.66
Hainan,,,,,,,,,,,,,54.10,50.05,45.59,49.36,50.85,46.04,41.47,33.16
Chongqing,,,,,,,,,,,,,43.32,36.21,39.73,54.09,52.53,56.53,41.53,37.93
Sichuan,,,,,,,,,,,,,35.39,33.59,32.00,33.44,33.19,31.55,31.22,28.53
Guizhou,,,,,,,,,,,,,41.90,31.52,31.53,43.33,41.38,40.75,32.03,26.38
Yunnan,,,,,,,,,,,,,39.74,34.38,29.63,28.95,29.57,28.29,24.75,24.02
Tibet,,,,,,,,,,,,,32.68,32.10,34.67,41.88,40.44,34.02,9.29,12.52
Shaanxi,,,,,,,,,,,,,37.72,24.72,27.12,42.44,37.42,34.43,28.14,19.08
Gansu,,,,,,,,,,,,,21.79,24.07,23.89,22.33,22.55,21.41,19.55,17.74
Qinghai,,,,,,,,,,,,,34.03,32.06,31.82,27.14,26.14,17.82,11.86,9.50
Ningxia,,,,,,,,,,,,,65.18,34.23,31.42,43.06,47.28,45.02,54.06,36.98
Xinjiang,,,,,,,,,,,,,22.42,17.62,17.05,28.01,25.42,24.92,17.37,12.98
Data Sources£ºNational Bureau of Statistics
