Database???Annual by Province
Indicators£ºStudent-Teacher Ratio of Vocational Senior Secondary _School
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,,,,12.82,12.93,12.27,13.11,12.85,13.19,12.90,12.39
Tianjin,,,,,,,,,,,,,12.44,12.32,12.74,15.42,16.28,16.24,15.21,14.91
Hebei,,,,,,,,,,,,,17.70,21.23,24.88,22.92,23.51,22.66,20.35,17.15
Shanxi,,,,,,,,,,,,,20.76,25.04,20.99,21.65,19.82,17.44,15.13,14.26
Inner Mongolia,,,,,,,,,,,,,16.02,19.57,18.62,16.92,17.30,15.62,14.78,13.32
Liaoning,,,,,,,,,,,,,16.77,18.03,17.74,19.08,18.56,15.83,14.86,14.48
Jilin,,,,,,,,,,,,,16.41,17.88,20.95,19.06,19.21,19.20,14.88,13.47
Heilongjiang,,,,,,,,,,,,,14.70,15.32,17.84,16.08,15.63,14.29,13.03,11.85
Shanghai,,,,,,,,,,,,,12.21,13.20,17.31,17.85,18.63,18.68,18.94,20.00
Jiangsu,,,,,,,,,,,,,16.75,17.57,20.51,18.28,21.59,21.56,20.36,16.68
Zhejiang,,,,,,,,,,,,,20.81,21.39,19.25,21.48,22.92,22.91,24.34,24.43
Anhui,,,,,,,,,,,,,25.80,34.87,30.83,38.94,38.37,39.84,36.59,32.32
Fujian,,,,,,,,,,,,,,,,,,,,
Jiangxi,,,,,,,,,,,,,27.92,30.34,28.38,25.32,26.72,26.96,25.42,22.22
Shandong,,,,,,,,,,,,,18.21,18.31,19.66,20.71,21.03,20.58,19.39,18.52
Henan,,,,,,,,,,,,,23.66,24.48,25.76,24.98,24.08,22.40,21.50,20.40
Hubei,,,,,,,,,,,,,25.79,30.06,29.05,31.72,33.13,28.87,24.01,22.30
Hunan,,,,,,,,,,,,,21.01,22.02,24.55,24.07,24.07,22.26,22.09,20.44
Guangdong,,,,,,,,,,,,,22.78,24.08,21.49,19.61,19.95,19.42,19.19,17.69
Guangxi,,,,,,,,,,,,,,,,,,,21.61,19.93
Hainan,,,,,,,,,,,,,22.75,23.04,26.03,19.62,20.20,11.75,10.66,9.69
Chongqing,,,,,,,,,,,,,26.53,28.57,31.95,28.18,29.27,22.94,20.93,23.05
Sichuan,,,,,,,,,,,,,25.94,31.98,30.57,30.15,27.40,26.65,21.40,20.61
Guizhou,,,,,,,,,,,,,28.35,29.87,33.65,32.85,33.40,31.32,19.13,12.94
Yunnan,,,,,,,,,,,,,26.24,28.35,24.05,23.19,21.08,18.80,16.73,16.10
Tibet,,,,,,,,,,,,,,,,,,,,
Shaanxi,,,,,,,,,,,,,27.81,29.50,28.70,27.96,28.45,25.73,25.46,24.32
Gansu,,,,,,,,,,,,,17.32,25.45,24.38,24.32,22.64,17.43,13.52,11.76
Qinghai,,,,,,,,,,,,,12.59,76.11,16.29,56.05,29.35,27.33,19.76,12.99
Ningxia,,,,,,,,,,,,,26.12,32.27,32.68,33.45,27.69,23.07,22.40,19.79
Xinjiang,,,,,,,,,,,,,26.93,22.75,22.51,16.09,14.18,9.06,11.52,9.72
Data Sources£ºNational Bureau of Statistics
