Database???Annual by Province
Indicators£ºNumber of Students Per 100 000 Population in Senior _Secondary Education(person)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2800,1024,1088,1078,1151,1245,1321,1426,1630,1912,2114,2104,2363,2475,2788,,,,
Tianjin,,2126,1953,1717,1673,1752,1820,1851,1866,1924,2077,2275,2441,2776,3040,3452,,,,
Hebei,,3592,3429,3276,3053,2885,2822,2657,2555,2579,2745,3148,3427,3647,3698,3724,,,,
Shanxi,,2930,2880,2797,2815,2919,3119,3270,3486,3686,3872,4050,4134,4478,4444,4250,,,,
Inner Mongolia,,2553,2454,2356,2330,2449,2559,2669,2779,2941,3048,3206,3330,3581,3644,3488,,,,
Liaoning,,2116,2062,2099,2135,2195,2303,2297,2334,2427,2539,2675,2797,2900,2947,3021,,,,
Jilin,,2452,2423,2196,2134,2076,2123,2040,2111,2207,2513,2730,2874,2944,3053,2937,,,,
Heilongjiang,,2395,2367,2125,2054,2079,2158,2193,2313,2381,2658,2985,3034,2881,2898,2746,,,,
Shanghai,,1227,1139,1117,1070,1082,1099,1120,1149,1197,1308,1389,1430,1878,1982,2201,,,,
Jiangsu,,2380,2233,2533,2410,2323,2316,2318,2407,2542,2738,3014,3312,3527,3677,3903,,,,
Zhejiang,,2145,2162,2677,2626,2581,2635,2589,2647,2726,2887,3020,3134,3189,3151,3165,,,,
Anhui,,3156,3138,3237,3109,3065,3123,3145,3318,3583,3794,3940,3858,3657,3687,3789,,,,
Fujian,,2727,2583,2795,2677,2659,2717,2787,2889,3030,3341,3846,3924,3655,3725,3734,,,,
Jiangxi,,3904,3712,3653,3400,3242,3150,3125,3308,3286,3336,3422,3392,3469,3616,3620,,,,
Shandong,,2737,2622,2873,2720,2723,2796,2837,2941,3099,3213,3325,3257,3224,3330,3538,,,,
Henan,,3742,3578,3824,3685,3631,3551,3458,3454,3480,3571,3911,4026,4024,4149,4079,,,,
Hubei,,2471,2413,2354,2239,2153,2156,2239,2294,2393,2607,2984,3597,4155,4480,4575,,,,
Hunan,,3275,3161,3032,2930,2891,2905,2787,2720,2712,2797,2950,3032,3048,3205,3349,,,,
Guangdong,,2413,2306,2906,2855,2917,3128,3344,3589,3802,4239,4417,4384,4446,3950,3550,,,,
Guangxi,,3798,3792,3976,3843,3756,3686,3602,3611,3676,3727,3790,3756,3432,3081,3039,,,,
Hainan,,3263,3112,3495,3361,3362,3402,3371,3433,3648,3846,3965,3984,3799,3611,3241,,,,
Chongqing,,3247,3129,3353,3298,3268,3305,3461,3702,3849,3989,3995,3983,4000,4028,3917,,,,
Sichuan,,2834,2760,2814,2776,2799,2889,3025,3162,3312,3497,3585,3623,3496,3442,3246,,,,
Guizhou,,3829,3533,4007,4170,4379,4502,4583,4683,4422,3943,3443,3178,2716,2647,2543,,,,
Yunnan,,3280,3318,3546,3244,3147,3094,2965,2897,2897,2860,2975,2905,2835,2578,2408,,,,
Tibet,,3066,2976,3052,2643,2508,2358,2316,2319,2329,2292,2180,2141,2184,2082,2292,,,,
Shaanxi,,2475,2395,2937,2868,2894,3076,3101,3320,3598,4012,4479,4865,4931,4901,4797,,,,
Gansu,,2917,2868,2814,2831,2954,3098,3295,3517,3755,4048,4246,4237,4044,3969,3767,,,,
Qinghai,,3774,3719,3569,3490,3697,3647,3637,3659,3651,3638,3590,3720,3790,3763,3522,,,,
Ningxia,,3452,3380,3519,3422,3330,3412,3489,3672,3772,4097,4230,4308,4223,4167,3822,,,,
Xinjiang,,2989,2906,3315,3496,3631,3712,3565,3385,3277,3266,3293,3292,3249,3208,3229,,,,
Data Sources£ºNational Bureau of Statistics
