Database???Annual by Province
Indicators£ºNumber of Senior Full-time Teachers in Regular Schools _(Institutions) of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,2.22,2.11,2.28,2.11,2.04,1.97,1.99,1.79,1.74,1.66,1.31,1.23,1.19,1.14,1.08,1.05,0.96,,
Tianjin,,0.51,0.49,0.54,0.51,0.49,0.48,0.47,0.48,0.46,0.45,0.44,0.43,0.40,0.39,0.35,0.34,0.33,,
Hebei,,1.12,1.13,1.10,1.08,1.04,1.01,1.00,0.99,0.96,0.91,0.86,0.79,0.74,0.68,0.62,0.57,0.49,,
Shanxi,,0.32,0.30,0.32,0.30,0.29,0.28,0.29,0.28,0.30,0.30,0.29,0.28,0.26,0.25,0.24,0.24,0.22,,
Inner Mongolia,,0.34,0.32,0.33,0.32,0.30,0.28,0.27,0.27,0.26,0.25,0.23,0.22,0.20,0.18,0.15,0.13,0.13,,
Liaoning,,1.00,0.96,0.99,0.96,0.93,0.91,0.90,0.92,0.90,0.87,0.83,0.78,0.74,0.71,0.68,0.62,0.57,,
Jilin,,0.68,0.68,0.71,0.68,0.67,0.66,0.64,0.61,0.58,0.57,0.54,0.51,0.49,0.45,0.42,0.40,0.38,,
Heilongjiang,,0.85,0.82,0.83,0.81,0.78,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.63,0.59,0.55,0.52,0.47,,
Shanghai,,1.03,0.98,0.94,0.90,0.85,0.82,0.78,0.75,0.73,0.71,0.68,0.65,0.62,0.59,0.57,0.55,0.50,,
Jiangsu,,1.87,1.77,1.85,1.75,1.64,1.57,1.46,1.41,1.34,1.27,1.20,1.13,1.04,0.97,0.90,0.83,0.75,,
Zhejiang,,1.17,1.12,1.08,1.01,0.95,0.92,0.88,0.85,0.80,0.76,0.72,0.68,0.62,0.57,0.52,0.48,0.41,,
Anhui,,0.77,0.73,0.67,0.61,0.58,0.54,0.51,0.49,0.45,0.44,0.43,0.38,0.36,0.33,0.30,0.29,0.27,,
Fujian,,0.67,0.64,0.66,0.63,0.59,0.56,0.50,0.51,0.49,0.48,0.45,0.42,0.36,0.35,0.31,0.29,0.26,,
Jiangxi,,0.58,0.58,0.59,0.56,0.54,0.53,0.51,0.58,0.55,0.53,0.50,0.49,0.46,0.42,0.38,0.34,0.31,,
Shandong,,1.54,1.53,1.42,1.29,1.20,1.10,1.07,1.06,1.04,1.01,1.00,0.97,0.92,0.87,0.85,0.81,0.73,,
Henan,,1.11,1.11,1.05,0.97,0.92,0.88,0.87,0.84,0.80,0.78,0.71,0.65,0.58,0.53,0.47,0.40,0.34,,
Hubei,,1.33,1.28,1.24,1.18,1.15,1.12,1.10,1.09,1.06,1.02,1.00,0.94,0.87,0.83,0.77,0.75,0.74,,
Hunan,,0.96,0.92,0.89,0.86,0.81,0.77,0.75,0.71,0.70,0.71,0.65,0.65,0.63,0.60,0.57,0.50,0.44,,
Guangdong,,1.72,1.74,1.68,1.55,1.48,1.40,1.30,1.23,1.15,1.08,1.03,0.98,0.88,0.78,0.74,0.69,0.61,,
Guangxi,,0.61,0.59,0.58,0.54,0.49,0.47,0.44,0.41,0.40,0.38,0.34,0.31,0.27,0.24,0.21,0.17,0.16,,
Hainan,,0.19,0.18,0.17,0.16,0.13,0.12,0.11,0.10,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.05,,
Chongqing,,0.63,0.61,0.59,0.55,0.51,0.49,0.46,0.45,0.43,0.41,0.38,0.35,0.32,0.29,0.26,0.24,0.21,,
Sichuan,,1.05,1.00,1.09,1.01,0.97,0.90,0.91,0.89,0.86,0.80,0.74,0.67,0.63,0.57,0.56,0.49,0.46,,
Guizhou,,0.43,0.41,0.38,0.38,0.34,0.33,0.30,0.29,0.27,0.25,0.21,0.20,0.18,0.16,0.14,0.13,0.11,,
Yunnan,,0.48,0.46,0.45,0.42,0.42,0.41,0.40,0.39,0.38,0.36,0.33,0.31,0.27,0.24,0.22,0.19,0.17,,
Tibet,,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
Shaanxi,,1.10,1.04,1.03,0.98,0.92,0.88,0.85,0.82,0.80,0.78,0.75,0.71,0.69,0.64,0.61,0.57,0.54,,
Gansu,,0.47,0.45,0.42,0.39,0.35,0.33,0.32,0.31,0.29,0.27,0.24,0.22,0.20,0.17,0.16,0.15,0.14,,
Qinghai,,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.06,0.06,0.05,0.04,0.04,0.03,,
Ningxia,,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.10,0.09,0.09,0.08,0.06,0.05,0.04,0.04,,
Xinjiang,,0.21,0.19,0.17,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.10,0.09,0.09,0.08,0.07,,
Data Sources£ºNational Bureau of Statistics
