Database???Annual by Province
Indicators£ºNumber of Teachers and Staff of Regular Primary _Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,,,,,,,,5.81,5.78,5.57,5.48,6.00,6.04,6.09,6.10,6.13,6.14,6.22
Tianjin,,,,,,,,,,4.23,4.19,4.16,4.18,4.40,4.50,4.59,4.63,4.79,4.96,5.10
Hebei,,,,,,,,,,33.94,32.72,32.48,32.55,34.24,34.43,34.03,34.00,33.87,34.37,34.84
Shanxi,,,,,,,,,,17.71,18.05,18.51,19.06,20.64,21.00,21.01,21.12,20.95,20.83,20.64
Inner Mongolia,,,,,,,,,,12.22,12.47,12.77,12.66,13.85,13.95,13.90,13.87,13.85,13.86,14.23
Liaoning,,,,,,,,,,13.62,13.77,13.56,13.79,16.72,17.06,17.32,17.69,18.05,19.05,19.50
Jilin,,,,,,,,,,11.73,12.12,12.80,13.25,14.78,15.26,15.34,15.66,16.02,16.34,16.59
Heilongjiang,,,,,,,,,,13.04,13.65,14.60,15.29,17.27,17.68,17.95,18.18,18.42,18.83,20.19
Shanghai,,,,,,,,,,5.06,4.97,4.89,4.82,5.58,5.48,5.10,4.84,4.86,5.00,5.14
Jiangsu,,,,,,,,,,26.05,25.44,25.23,25.38,27.57,28.16,28.28,28.63,28.84,28.98,29.22
Zhejiang,,,,,,,,,,18.15,17.62,17.36,16.96,18.61,18.45,18.28,18.12,17.98,17.79,17.61
Anhui,,,,,,,,,,22.51,22.87,23.32,23.73,25.62,25.88,26.18,26.62,26.83,27.18,27.54
Fujian,,,,,,,,,,16.06,15.71,15.74,15.86,16.63,16.64,16.99,17.06,17.39,17.71,18.22
Jiangxi,,,,,,,,,,19.68,19.57,19.55,19.56,21.00,20.87,20.57,20.62,20.30,20.03,20.23
Shandong,,,,,,,,,,37.89,38.37,38.72,39.36,41.75,42.11,42.06,42.04,41.51,41.04,41.03
Henan,,,,,,,,,,49.67,49.94,50.49,50.47,51.82,51.58,51.22,51.00,50.50,50.22,50.45
Hubei,,,,,,,,,,19.90,19.83,19.36,19.74,21.12,21.33,21.61,22.03,22.58,23.29,23.95
Hunan,,,,,,,,,,22.63,22.66,23.14,23.58,26.69,26.69,26.57,26.46,26.33,26.16,26.34
Guangdong,,,,,,,,,,41.82,41.72,42.30,43.07,48.78,47.70,47.67,47.46,46.77,46.37,45.57
Guangxi,,,,,,,,,,22.91,22.95,23.27,23.51,24.46,24.57,24.37,24.20,23.48,23.32,23.01
Hainan,,,,,,,,,,4.69,4.78,4.93,4.95,5.71,5.73,5.80,5.79,5.76,5.65,5.54
Chongqing,,,,,,,,,,11.77,11.68,11.54,11.64,12.59,12.81,13.06,13.13,12.64,12.74,12.73
Sichuan,,,,,,,,,,26.05,26.15,26.24,26.49,32.97,33.14,33.33,33.42,33.61,33.79,34.14
Guizhou,,,,,,,,,,19.46,19.45,19.92,19.52,20.72,20.87,20.88,20.24,20.06,19.68,19.25
Yunnan,,,,,,,,,,22.79,23.34,23.78,23.88,25.01,24.72,23.93,23.52,23.46,23.22,23.26
Tibet,,,,,,,,,,2.03,1.90,1.90,1.92,1.93,1.93,1.87,1.85,1.66,1.50,1.44
Shaanxi,,,,,,,,,,16.03,16.39,16.97,17.38,19.05,19.35,19.63,19.81,20.03,20.33,20.40
Gansu,,,,,,,,,,13.33,13.45,13.45,13.56,14.46,14.41,14.56,14.17,14.00,13.53,13.34
Qinghai,,,,,,,,,,2.15,2.30,2.25,2.09,2.75,2.78,2.81,2.84,2.92,2.86,2.89
Ningxia,,,,,,,,,,3.22,3.32,3.34,3.22,3.38,3.40,3.35,3.38,3.40,3.47,3.51
Xinjiang,,,,,,,,,,12.72,12.32,11.72,11.55,14.89,14.98,14.96,14.93,14.98,15.00,15.03
Data Sources£ºNational Bureau of Statistics
