Database???Annual by Province
Indicators£ºNumber of Teachers and Staff in Regular Schools _(Institutions) of Higher Education(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,16.03,15.67,15.02,14.53,14.33,14.22,14.30,14.24,14.23,13.93,13.88,13.16,13.39,13.12,12.92,12.48,11.89,11.43,10.83
Tianjin,,4.90,4.84,4.96,4.83,4.75,4.71,4.62,4.71,4.70,4.71,4.65,4.59,4.52,4.46,4.33,4.24,4.22,3.94,3.64
Hebei,,12.68,12.21,11.76,11.20,10.82,10.55,10.38,10.28,10.23,10.11,9.88,9.63,9.45,9.21,8.86,8.62,8.08,7.59,7.29
Shanxi,,6.45,6.42,6.10,6.01,5.94,5.91,5.98,5.95,6.04,6.10,5.81,5.78,5.69,5.68,5.54,5.38,4.94,4.76,4.39
Inner Mongolia,,4.25,4.19,4.19,4.13,4.05,3.96,3.93,3.86,3.77,3.73,3.81,3.74,3.64,3.49,3.32,3.17,3.11,2.75,2.63
Liaoning,,9.76,9.70,9.79,9.81,9.72,9.78,9.85,9.79,9.79,9.75,9.66,9.48,9.32,9.20,8.98,8.72,8.45,8.28,7.91
Jilin,,6.14,6.44,6.37,6.26,6.35,6.34,6.34,6.30,6.29,6.30,6.25,6.14,5.95,5.98,5.90,5.85,5.67,5.47,4.99
Heilongjiang,,7.54,7.51,7.52,7.42,7.35,7.39,7.49,7.61,7.70,7.72,7.75,7.62,7.57,7.51,7.43,7.23,6.83,6.57,6.48
Shanghai,,8.57,8.39,7.90,7.72,7.51,7.39,7.34,7.36,7.34,7.34,7.33,7.41,7.42,7.45,7.31,7.18,7.17,7.06,6.83
Jiangsu,,17.88,17.15,18.08,17.52,17.06,16.86,16.57,16.23,16.05,16.62,16.36,16.11,15.86,15.70,15.40,14.60,13.23,12.04,11.08
Zhejiang,,11.39,10.95,10.41,9.96,9.45,9.27,9.02,8.87,8.74,8.54,8.38,8.14,7.98,7.79,7.60,7.37,6.97,6.45,6.08
Anhui,,9.84,9.36,8.70,8.34,8.21,8.13,8.04,7.94,8.03,7.62,7.54,7.32,7.13,6.83,6.55,6.23,5.76,5.29,5.01
Fujian,,8.26,7.82,7.71,7.39,7.07,6.83,6.75,6.72,6.58,6.47,6.25,6.10,5.87,5.63,5.35,5.06,4.62,4.19,3.67
Jiangxi,,9.73,9.33,9.06,8.49,8.15,8.01,7.70,7.89,7.60,7.44,7.16,7.05,7.08,7.21,7.12,6.88,6.60,6.21,5.15
Shandong,,18.22,17.78,17.20,16.49,15.85,15.43,15.03,14.70,14.39,14.22,14.24,14.27,13.91,13.68,13.41,12.88,12.12,10.99,9.37
Henan,,19.20,18.40,17.21,16.21,15.37,14.58,13.88,13.34,13.00,12.52,12.02,11.71,11.04,10.36,9.59,8.82,8.34,7.58,7.20
Hubei,,14.34,13.86,13.47,13.12,12.92,13.14,13.10,12.91,12.89,12.82,12.79,12.74,12.35,12.37,12.08,11.97,11.45,10.75,10.52
Hunan,,11.73,11.33,11.17,10.84,10.41,10.23,10.05,9.87,9.77,9.69,9.63,9.57,9.49,9.44,9.33,9.04,8.60,8.08,7.22
Guangdong,,19.81,19.03,17.79,16.82,16.01,15.45,14.94,14.54,14.03,13.37,13.01,12.54,12.14,11.60,11.00,10.71,10.03,9.08,7.98
Guangxi,,8.42,7.84,8.23,7.61,6.90,6.69,6.37,6.02,5.75,5.53,5.33,5.28,5.07,4.83,4.62,4.19,3.92,3.54,2.97
Hainan,,2.03,1.93,1.79,1.67,1.53,1.48,1.47,1.41,1.40,1.35,1.32,1.29,1.24,1.17,1.06,0.96,0.85,0.77,0.63
Chongqing,,7.44,7.05,6.65,6.20,5.95,5.84,5.75,5.63,5.54,5.38,5.29,5.01,4.84,4.72,4.56,4.27,4.00,3.58,3.34
Sichuan,,14.76,14.06,13.50,12.81,12.55,12.19,12.39,12.21,11.93,11.36,11.00,10.34,10.05,9.76,9.54,9.26,8.88,7.88,7.16
Guizhou,,5.79,5.58,5.42,5.19,5.01,4.79,4.50,4.21,3.89,3.51,3.22,3.11,2.97,2.90,2.72,2.63,2.55,2.37,2.26
Yunnan,,6.49,6.34,5.81,5.66,5.48,5.35,5.26,5.03,4.83,4.76,4.49,4.32,3.97,3.79,3.63,3.39,3.19,2.89,2.75
Tibet,,0.40,0.41,0.40,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.33,0.31,0.30,0.29,0.27,0.20,0.19
Shaanxi,,11.51,11.19,11.01,10.79,10.61,10.40,10.35,10.39,10.33,10.20,10.09,9.90,9.85,9.65,9.42,9.03,8.80,8.23,7.46
Gansu,,4.57,4.41,4.23,4.12,4.08,4.12,3.93,3.86,3.69,3.56,3.46,3.39,3.29,3.16,3.07,2.96,2.82,2.60,2.45
Qinghai,,0.82,0.83,0.73,0.70,0.70,0.69,0.66,0.64,0.62,0.69,0.67,0.67,0.67,0.64,0.62,0.61,0.60,0.58,0.58
Ningxia,,1.35,1.33,1.26,1.18,1.16,1.17,1.16,1.15,1.13,1.05,1.02,0.96,0.92,0.86,0.84,0.79,0.76,0.72,0.67
Xinjiang,,3.98,3.78,3.42,3.26,3.08,3.03,2.98,2.89,2.94,2.88,2.79,2.76,2.68,2.66,2.67,2.65,2.53,2.35,2.33
Data Sources£ºNational Bureau of Statistics
