Database???Annual by Province
Indicators£ºNumber of Teachers and Staff of Regular Senior _Secondary Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,6.89,6.64,6.29,6.15,5.96,5.78,5.69,5.53,5.40,5.22,5.07,4.97,7.04,7.18,7.27,7.39,7.54,7.58,7.63
Tianjin,,3.42,3.26,3.12,3.08,3.06,3.00,2.95,2.93,2.93,2.91,3.03,3.02,5.18,5.31,5.36,5.39,5.49,5.53,5.52
Hebei,,19.92,19.02,17.51,16.49,15.29,14.08,13.18,12.67,12.35,12.18,12.20,12.35,30.53,31.40,32.39,33.54,34.06,34.52,34.47
Shanxi,,10.63,10.73,10.43,10.32,10.00,9.92,9.92,9.72,9.55,9.39,9.36,9.10,20.45,20.43,20.26,20.22,19.87,19.38,18.67
Inner Mongolia,,6.21,6.02,5.77,5.69,5.61,5.47,5.31,5.26,5.20,5.15,5.04,5.07,12.31,12.28,12.34,12.36,12.39,12.18,12.13
Liaoning,,6.93,6.93,6.69,6.68,6.58,6.51,6.44,6.41,6.32,6.29,6.21,6.10,18.03,18.05,17.89,17.77,17.79,18.00,18.02
Jilin,,4.82,4.83,4.62,4.53,4.38,4.30,4.23,4.22,4.18,4.10,4.17,4.19,12.11,12.34,12.23,12.36,12.54,12.48,12.30
Heilongjiang,,5.90,5.88,5.95,5.91,5.96,5.94,5.89,5.90,5.95,5.90,6.08,6.00,17.12,17.23,17.27,17.26,17.47,17.65,18.52
Shanghai,,3.77,3.55,3.46,3.36,3.31,3.24,3.15,3.09,3.05,2.97,2.99,3.03,6.73,6.76,6.89,7.11,7.33,7.55,7.62
Jiangsu,,15.73,14.73,13.72,13.02,12.70,12.54,12.63,12.64,12.92,13.09,13.53,13.80,33.56,33.88,34.05,34.23,34.09,33.78,33.05
Zhejiang,,10.62,10.48,10.02,9.61,9.43,9.29,9.07,8.89,8.88,8.86,8.83,8.65,20.82,20.56,20.36,20.05,19.82,19.49,19.17
Anhui,,13.26,13.23,12.44,12.19,11.93,11.78,11.68,11.60,11.70,11.68,11.70,11.44,26.26,25.67,25.22,24.67,24.19,22.90,22.22
Fujian,,12.19,11.54,10.87,10.53,10.15,9.98,9.82,9.80,9.77,9.70,9.68,9.79,17.22,17.24,17.22,17.33,17.10,16.78,16.40
Jiangxi,,12.22,11.36,10.26,9.56,9.18,8.67,8.46,8.63,8.29,8.13,8.02,7.92,18.44,18.28,18.04,18.12,18.23,18.35,18.06
Shandong,,20.00,19.68,18.60,17.79,17.34,16.93,16.24,15.68,15.26,15.14,14.99,14.80,43.88,44.24,44.55,45.49,46.23,47.06,47.37
Henan,,23.82,21.75,19.69,18.57,17.44,16.49,15.55,15.07,14.73,14.33,14.28,13.85,43.14,43.45,43.27,43.47,43.41,43.16,42.41
Hubei,,10.33,10.02,9.53,9.35,9.01,8.82,8.76,8.76,9.04,9.19,9.33,9.51,26.31,26.73,27.16,27.52,27.54,27.31,26.99
Hunan,,14.20,14.01,13.27,12.53,11.90,11.30,10.65,10.39,10.24,10.19,10.62,10.61,28.17,28.56,28.82,29.41,30.10,30.54,30.36
Guangdong,,30.36,29.21,27.36,26.29,26.01,25.75,25.24,24.80,24.25,23.64,23.42,22.54,44.53,42.96,41.27,39.56,37.75,36.03,34.00
Guangxi,,12.05,11.31,10.26,9.19,8.55,8.00,7.55,7.26,7.03,6.94,6.75,6.60,19.01,19.08,19.08,19.23,19.19,19.13,18.96
Hainan,,3.45,3.33,3.07,2.89,2.76,2.69,2.57,2.49,2.44,2.31,2.26,2.13,4.07,4.01,3.93,3.80,3.67,3.43,3.29
Chongqing,,8.09,7.65,7.41,7.09,6.84,6.74,6.83,6.71,6.63,6.58,6.40,6.26,12.44,12.23,11.96,11.71,11.41,11.30,11.14
Sichuan,,20.71,20.07,18.88,18.07,17.37,16.84,16.37,15.90,15.58,15.31,15.02,14.65,32.18,31.73,31.41,31.29,31.14,30.61,30.24
Guizhou,,9.94,9.75,9.20,9.10,8.88,8.47,8.06,7.63,7.28,6.76,6.28,5.84,15.53,15.22,14.83,14.55,14.43,13.89,13.17
Yunnan,,11.82,11.71,11.20,9.77,9.29,8.97,8.45,8.06,7.72,7.50,7.35,7.11,17.95,17.60,16.96,16.46,16.00,15.40,14.73
Tibet,,0.77,0.73,0.70,0.67,0.66,0.60,0.57,0.54,0.50,0.46,0.45,0.42,1.28,1.22,1.15,1.09,0.95,0.90,0.82
Shaanxi,,8.64,8.79,8.70,8.79,8.67,8.59,8.54,8.45,8.54,8.51,8.49,8.41,19.85,19.87,19.83,19.57,19.36,19.10,18.55
Gansu,,6.38,6.34,6.17,6.14,6.08,6.10,6.11,6.10,6.13,6.04,6.05,6.06,13.27,12.86,12.71,12.28,11.86,11.15,10.53
Qinghai,,1.51,1.51,1.47,1.46,1.40,1.31,1.32,1.29,1.21,1.29,1.28,1.28,2.39,2.36,2.34,2.34,2.30,2.24,2.19
Ningxia,,1.58,1.49,1.45,1.41,1.41,1.37,1.34,1.31,1.28,1.28,1.26,1.25,3.05,2.99,2.79,2.73,2.69,2.58,2.56
Xinjiang,,6.31,6.44,6.77,7.12,7.10,7.07,6.62,6.58,6.58,6.35,6.13,6.02,13.06,12.82,12.71,12.69,12.54,12.00,11.30
Data Sources£ºNational Bureau of Statistics
