Database???Annual by Province
Indicators£ºTotal Number of Teachers and Staff in Secondary _Vocational Schools (Institutions)(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,0.84,0.86,0.89,0.93,0.95,0.98,1.05,1.12,1.17,1.19,1.22,1.33,1.46,1.54,1.61,,,,
Tianjin,,0.71,0.74,0.75,0.80,0.81,0.84,0.88,0.91,0.95,0.98,1.04,1.07,1.15,1.20,1.20,,,,
Hebei,,6.81,6.53,6.29,6.07,5.92,5.88,5.77,5.69,5.75,5.78,5.99,6.44,6.75,6.81,7.03,,,,
Shanxi,,3.13,3.03,2.95,2.92,2.94,3.19,3.26,3.29,3.28,3.35,3.37,3.43,3.29,3.32,3.25,,,,
Inner Mongolia,,1.79,1.76,1.79,1.82,1.82,1.85,1.84,1.90,1.98,2.01,2.11,2.10,2.06,2.14,2.12,,,,
Liaoning,,2.54,2.54,2.52,2.56,2.65,2.75,2.79,2.82,2.87,2.95,3.13,3.21,3.27,3.43,3.48,,,,
Jilin,,1.76,1.75,1.77,1.83,1.76,1.77,1.94,2.16,2.40,2.52,2.64,2.70,2.84,2.82,2.83,,,,
Heilongjiang,,1.56,1.65,1.68,1.71,1.85,1.93,1.96,1.98,2.33,2.38,2.52,2.54,2.60,2.72,2.62,,,,
Shanghai,,1.11,1.17,1.14,1.17,1.19,1.23,1.26,1.30,1.34,1.37,1.31,1.38,1.41,1.45,1.48,,,,
Jiangsu,,5.33,5.28,5.06,5.06,5.01,5.03,4.97,5.12,5.30,5.45,5.51,5.61,5.77,5.87,6.00,,,,
Zhejiang,,4.22,4.15,4.05,3.98,3.86,3.83,3.84,3.86,3.88,3.89,3.87,3.79,3.75,3.78,3.88,,,,
Anhui,,3.58,3.51,3.38,3.28,3.23,3.32,3.44,3.66,3.93,4.13,4.26,4.19,3.41,3.48,3.46,,,,
Fujian,,2.20,2.10,2.01,1.99,1.96,1.98,2.06,2.12,2.14,2.16,2.23,2.27,2.37,2.37,2.40,,,,
Jiangxi,,2.59,2.34,2.09,1.97,1.78,1.72,1.73,1.92,2.01,2.25,2.44,2.65,2.77,2.97,3.05,,,,
Shandong,,6.29,6.00,5.88,5.82,5.93,6.04,6.06,6.23,6.45,6.68,7.14,7.42,7.88,8.13,8.43,,,,
Henan,,6.00,5.75,5.62,5.90,6.00,6.27,6.42,6.71,6.77,6.94,7.64,7.90,8.32,8.27,7.91,,,,
Hubei,,2.79,2.70,2.60,2.60,2.59,2.66,2.77,2.75,2.98,3.06,3.34,3.70,4.10,4.22,4.48,,,,
Hunan,,4.57,4.36,4.05,3.91,3.67,3.44,3.33,3.41,3.33,3.33,3.84,4.01,4.18,4.45,4.55,,,,
Guangdong,,5.76,5.72,5.59,5.63,5.68,5.81,5.75,5.78,5.81,5.89,6.08,6.06,5.88,5.62,5.36,,,,
Guangxi,,2.89,2.77,2.69,2.70,2.74,2.81,2.79,2.76,2.82,2.82,3.04,3.04,3.12,3.26,3.36,,,,
Hainan,,0.51,0.51,0.57,0.60,0.63,0.64,0.63,0.68,0.71,0.72,0.68,0.65,0.58,0.57,0.51,,,,
Chongqing,,2.00,1.97,1.86,1.82,1.80,1.82,1.81,1.87,1.90,1.86,1.80,1.83,1.92,1.81,1.98,,,,
Sichuan,,5.13,5.00,4.73,4.71,4.83,4.88,4.89,5.05,5.24,5.27,5.36,5.47,5.04,5.12,5.07,,,,
Guizhou,,2.13,2.06,2.00,2.10,2.10,2.18,2.18,2.18,2.03,1.82,1.65,1.57,1.58,1.54,1.47,,,,
Yunnan,,2.38,2.43,2.49,2.39,2.49,2.63,2.67,2.68,2.73,2.70,2.78,2.79,2.76,2.71,2.62,,,,
Tibet,,0.26,0.26,0.27,0.19,0.19,0.16,0.14,0.13,0.11,0.08,0.07,0.07,0.07,0.08,0.07,,,,
Shaanxi,,2.24,2.10,1.97,1.89,1.86,1.87,2.12,2.20,2.50,2.64,2.81,3.00,3.16,3.11,3.06,,,,
Gansu,,1.63,1.58,1.58,1.62,1.69,1.67,1.86,1.92,2.02,2.08,2.09,2.13,2.02,1.97,1.95,,,,
Qinghai,,0.28,0.28,0.28,0.29,0.29,0.30,0.31,0.29,0.30,0.32,0.32,0.32,0.32,0.31,0.31,,,,
Ningxia,,0.43,0.40,0.37,0.37,0.36,0.35,0.35,0.33,0.32,0.35,0.35,0.34,0.34,0.33,0.32,,,,
Xinjiang,,1.44,1.46,1.45,1.53,1.37,1.28,1.26,1.32,1.35,1.41,1.47,1.49,1.50,1.53,1.47,,,,
Data Sources£ºNational Bureau of Statistics
