Database???Annual by Province
Indicators£ºNumber of Total Enrollment of Students of Regular _Senior Secondary Schools(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,19.89,17.61,16.02,15.29,15.55,16.40,16.31,16.94,17.76,18.76,19.35,19.51,19.84,20.35,21.92,24.38,25.94,27.84,27.48
Tianjin,,20.91,19.07,16.86,15.86,15.99,16.36,16.40,16.56,16.96,17.51,18.12,18.55,18.52,18.76,19.50,20.93,21.63,21.72,19.85
Hebei,,175.25,164.85,151.75,141.20,133.49,129.14,121.33,115.79,110.41,109.28,117.69,123.32,127.51,130.87,135.12,140.86,143.81,139.11,129.39
Shanxi,,68.69,68.31,65.45,66.01,67.93,71.97,75.38,79.38,82.78,84.85,85.50,85.27,82.29,80.57,78.29,77.08,74.71,71.37,64.73
Inner Mongolia,,42.57,41.10,40.59,40.62,42.14,43.58,44.90,46.30,48.40,49.42,50.03,49.35,49.93,51.96,54.11,56.14,56.15,52.35,47.36
Liaoning,,61.86,60.97,59.43,60.15,60.86,62.96,62.51,63.48,65.26,68.15,69.59,71.26,71.54,71.83,72.42,74.24,76.86,74.42,68.52
Jilin,,44.98,45.01,42.84,41.84,40.85,41.38,40.42,40.63,41.57,45.32,47.67,47.88,47.09,46.86,48.89,50.53,51.28,48.94,45.16
Heilongjiang,,57.02,57.39,55.65,55.17,54.84,55.65,54.98,55.42,56.68,58.94,61.26,62.23,61.69,60.82,61.13,60.73,60.79,58.36,54.68
Shanghai,,19.29,17.45,16.64,15.94,15.82,15.89,15.78,15.82,15.74,15.68,15.77,16.11,16.89,17.76,19.26,22.90,27.17,31.17,31.38
Jiangsu,,135.09,125.19,115.54,105.03,98.08,94.34,95.15,97.80,103.42,110.99,120.87,128.70,135.66,142.22,149.87,153.12,152.57,145.34,137.35
Zhejiang,,86.44,83.70,80.90,78.42,76.92,77.34,76.56,77.34,79.08,83.98,87.58,89.90,88.02,85.55,84.82,87.08,89.32,90.00,86.06
Anhui,,120.10,116.34,113.36,108.80,107.47,108.50,110.70,113.55,120.13,125.51,129.29,127.89,127.60,130.57,133.71,135.15,128.79,116.90,105.02
Fujian,,74.64,69.93,66.40,63.93,63.39,63.71,63.47,62.63,62.91,65.65,69.05,70.95,70.64,71.91,74.88,77.68,78.04,73.25,65.98
Jiangxi,,120.65,115.84,110.45,105.54,100.84,96.70,94.29,92.91,90.47,87.67,83.66,78.35,73.96,77.24,82.20,85.38,86.93,84.92,80.00
Shandong,,190.30,182.64,175.98,167.21,164.21,165.49,166.49,169.12,171.27,170.50,164.54,156.42,152.51,157.49,168.35,183.48,193.18,196.58,189.10
Henan,,250.45,237.69,224.86,215.88,210.06,205.49,199.60,194.31,189.55,189.23,192.63,189.51,192.16,201.20,207.26,212.63,201.58,188.39,168.75
Hubei,,100.26,94.50,89.17,85.22,82.35,81.94,84.50,87.60,91.90,98.82,107.45,116.77,123.74,128.68,132.20,132.84,134.77,129.45,119.74
Hunan,,142.23,135.41,127.34,122.14,117.55,114.63,110.91,107.44,105.70,104.10,102.66,101.38,101.90,106.43,119.54,130.73,135.71,131.85,119.05
Guangdong,,211.78,200.77,190.35,183.74,183.71,189.27,197.37,205.40,214.02,220.45,225.93,220.41,208.95,192.44,181.76,172.43,163.46,148.99,131.31
Guangxi,,126.05,121.21,115.15,109.10,103.58,97.48,91.89,86.57,83.82,81.89,79.58,77.36,75.40,75.28,75.70,75.47,73.97,69.96,65.15
Hainan,,20.46,19.37,18.19,17.25,17.01,17.11,16.99,17.23,17.65,17.90,17.55,16.85,16.05,15.59,15.48,14.64,13.80,11.82,10.26
Chongqing,,66.33,64.00,62.63,61.66,60.77,60.18,60.68,62.32,64.79,66.14,65.97,64.87,62.64,59.20,55.74,51.77,50.61,48.14,45.27
Sichuan,,146.50,143.82,140.88,139.81,138.95,141.30,144.72,147.06,148.98,151.60,151.65,151.20,146.23,143.55,141.12,142.20,141.98,138.46,129.51
Guizhou,,95.06,96.56,97.52,99.21,100.78,101.10,99.37,97.89,94.27,85.71,77.30,68.90,62.02,58.16,56.21,54.59,53.09,49.52,44.40
Yunnan,,105.29,101.57,97.16,90.91,86.49,83.41,80.58,78.28,76.85,73.74,70.62,66.03,63.28,61.15,59.47,57.64,54.54,48.31,41.98
Tibet,,7.93,7.57,7.50,6.55,6.17,5.88,5.69,5.80,5.57,5.31,4.78,4.47,4.07,3.84,4.41,4.42,3.77,3.33,2.67
Shaanxi,,67.70,65.04,65.44,68.39,72.27,75.66,78.31,80.49,85.10,89.94,94.15,96.92,95.59,94.41,94.69,96.33,96.05,90.63,83.33
Gansu,,52.57,51.52,51.58,52.63,54.93,57.73,60.35,62.94,65.44,66.66,66.49,65.71,64.70,63.07,61.83,61.39,60.35,56.62,49.96
Qinghai,,13.39,13.14,12.93,12.63,12.67,12.39,12.03,11.66,11.35,10.90,10.60,10.69,10.77,10.78,10.81,10.75,10.31,10.05,9.21
Ningxia,,17.24,16.74,16.08,15.34,14.76,14.88,15.20,15.97,16.35,16.52,15.75,14.80,14.24,14.07,13.72,13.56,13.14,12.55,11.80
Xinjiang,,52.97,50.72,49.81,52.84,54.97,56.71,53.77,49.79,46.30,44.75,44.07,43.27,41.91,41.71,41.87,41.35,40.23,38.78,35.91
Data Sources£ºNational Bureau of Statistics
