Database???Annual by Province
Indicators£ºRegistered Unemployed Persons in Urban Area(10000 persons)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,36.4,37.2,29.0,7.4,7.9,8.1,8.0,7.8,7.4,7.5,8.1,8.1,7.7,8.2,10.3,10.6,10.4,10.6,6.5
Tianjin,,25.4,27.5,27.0,26.1,25.8,26.0,25.8,25.1,22.5,21.7,20.4,20.1,16.1,15.0,13.0,15.0,11.7,11.7,11.8
Hebei,,20.5,40.2,38.5,36.0,38.0,39.9,39.7,39.4,38.3,37.2,36.8,36.0,35.1,34.5,32.2,29.3,28.7,27.8,28.0
Shanxi,,19.9,20.0,27.7,21.3,24.6,26.5,26.1,25.6,24.5,21.1,21.0,21.1,20.4,21.6,17.5,16.1,15.6,14.3,13.7
Inner Mongolia,,29.0,30.5,30.0,28.1,27.0,27.1,26.7,25.9,24.8,23.8,23.1,21.8,20.8,20.1,19.9,18.5,18.0,17.7,18.5
Liaoning,,48.5,47.7,50.7,45.6,44.4,42.7,47.3,46.2,41.0,39.6,38.1,39.4,38.9,41.6,41.7,44.5,54.1,60.4,70.1
Jilin,,19.6,19.1,20.6,23.9,26.8,26.3,25.7,23.9,23.2,22.6,22.3,22.2,22.7,23.4,24.3,23.9,26.3,27.6,28.2
Heilongjiang,,20.2,28.5,31.0,34.7,39.4,39.7,39.6,41.0,39.9,41.4,41.3,35.0,36.2,31.4,32.1,31.5,31.2,31.3,32.9
Shanghai,,14.6,66.9,19.7,19.3,19.4,22.1,24.3,24.8,25.6,25.3,26.7,27.0,27.6,27.9,26.6,26.7,27.8,27.5,27.4
Jiangsu,,62.9,49.1,36.7,35.1,34.4,34.7,35.2,36.0,36.6,37.6,40.5,41.4,40.6,40.7,41.1,39.3,40.4,41.6,42.9
Zhejiang,,37.2,45.3,42.1,34.4,34.1,33.8,33.9,33.7,33.1,33.4,33.4,31.7,31.1,30.7,30.7,28.6,29.1,29.0,30.1
Anhui,,17.9,25.4,30.0,26.8,28.1,29.0,30.4,30.9,31.5,32.4,31.3,33.1,26.9,30.1,29.3,27.2,28.2,27.8,26.1
Fujian,,28.3,38.0,35.7,16.8,17.3,17.1,16.3,15.4,14.3,14.7,14.5,14.6,14.5,15.2,15.0,14.9,15.1,14.9,14.5
Jiangxi,,28.5,29.9,29.9,27.5,35.1,32.3,31.3,29.9,29.4,27.4,25.7,24.6,26.3,27.3,26.0,24.3,25.3,22.8,22.4
Shandong,,20.4,62.4,46.7,44.2,46.5,45.7,45.8,43.7,43.1,42.2,43.4,45.1,44.5,45.1,60.7,43.5,43.7,42.9,42.3
Henan,,54.6,65.3,62.2,49.4,48.6,40.7,43.6,42.5,40.0,40.2,38.3,38.4,38.2,38.5,36.5,33.1,35.4,33.0,31.2
Hubei,,51.2,51.3,55.3,37.6,36.1,37.1,32.9,33.4,37.9,40.2,42.3,55.1,55.7,55.3,55.1,54.1,52.6,52.6,49.4
Hunan,,25.3,27.7,31.4,31.1,40.4,44.5,44.9,45.1,47.3,45.6,44.1,43.1,43.2,47.8,47.0,44.4,43.3,41.9,43.0
Guangdong,,53.9,82.5,73.9,36.9,36.6,37.1,38.0,37.0,36.8,38.0,39.6,38.8,39.3,39.5,38.1,36.2,36.2,34.5,35.9
Guangxi,,22.8,22.7,22.9,19.7,16.7,14.7,18.1,18.1,18.7,18.0,18.9,18.8,19.1,19.1,18.8,18.5,20.0,18.5,17.8
Hainan,,10.9,10.1,7.9,5.6,5.5,5.5,5.1,4.8,4.3,3.9,3.6,2.9,4.8,5.3,5.6,5.4,5.2,5.1,4.7
Chongqing,,21.9,18.9,29.6,17.5,13.1,14.3,15.7,14.3,13.4,12.1,12.4,13.0,13.0,13.4,13.0,14.1,15.4,16.9,16.8
Sichuan,,51.6,66.4,54.4,50.4,53.3,55.8,56.3,54.6,54.4,42.9,40.7,36.9,34.6,36.3,37.9,34.5,36.1,34.3,33.3
Guizhou,,32.9,32.0,19.5,15.3,15.1,14.9,14.8,14.5,14.1,13.7,12.6,12.5,12.2,12.3,12.5,12.1,12.1,12.1,11.6
Yunnan,,32.5,30.0,31.9,22.9,20.9,19.8,20.1,19.5,19.2,18.1,17.4,16.0,15.7,15.4,14.8,14.0,13.8,13.0,11.9
Tibet,,1.8,1.8,2.1,2.1,2.1,1.9,1.8,1.8,1.7,1.6,1.6,1.0,2.1,2.0,,,,,1.2
Shaanxi,,23.8,27.7,24.5,23.8,24.1,23.4,22.7,22.3,22.3,21.1,19.5,20.9,21.4,21.5,20.8,21.0,21.5,21.5,18.5
Gansu,,13.4,13.1,12.2,10.8,10.0,9.6,9.8,9.5,9.7,9.3,9.8,10.8,10.7,10.3,9.4,9.5,9.7,9.3,9.5
Qinghai,,2.1,2.8,3.1,3.1,4.6,4.7,4.6,4.4,4.2,4.2,4.1,4.4,4.2,4.1,3.9,3.7,3.7,3.6,3.5
Ningxia,,10.9,7.0,5.6,5.1,5.4,5.1,5.1,4.9,5.0,4.7,4.6,5.2,4.8,4.8,4.8,4.4,4.2,4.4,4.1
Xinjiang,,8.8,8.9,9.4,8.4,9.5,10.0,9.7,10.3,11.2,11.9,11.8,11.1,11.0,11.9,11.8,11.7,11.6,11.1,13.3
Data Sources£ºNational Bureau of Statistics
