Database???Annual by Province
Indicators£ºUnemployment Rate in Urban Area(%)
Year£ºLATEST20
Region,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Beijing,,,3.2,2.6,1.3,1.4,1.4,1.4,1.4,1.3,1.2,1.3,1.4,1.4,1.4,1.8,1.8,2.0,2.1,1.3
Tianjin,,,3.7,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.8
Hebei,,,3.1,3.5,3.1,3.3,3.7,3.7,3.6,3.6,3.7,3.7,3.8,3.9,3.9,4.0,3.8,3.8,3.9,4.0
Shanxi,,,2.3,3.1,2.7,3.3,3.4,3.5,3.5,3.4,3.1,3.3,3.5,3.6,3.9,3.3,3.2,3.2,3.0,3.1
Inner Mongolia,,,3.8,3.8,3.7,3.6,3.6,3.7,3.7,3.6,3.7,3.7,3.8,3.9,4.0,4.1,4.0,4.1,4.3,4.6
Liaoning,,,4.3,4.6,4.2,3.9,3.8,3.8,3.4,3.4,3.4,3.6,3.7,3.6,3.9,3.9,4.3,5.1,5.6,6.5
Jilin,,,3.3,3.4,3.1,3.5,3.5,3.5,3.5,3.4,3.7,3.7,3.7,3.8,4.0,4.0,3.9,4.2,4.2,4.2
Heilongjiang,,,3.2,3.4,3.5,4.0,4.2,4.2,4.5,4.5,4.4,4.2,4.1,4.3,4.3,4.2,4.3,4.4,4.4,4.5
Shanghai,,,2.7,3.7,3.6,3.5,3.9,4.1,4.0,4.1,4.0,3.1,3.5,4.4,4.3,4.2,4.2,4.4,4.4,4.5
Jiangsu,,,2.5,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.2,3.2,3.2,3.3,3.2,3.4,3.6,3.8
Zhejiang,,,2.6,2.8,2.5,2.6,2.7,2.9,2.9,3.0,3.0,3.0,3.1,3.2,3.3,3.5,3.3,3.5,3.7,4.1
Anhui,,,2.5,2.8,2.6,2.8,2.9,3.2,3.1,3.2,3.4,3.7,3.7,3.7,3.9,3.9,4.1,4.3,4.4,4.2
Fujian,,,3.3,3.8,3.5,3.7,3.9,3.9,3.7,3.5,3.6,3.6,3.7,3.8,3.9,3.9,3.9,3.9,4.0,4.0
Jiangxi,,,2.8,3.2,2.9,3.4,3.3,3.4,3.4,3.3,3.2,3.0,3.0,3.3,3.4,3.4,3.4,3.6,3.5,3.6
Shandong,,,2.9,3.1,3.3,3.4,3.4,3.5,3.4,3.3,3.2,3.3,3.4,3.4,3.4,3.7,3.2,3.3,3.3,3.4
Henan,,,3.4,3.2,3.2,3.0,2.8,3.0,3.0,3.0,3.1,3.1,3.4,3.4,3.5,3.4,3.4,3.5,3.5,3.4
Hubei,,,3.0,3.4,2.4,2.6,2.6,2.4,2.6,3.1,3.5,3.8,4.1,4.2,4.2,4.2,4.2,4.2,4.3,4.2
Hunan,,,2.3,2.7,2.7,3.6,4.0,4.2,4.1,4.1,4.2,4.2,4.2,4.2,4.1,4.2,4.3,4.3,4.3,4.4
Guangdong,,,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.5,2.6,2.6,2.7
Guangxi,,,2.5,2.8,2.6,2.3,2.2,2.9,2.9,3.2,3.3,3.4,3.5,3.7,3.7,3.8,3.8,4.2,4.2,4.1
Hainan,,,3.1,2.8,2.3,2.3,2.3,2.4,2.3,2.3,2.2,2.0,1.7,3.0,3.5,3.7,3.5,3.6,3.6,3.4
Chongqing,,,2.9,4.5,2.6,3.0,3.4,3.7,3.6,3.5,3.4,3.3,3.5,3.9,4.0,4.0,4.0,4.0,4.1,4.1
Sichuan,,,3.6,3.6,3.3,3.5,4.0,4.2,4.1,4.2,4.1,4.0,4.2,4.1,4.3,4.6,4.2,4.5,4.6,4.4
Guizhou,,,4.5,3.8,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.6,3.6,3.8,4.0,4.0,4.1,4.2,4.1
Yunnan,,,3.8,3.9,3.3,3.4,3.2,3.6,4.0,4.0,4.0,4.0,4.1,4.2,4.3,4.2,4.2,4.3,4.2,4.3
Tibet,,,2.6,2.9,2.9,2.8,2.7,2.6,2.5,2.5,2.5,2.6,3.2,4.0,3.8,,,,4.3,4.0
Shaanxi,,,3.5,3.6,3.2,3.2,3.3,3.3,3.4,3.3,3.3,3.2,3.6,3.9,3.9,3.9,4.0,4.0,4.2,3.8
Gansu,,,3.4,3.3,3.0,2.8,2.7,2.2,2.1,2.2,2.3,2.7,3.1,3.2,3.3,3.2,3.3,3.6,3.3,3.4
Qinghai,,,1.8,2.1,2.2,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9
Ningxia,,,4.1,3.9,3.7,3.9,3.9,3.9,4.0,4.0,4.1,4.2,4.4,4.4,4.4,4.4,4.3,4.3,4.5,4.5
Xinjiang,,,2.0,2.4,2.1,2.4,2.6,2.5,2.9,3.2,3.4,3.4,3.2,3.2,3.8,3.7,3.9,3.9,3.9,3.5
Data Sources£ºNational Bureau of Statistics
